"16S_102_Bodkhe.Dataset","16S_102_Bodkhe.Transformation_Distance","16S_102_Bodkhe.Variable","16S_102_Bodkhe.R2","16S_102_Bodkhe.p_value","16S_49_Turjeman.Dataset","16S_49_Turjeman.Transformation_Distance","16S_49_Turjeman.Variable","16S_49_Turjeman.R2","16S_49_Turjeman.p_value","16S_60_Shi.Dataset","16S_60_Shi.Transformation_Distance","16S_60_Shi.Variable","16S_60_Shi.R2","16S_60_Shi.p_value","Dataset","Transformation_Distance","Variable","R2","p_value"
16S_102_Bodkhe,TSS_JSD,Diagnosed_Celiac,0.03125485,0.063,16S_49_Turjeman,TSS_JSD,Diagnosed_Celiac,0.04868479,0.025,16S_60_Shi,TSS_JSD,Diagnosed_Celiac,0.05954620,0.001,NA,NA,NA,NA,NA
16S_102_Bodkhe,TSS_Bray,Diagnosed_Celiac,0.02685781,0.073,16S_49_Turjeman,TSS_Bray,Diagnosed_Celiac,0.04261674,0.019,16S_60_Shi,TSS_Bray,Diagnosed_Celiac,0.04205125,0.002,NA,NA,NA,NA,NA
16S_102_Bodkhe,TSS_Euclidean,Diagnosed_Celiac,0.02079924,0.227,16S_49_Turjeman,TSS_Euclidean,Diagnosed_Celiac,0.03238362,0.221,16S_60_Shi,TSS_Euclidean,Diagnosed_Celiac,0.03703227,0.004,NA,NA,NA,NA,NA
16S_102_Bodkhe,CLR_Euclidean,Diagnosed_Celiac,0.02752342,0.017,16S_49_Turjeman,CLR_Euclidean,Diagnosed_Celiac,0.03138965,0.129,16S_60_Shi,CLR_Euclidean,Diagnosed_Celiac,0.04003428,0.001,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","TSS_JSD","Diagnosed_Celiac",0.01694625,0.012
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","TSS_JSD","Dataset_ID",0.22349646,0.001
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","TSS_Bray","Diagnosed_Celiac",0.01338292,0.006
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","TSS_Bray","Dataset_ID",0.15328886,0.001
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","TSS_Euclidean","Diagnosed_Celiac",0.01142119,0.015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","TSS_Euclidean","Dataset_ID",0.08523522,0.001
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","CLR_Euclidean","Diagnosed_Celiac",0.01269133,0.010
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled","CLR_Euclidean","Dataset_ID",0.15778452,0.001
