	Bacteroides	Bifidobacterium	Faecalibacterium	Prevotella_9	Blautia	Escherichia-Shigella	Akkermansia	Subdoligranulum	Alistipes	Ruminococcus	Dorea	Roseburia	Dialister	UCG-002	[Ruminococcus] torques group	Streptococcus	Catenibacterium	Agathobacter	Parabacteroides	Christensenellaceae R-7 group	Fusicatenibacter	Romboutsia	Anaerostipes	Clostridium sensu stricto 1	CAG-352	Lachnospiraceae NK4A136 group	Holdemanella	[Eubacterium] hallii group	Megamonas	Collinsella	Erysipelotrichaceae UCG-003	Incertae Sedis	Prevotella	Phascolarctobacterium	Monoglobus	Lactobacillus	Megasphaera	Coprococcus	Ligilactobacillus	Lachnoclostridium	UCG-005	Barnesiella	NK4A214 group	Intestinibacter	Butyricicoccus	Turicibacter	[Eubacterium] ruminantium group	Veillonella	Rikenellaceae RC9 gut group	Limosilactobacillus	[Ruminococcus] gnavus group	[Eubacterium] eligens group	Prevotella_7	Paraprevotella	Lachnospiraceae ND3007 group	Haemophilus	Lachnospira	Alloprevotella	[Eubacterium] ventriosum group	Odoribacter	Parasutterella	UBA1819	Terrisporobacter	Erysipelatoclostridium	Oscillibacter	Sutterella	UCG-003	Flavonifractor	Family XIII AD3011 group	Klebsiella	Tyzzerella	Intestinimonas	[Ruminococcus] gauvreauii group	Eisenbergiella	Colidextribacter	Butyricimonas	Senegalimassilia	[Eubacterium] siraeum group	CAG-56	Enterobacter	Lachnospiraceae UCG-010	Desulfovibrio	Negativibacillus	Bilophila	Tuzzerella	Lactococcus	Eggerthella	Pseudomonas	Lachnospiraceae UCG-004	Enterococcus	Paludicola	Lachnospiraceae UCG-001	Acidaminococcus
SRR5514927	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	19.31863382808278	20.488950479507274	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	17.942959035790352	-1.2334005897298574	-1.2334005897298574	19.734718505018407	-1.2334005897298574	23.157843761274606	20.621146789181374	22.385886420958386	20.86718017916067	-1.2334005897298574	19.792485323553148	21.76730462941674	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	19.041571324458463	-1.2334005897298574	-1.2334005897298574	18.914946498220615	-1.2334005897298574	-1.2334005897298574	20.525449562539553	-1.2334005897298574	-1.2334005897298574	18.33105985598918	-1.2334005897298574	18.732269638527207	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	19.60986830213893	17.53749392768219	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	22.070850365841686	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	18.602690219430453	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	17.433697134000546	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	19.63697971342068	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574	-1.2334005897298574
SRR5514928	21.480045693003483	-1.0441517561659897	18.866735263848526	-1.0441517561659897	21.788757961277035	-1.0441517561659897	19.56325512888711	22.15023406574726	19.109504779619485	18.803996923215102	20.711850463744092	-1.0441517561659897	-1.0441517561659897	20.79413538613297	-1.0441517561659897	20.95932200949533	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	21.441339868731397	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	21.002286746990272	-1.0441517561659897	21.008654505307234	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	19.518497228245618	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	19.347380270464527	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	19.058769261578085	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	21.575085720169927	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	18.83236762034432	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897	-1.0441517561659897
SRR5514932	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	22.069461601451767	21.30660792959581	22.018151350870543	18.237431738630608	-1.1723450998936222	-1.1723450998936222	19.655736148668396	20.560985045124042	-1.1723450998936222	18.30220257478839	20.543356972046773	-1.1723450998936222	19.846869651064708	21.820950677086717	19.55745125174733	-1.1723450998936222	20.566430692998004	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	21.34871407333667	19.04794881705961	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	19.53129281859413	-1.1723450998936222	19.152978699551916	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	16.7858550854203	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	17.925924087766756	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	20.00979741890978	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222	-1.1723450998936222
SRR5514933	20.906457736431776	18.340078275043986	20.039314375374897	18.63066310715373	20.804624002183072	22.95582028879201	16.510399570953638	18.378851660969946	-1.5387813965322596	18.80132272419984	18.718833232824576	19.07087964723288	-1.5387813965322596	20.53367872208681	18.498869334427745	-1.5387813965322596	18.600652028737688	-1.5387813965322596	20.211164632301553	19.626809238190376	-1.5387813965322596	17.623400597073847	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	18.18165491441095	20.420391529694903	19.05735069229256	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	19.650922081575324	-1.5387813965322596	-1.5387813965322596	17.10460680365868	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	20.842276421942046	-1.5387813965322596	20.02345803287671	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	16.819587848626384	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	18.93942576234718	-1.5387813965322596	-1.5387813965322596	18.081428035272864	-1.5387813965322596	20.006907132420118	-1.5387813965322596	18.73306272192854	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	18.213829271438804	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	-1.5387813965322596	18.51656891152715	-1.5387813965322596	-1.5387813965322596
SRR5514934	18.28509155080097	20.792471056441027	-1.1859667193859718	23.49344977976281	20.20775659057588	20.37366954933561	20.053265021023144	-1.1859667193859718	-1.1859667193859718	17.504297063182268	19.40446583091751	17.98568601465313	19.566413821204797	-1.1859667193859718	20.018663693658752	17.356487558693455	20.688375963286767	-1.1859667193859718	19.500191034591662	-1.1859667193859718	-1.1859667193859718	18.695207830084865	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	19.329830849528925	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	21.516614337369937	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	19.090567916334834	-1.1859667193859718	-1.1859667193859718	19.13188978589674	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	21.77223136226385	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	20.98494978098859	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718	-1.1859667193859718
SRR5514935	-1.3834452281442164	22.821113788297808	-1.3834452281442164	20.915055794694773	20.584112309211587	20.694185206442004	19.730071334939495	19.881124238814195	-1.3834452281442164	17.54361402178789	18.801527216259572	-1.3834452281442164	17.5791207102448	-1.3834452281442164	-1.3834452281442164	19.023299965440003	20.346243942472025	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	19.012265370716296	-1.3834452281442164	17.5496200458481	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	20.29181129090351	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	18.840155024490844	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	17.65198205850967	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	17.729943599979382	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164	-1.3834452281442164
SRR5514936	-0.8540909444572957	21.988706287299095	-0.8540909444572957	22.746346975379986	21.935205730821767	21.183252585196904	17.379808119120785	21.242944570191945	-0.8540909444572957	18.92197285094746	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	19.46375755723981	-0.8540909444572957	21.019927529093604	22.578770994071206	-0.8540909444572957	-0.8540909444572957	18.377067913528606	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	21.835415478544164	19.533250054018193	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	19.157411639118706	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	18.326943526346035	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	18.98199086067371	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957	-0.8540909444572957
SRR5514937	18.94473670080454	17.732218423707057	-1.6738460209965034	22.862933726442137	20.436280583631312	19.68503431069771	20.705499041998365	20.039271133960817	17.31738117577003	18.856614829530884	18.391206685455685	-1.6738460209965034	19.054968793855885	-1.6738460209965034	19.061902947444885	20.57526039335167	19.738627763408996	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	19.522733337702906	-1.6738460209965034	18.60737616743382	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	18.67937126696387	21.20330379850328	-1.6738460209965034	18.36380771126757	-1.6738460209965034	21.775596948801457	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	20.21712507349506	-1.6738460209965034	18.438340763130135	17.92505662552594	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	19.02058724765664	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	17.001043847557874	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	18.289699739113846	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	18.147584602797934	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	19.738627763408996	-1.6738460209965034	19.072703248795655	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	-1.6738460209965034	17.429498473890735
SRR5514939	-1.0284168619360798	20.180523885753967	-1.0284168619360798	21.719914074282627	19.805047394715412	19.6792872368183	19.464987710300544	20.760145559670843	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	19.811294626099848	21.2064464410538	-1.0284168619360798	-1.0284168619360798	19.553988720911605	-1.0284168619360798	-1.0284168619360798	19.851404623438015	-1.0284168619360798	19.816618507352597	-1.0284168619360798	21.876962925022664	-1.0284168619360798	-1.0284168619360798	18.762996504944145	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	17.728288018255515	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	20.169392045385123	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	20.04294283533689	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	20.05417102347438	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	18.30810651350846	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798	-1.0284168619360798
SRR5514940	-0.8412254193329076	22.159470795784387	-0.8412254193329076	22.702073945862708	-0.8412254193329076	20.230130276139256	18.707174313346318	21.82906865965554	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	19.444632540231176	-0.8412254193329076	-0.8412254193329076	20.551466869051303	20.31401987176869	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	17.7529565295601	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	20.016992952436915	-0.8412254193329076	-0.8412254193329076	18.1499827690224	-0.8412254193329076	-0.8412254193329076	21.474286903860513	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	21.42978891839362	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076	-0.8412254193329076
