	Bacteroides	Bifidobacterium	Faecalibacterium	Prevotella_9	Blautia	Escherichia-Shigella	Akkermansia	Subdoligranulum	Alistipes	Ruminococcus	Dorea	Roseburia	Dialister	UCG-002	[Ruminococcus] torques group	Streptococcus	Catenibacterium	Agathobacter	Parabacteroides	Christensenellaceae R-7 group	Fusicatenibacter	Romboutsia	Anaerostipes	Clostridium sensu stricto 1	CAG-352	Lachnospiraceae NK4A136 group	Holdemanella	[Eubacterium] hallii group	Megamonas	Collinsella	Erysipelotrichaceae UCG-003	Incertae Sedis	Prevotella	Phascolarctobacterium	Monoglobus	Lactobacillus	Megasphaera	Coprococcus	Ligilactobacillus	Lachnoclostridium	UCG-005	Barnesiella	NK4A214 group	Intestinibacter	Butyricicoccus	Turicibacter	[Eubacterium] ruminantium group	Veillonella	Rikenellaceae RC9 gut group	Limosilactobacillus	[Ruminococcus] gnavus group	[Eubacterium] eligens group	Prevotella_7	Paraprevotella	Lachnospiraceae ND3007 group	Haemophilus	Lachnospira	Alloprevotella	[Eubacterium] ventriosum group	Odoribacter	Parasutterella	UBA1819	Terrisporobacter	Erysipelatoclostridium	Oscillibacter	Sutterella	UCG-003	Flavonifractor	Family XIII AD3011 group	Klebsiella	Tyzzerella	Intestinimonas	[Ruminococcus] gauvreauii group	Eisenbergiella	Colidextribacter	Butyricimonas	Senegalimassilia	[Eubacterium] siraeum group	CAG-56	Enterobacter	Lachnospiraceae UCG-010	Desulfovibrio	Negativibacillus	Bilophila	Tuzzerella	Lactococcus	Eggerthella	Pseudomonas	Lachnospiraceae UCG-004	Enterococcus	Paludicola	Lachnospiraceae UCG-001	Acidaminococcus
SRR5514927	-3.6243695384996495	-2.2952295178837936	-2.836477287594164	1.2610505011808328	0.7276838667594939	-1.5575567025503192	-1.3407252540813703	-2.7207136579722766	0.50677712807321	-1.6874597609700643	-2.0647649980694913	0.8421238613377782	-1.2219460925771222	1.2620331487295724	1.0052470994515348	1.272177570564754	2.1697045767236416	-1.2870150420742656	0.8526408596950993	1.2644366601798804	-1.4685301933643022	-1.233028786798755	-1.7527529254036363	1.0869656347025725	-0.4945022326086475	-1.4454658669792353	1.7174777505096241	-1.5043133825623243	-0.18130071373875054	1.197858050275999	-1.2133968489290803	-1.6774241581052831	1.757329306277773	-0.7965329560601951	0.9430222830577882	-0.3021859681893476	-0.3177130420053842	-1.0880132011434978	-0.3220550682914541	-1.3819308659609686	1.2109804887693167	1.085935054223899	-1.004486570621936	-0.835968402987997	-1.3461113622569643	-0.8483516497607065	-0.28872815172069916	-0.8921893052566338	3.8772554923805034	-0.12198387868272424	-0.6277105853822543	-0.874749537787884	2.5934833662654087	-0.4532523915786608	-0.7885505155673086	-0.6738597133121422	-0.9160341378456118	2.349360517372911	-0.931162650626976	-1.1364845229396128	-0.8511085286641368	-1.0293776107910688	-0.5179863163817137	-0.7235317303075322	-1.0751967886388087	-0.701609415041565	-0.9329340072741096	-0.8057842079705384	1.2969552330120018	-0.1395998101641078	-0.21479955978900117	-0.9196080825248022	-0.6048911867519049	-0.40161799063459624	-0.9266237866541247	-0.6837166912899607	-0.43863712281314327	-0.44509271614965357	-0.5207190637608982	-0.16072467736675314	-0.8763305312321049	-0.407688877355438	-0.5028100828299342	-0.8796235831969883	-0.1008403378690288	-0.37783199406715146	-0.6859292344782153	-0.33597410292766977	-0.6974055223286847	-0.14200940342122512	-0.4595008795877568	-0.33412203648777167	-0.08227821438919644
SRR5514928	0.6276571645143338	-2.2686659238530176	0.37045911638918616	-0.6898607957609695	1.040281813023369	-1.5356244431385735	0.9198053411212472	0.987262852339662	0.6644375923165076	0.7395907406267419	0.9353165583502326	-1.744856284873428	-1.2022735349466476	0.9823069690969527	-1.8174559420877958	1.088203595956597	-0.3797196639822517	-1.2666877175315436	-1.7417705485001553	-1.3485995969782025	1.2340691993024968	-1.2123496497973176	-1.7282893075279049	-1.1057995450290437	-0.47243735210682164	-1.423203927388524	-0.5244187402489632	1.1677398851437906	-0.14938616072791241	1.2511374238017696	-1.19193828471612	-1.652390687910079	-0.5143245873922123	-0.7762870785601375	-1.5667299844886764	-0.27457237455946526	-0.29095063692615514	-1.067340548811285	2.403284500782011	-1.359451281982291	-1.1541886110410537	-0.9405860724715323	-0.9831560361763686	-0.8152752139054416	-1.3233188069095945	-0.8270411676487865	-0.2599902840495081	-0.8709422724766404	-0.11890226658729677	-0.08825705739954226	-0.6057362692531062	-0.8531765194210451	-0.25961324938970126	-0.42959969396375836	-0.7664901943306465	-0.6518722577245128	-0.8941903687891032	-0.24650446935283996	-0.9093016659122442	-1.1144867118634592	-0.8293755772048035	-1.0077878938257157	-0.4949143791106258	1.705202887014275	-1.0532179345668284	-0.679368287467319	-0.9110580988444731	-0.7841920291621438	1.2250557724308193	-0.10433516288742709	-0.18212234585386206	-0.8975247814222596	-0.5822530521465492	-0.37524370915212213	-0.9038057082127746	-0.6613176852804349	2.58984078480729	-0.4194637864728268	-0.4968268104286213	-0.12654606648507938	-0.8539690475277882	-0.3820954670304555	-0.47793827888896667	-0.8571619567250566	-0.06320734058257889	-0.3504694170275087	1.6933133485009988	-0.30761569721942444	-0.6739402031727887	-0.10524100176381744	-0.43355117572402346	-0.3052641806278425	-0.04340420760725736
SRR5514932	-3.612939763822672	-2.2866595668050063	-2.8267360065179967	1.52460093522155	0.9243268644571392	1.1370917097202151	0.7756925386562269	-2.7110320013147935	-2.0766858352318884	0.8427585353980235	0.914692116241975	-1.7608164227890737	0.808794450774056	0.9526293284690321	-1.83415784630978	0.9447384426847566	2.280677548821357	0.9461421454374271	-1.757732158435061	1.1268773968387842	-1.461252997400244	-1.2263572802154012	-1.7448604689776621	-1.119794455706194	-0.487383657229094	-1.4382837163639879	1.9908495690373247	0.9328879117015558	-0.1710044353930052	-1.1945945183664148	-1.206473883410445	-1.6693478558301984	-0.5293546636696119	-0.7900012277284945	-1.5829985261365158	-0.2932772660670583	-0.309078950473419	-1.0813437866451965	2.4049649412406304	-1.3746784988774499	1.1586603512361429	-0.9545668857851557	-0.9976049100879317	-0.8292923629199198	0.8240731221597427	-0.8414764585138844	-0.2794567361221384	-0.8853345840437221	3.160674147544356	-0.11110292604864158	-0.6206212278955217	-0.8677896470512844	-0.2782293707792416	-0.4456215543807192	-0.7814334110986327	-0.6667661167711515	-0.9089868974769433	2.711264577290236	-0.9241098561398176	-1.12938758550921	-0.8440970402869103	-1.0224123327498678	-0.5105428441814913	-0.716326581836727	-1.0681059671202127	-0.6944339788024957	-0.9258763980955921	-0.7988181356891301	-1.2906479906378219	-0.12822272385486422	-0.20425723165031778	-0.9124835642880132	-0.5975876680391085	-0.39310911560130435	-0.9192622144313395	-0.6764903202841133	-0.4305302629542439	-0.43682430663859045	-0.5130109410579844	-0.1496979682980369	-0.8691162656785406	-0.39943192710351366	-0.49478593734840287	-0.8723770095672517	-0.08869917408978426	-0.36900427495852456	-0.6786897498084933	-0.326825109410057	-0.6898351372000318	-0.13014717562614148	-0.45112898185571193	-0.32481191028000916	-0.06973667592223717
SRR5514933	0.5202797424573309	0.4521689021881046	0.55754176432238	1.195137620751355	0.8036019517546507	1.2457592137758708	0.5879696130688182	0.3892293312744272	-2.126210268327848	0.7392668255046723	0.6628560509931369	0.759475578549145	-1.2536906555840777	0.9514839841806669	0.7287423001299537	-1.8132185000196175	1.9059898091327914	-1.3198161677250388	0.9047714588333556	1.0192444212008178	-1.5049284923661457	0.8274456045490028	-1.7922285682570716	-1.1597984301030186	-0.5301071601675387	0.8383885940715197	1.8865761681874063	0.9340177311246453	-0.2327995354944929	-1.2349986918216451	-1.2480233960457547	-1.7178193414272214	-0.5723176235951153	1.4376759979000309	-1.6295015970433147	-0.346744559873144	2.2755350798760965	-1.121371563935341	-0.36216062411648564	-1.4182049785286117	1.3521081527826802	-0.9945305633496094	1.391407483335532	-0.8693599048447989	-1.382890500125305	-0.8827392446437685	-0.3351009248043825	-0.926474515317502	-0.20441461327590876	-0.1764070616444446	-0.6631693740156098	-0.909560773503136	-0.33144291823340694	-0.4914194954105295	-0.8241480860817844	-0.7093397043928598	-0.9512822695907974	2.2630872286691415	-0.9664385623668852	-1.1719812241230074	-0.8861778399294495	1.2719608076863158	-0.5552162780446553	-0.7595696698777051	1.1679758205650306	-0.7374987431547882	1.5223045165091302	-0.840626361874245	1.1845547326555284	-0.19650450138018613	-0.2675290470341617	-0.9552427344302207	-0.6414211440578337	-0.4441767700271967	-0.9634441097857246	1.6180075007481476	-0.4791851457834779	-0.4864487608596997	-0.5592727259501858	-0.21587688924502843	-0.9124140716499032	-0.44898760637101437	-0.5429443938906179	-0.9158687186882875	-0.16156670990159525	-0.4219855335907596	-0.722138913168914	-0.38173455836472375	-0.7352702634779876	-0.2013406233369589	2.2486048995816756	-0.38068842814861387	-0.14500713763354633
SRR5514934	0.02955196469366661	0.7963948877451084	-2.8289093086165216	1.6610299425538035	0.6600579810689267	0.9465108707794716	0.9730678641015095	-2.7131920010690753	-2.078526818205998	0.5821632505956589	0.7565872052645815	0.6243684073222813	0.940210154289225	-1.6188641629143306	0.9267514875564037	0.623571386963359	2.1489003735088477	-1.2819201431592233	0.8162467124567186	-1.3648444010993266	-1.4628765564718287	0.9445615105928126	-1.7466212940661665	-1.1212815325116685	-0.48897182768531294	-1.439886070600766	1.7640794436028644	-1.4986132741585232	-0.1733015586523427	-1.1960964718621756	-1.2080184128590898	-1.6711496973483237	2.1308208265761426	-0.791458471265488	-1.584727195329303	-0.29526481789582915	-0.3110052360511124	-1.0828317482810181	-0.31582559449120656	-1.3762965185689715	-1.1704283729833675	-0.9560524646273487	-0.9991402242999894	-0.8307818027355194	1.1016457431856188	-0.8430103294131686	-0.28152521015744253	1.3942289729252242	-0.14341945947432222	-0.11353049147958484	-0.6222028797729946	-0.8693424146005511	3.053761263294865	-0.4473240116208008	-0.783021253391269	-0.6683487143913294	-0.9105591529290018	2.848259088312048	-0.9256833507284205	-1.1309709284894605	-0.8456613193878689	-1.0239663022191186	-0.5122034998618449	-0.7179340669477047	-1.0696879456265445	-0.6960348350465841	-0.9274509668528541	-0.8003722823551885	-1.2923418152489492	-0.130760977844011	-0.20660924918148185	-0.9140730606092802	-0.5992170997761694	-0.3950074650916178	-0.9209045980393196	-0.6781025401912212	-0.4323389219392414	-0.43866900772065076	-0.5147306408710735	-0.15215805232307328	-0.8707257848315438	-0.40127407159863854	-0.4965761425665388	-0.8739937367259778	-0.09140789551088428	-0.3709737592916384	-0.6803048954040188	-0.32886627079897	-0.6915241074451259	-0.1327936657909015	-0.45299677139667965	-0.32688902074080556	-0.07253472185232152
SRR5514935	-3.6524583543156326	1.0811419107397893	-2.8604166090325243	1.413999990162268	0.7505698656058603	0.9836557894815001	0.9379377342646059	0.6274468501847088	-2.105216344556419	0.5869255578784978	0.674160943059566	-1.7870984984641445	0.7336295507643338	-1.6422341815661368	-1.8616614125696715	0.8385284550994248	2.1090926762880082	-1.3031314217819099	-1.7840166581318904	-1.3874654251441103	-1.4864139944774584	0.9792062489332659	-1.7721487368828777	0.9240888091852133	-0.5119962216293787	-1.463116092945692	-0.5625297227427793	-1.5223441841429337	3.448668901910996	-1.2178709412440032	-1.2304101242428134	-1.6972717730837314	1.8170183587085527	-0.8125847610392328	-1.6097884602192538	-0.32407921631929426	2.352941518926748	-1.1044033716182118	-0.3417603788025612	-1.3997536497861993	-1.1930423757524713	-0.9775895435748154	-1.0213983384135719	-0.8523748558842267	-1.364182283283176	-0.8652475191972788	-0.3115127728056601	-0.9090348693259958	-0.1775598532687186	-0.1487239573875841	-0.6451327710618724	-0.8918535572917414	-0.308885140404927	-0.47200527049642976	-0.8060408898059562	-0.6912923165212089	-0.9333528201749508	2.390978772454808	-0.9484949822727442	-1.153925336426661	-0.8683393500223672	-1.046494869664115	-0.5362787434480651	-0.7412384737948658	-1.0926225721952465	-0.7192431403436508	-0.9502781710847819	-0.8229034186989383	-1.3168979231692528	-0.16755914365005908	-0.24070746451398284	-0.9371166761923464	-0.6228396763529774	-0.42252865863689515	-0.9447149434901715	-0.7014755894255529	-0.4585598334402642	-0.46541243709001395	-0.5396618727845316	-0.18782295435304225	-0.8940596800656192	-0.4279804370215447	-0.5225295218286209	-0.8974321295362819	-0.13067740140045764	-0.39952622541686633	-0.7037203596086217	-0.35845787020048303	-0.7160098395216661	-0.17116097824399837	-0.4800749241399498	-0.35700178938440175	-0.11309920377904607
SRR5514936	-3.553361611286254	0.9643024327451205	-2.7759591936535184	1.5894517542446958	1.0755018534037164	1.040334356100274	0.6824715680683995	0.8433926547789128	-2.0336732931529564	0.7538806969144375	-2.0129105048954803	-1.7211936150418703	-1.1825165715814165	0.8248672817573821	-1.7926935216593556	1.096019463388935	2.3688513527654615	-1.2462731779557847	-1.7181056962372232	0.8760874329659979	-1.423320325633986	-1.1915817883002897	-1.7037207277209194	-1.0850505419548961	-0.45027780153280406	-1.4008464722373268	2.045518079531888	0.9912063588176719	-0.11733467731143483	-1.159503027111175	-1.1703876518503062	-1.6272498108141034	1.8542152285202766	-0.7559543354781721	-1.542610072011204	-0.24684030392708137	-0.26407340689599723	-1.0465791998061615	-0.27224046365818094	-1.3368752486329532	1.064067973504938	-0.9198579702981415	-0.961733982393741	-0.7944932400363942	-1.300428459377944	-0.8056392522349817	-0.23112911564225178	-0.8496040786261405	-0.08604425587302188	-0.05438553011600778	-0.5836676716210903	-0.8315109413321623	2.648565062203674	-0.40584551369679506	-0.744335222583465	-0.6297904642587508	-0.8722528783460978	-0.21980373111237114	-0.887346885946686	-1.09239451847862	-0.8075493798254018	-0.9861055454924501	-0.47174345095821985	-0.6787694604784357	-1.031144779521792	-0.6570317336272066	-0.8890883311333364	-0.7625072084232211	-1.2510736418333819	-0.06891921151901464	-0.14930492929210973	-0.8753467312133514	-0.5595177879040221	-0.34875626797536624	-0.8808897280794965	-0.6388225756225901	-0.38827293532400237	-0.3937248950573674	-0.47283204662285233	-0.09222081118539883	-0.8315116211657977	-0.3563922473637502	-0.4529597616814381	-0.8346039579297186	-0.025412877723287892	-0.32298943998003554	-0.6409536496553961	-0.2791356188687454	-0.6503742053180751	-0.06831484410863803	-0.4074901338297974	-0.2762825092187047	-0.004363410661731334
SRR5514937	0.1530395569073177	0.36684767714038163	-2.9067494737020847	1.600621660679149	0.715016989924518	0.866704161224357	1.0439636359792277	0.6525244303394726	0.42222931127917007	0.7459641389602425	0.6180670276295019	-1.8232535480943566	0.8870450616127328	-1.676600817146546	0.8020981640533547	1.0386738716422794	2.038395403273268	-1.3343235356386118	-1.8201750423779854	-1.4207306313634762	-1.5210268275473813	1.034984859693363	-1.8096879591510573	1.0395644026080126	-0.5458546009454063	-1.4972768578277142	-0.595148857641119	0.8885961013238288	3.602381214980326	-1.2498912517688396	1.0086932152603652	-1.7356854290922268	2.161185339203305	-0.8436518950727054	-1.646642147436593	-0.3664520507120221	2.7156882537964564	-1.1361253881536968	2.261427925494723	0.8937721846837214	-1.2262972568785542	-1.0092607610728335	-1.0541298696906998	-0.8841283858957519	-1.399157273719627	1.4323611946754362	-0.35561079655269445	-0.9416382679777836	-0.22776479702955751	-0.200477489795582	-0.6788521800860648	-0.9249571781699789	-0.3510568807945306	1.8257249332953338	-0.839892272966745	-0.7250318879373632	-0.9668719057800497	2.469616246509335	-0.9820404851650902	-1.1876807982555655	-0.9016883869276896	-1.0796241144056904	-0.5716824431696859	-0.7755086243440217	-1.126348944655734	-0.7533719693560113	-0.9838465742960308	1.4054722097271601	-1.3530087549466612	-0.2216724575128271	-0.2908503830000071	-0.9710033217700582	-0.6575777094192339	-0.46299977863899056	-0.9797290989063393	-0.7358466816102466	-0.49711883176918364	-0.5047398208204624	-0.5763243408170194	-0.2402697542181426	-0.9283731945787511	2.4285015333395297	-0.5606951022874619	1.5304738051564881	-0.1884249290527473	-0.4415138768974889	-0.738153824864051	-0.40197361265773845	-0.7520171805397254	-0.22758179094939904	-0.5198945332461111	-0.4012839340292312	3.751307711121878
SRR5514939	-3.5859959569034	0.710499952995474	-2.8037725445180595	1.4911115967049255	0.5632082019030477	0.8660381263917613	0.9091239840207563	0.7668345227096207	-2.0572337109288834	-1.6626308948940351	-2.036742174378763	-1.7428972823644442	0.9656656969003719	1.0311007193862147	-1.8154058926177596	-1.747400377000268	2.016912307124072	-1.2649976236185008	-1.7398113653104381	1.0449716643422677	-1.4440982092691848	1.0670975632246413	-1.726255305877767	1.3965062943872713	-0.4706027909401624	-1.4213529819522115	1.700410037712407	-1.4796805735385428	-0.14673265895163376	-1.1787246344469269	-1.1901541350764198	-1.6503093064911745	-0.512479743864339	-0.774603756475367	0.8156107004583196	-0.2722764715047853	-0.28872550504380956	-1.0656217429841977	-0.29513462615778774	-1.3575822407333922	1.2750536456850332	-0.9388700191075965	-0.9813825314363506	-0.8135547005719543	-1.3214237439870575	-0.825269330138854	-0.2576009044180255	-0.8691757103943446	3.526667663328117	-0.08545287649333423	-0.6039092379654863	-0.8513828536116992	2.8042660953599845	-0.42763311542156124	-0.7646560122392702	-0.6500441339705061	-0.8923741916998492	2.4722021265786847	-0.9074840574452843	-1.112657727113305	-0.827568613927532	-1.0059928396290467	-0.49299608727334926	-0.6993416337770687	-1.0513905259767484	-0.6775190724241172	-0.9092392495610119	-0.7823967702781375	-1.2727507654344896	-0.1014031210644777	-0.17940543344116797	-0.8956886886942244	-0.5803708283733838	-0.3730508473959806	-0.9019085231995668	-0.6594553436016098	-0.4114196791559686	-0.417332896204726	-0.49484031427951447	-0.12370432201024813	-0.8521098256013686	-0.3799675299813197	-0.47587033903988907	-0.8552944085340749	-0.060078384801422476	-0.3481943844818987	-0.6616238598282719	-0.3052578675517582	-0.671989204014506	-0.10218393187235678	-0.43139361502521195	-0.30286482470523535	-0.0401720694033504
SRR5514940	-3.5509531455828887	0.988271505594055	-2.7739065248965353	1.5852100578874986	-4.402129027028517	0.9298759435451465	0.8267520684374282	0.9363351929206438	-2.0319344975038574	-1.6399571377670856	-2.0111516904465008	-1.7195918504777232	0.9275508991532716	-1.5780667583615595	-1.7910173131906102	1.0356053882283516	2.1053433457029125	-1.2448912846056854	-1.7165037839407509	-1.325354528065713	-1.4217868853526645	-1.1901759780153196	-1.7020576406387609	-1.083646008227209	-0.44877778555322306	-1.3993330597753935	1.5869577640936976	-1.4571858560009192	-0.11516506032694766	-1.1580844424527044	-1.1689288544996639	-1.6255479839986775	1.9549971593922082	-0.7545779790656272	-1.5409773559495015	2.5260738480603173	-0.2622540435295135	-1.045173830362349	2.6601376830062207	-1.3353470402576773	-1.1309507570997661	-0.918454851386383	-0.960283888770134	-0.7930864744620347	-1.298878974565021	-0.8041905218102776	-0.2291754562638426	-0.848159661617581	-0.08382004374543273	-0.052092711405248925	-0.582173812393919	-0.8300443631526261	-0.2301444703581959	-0.40423755464260414	-0.7428355165521114	-0.6282957117841548	-0.8707678939775522	2.910752420105097	-0.8858607312222695	-1.0908990620166052	-0.8060719290651422	-0.984637832107826	-0.47017497318723633	-0.677251201941411	-1.0296506117959292	-0.6555197360089776	-0.8876011618640721	-0.7610393276774412	-1.249473836237358	-0.06652184823282188	-0.14708346504865558	-0.8738454629634295	-0.5579788009308939	-0.3469632900496347	-0.8793385081541257	-0.6372998451034633	-0.38656466945840506	-0.3919825876810997	-0.4712078020780588	-0.08989727888808374	-0.8299914414901888	-0.3546523546661093	-0.4512689252706373	-0.8330769703427028	-0.022854509130059795	-0.32112927568870464	-0.6394281558438527	-0.27720775609539894	-0.6487789846370976	-0.06581525250535701	-0.4057260195642443	-0.2743206927963245	-0.0017206756893655202
