	Bacteroides	Bifidobacterium	Faecalibacterium	Prevotella_9	Blautia	Escherichia-Shigella	Akkermansia	Subdoligranulum	Alistipes	Ruminococcus	Dorea	Roseburia	Dialister	UCG-002	[Ruminococcus] torques group	Streptococcus	Catenibacterium	Agathobacter	Parabacteroides	Christensenellaceae R-7 group	Fusicatenibacter	Romboutsia	Anaerostipes	Clostridium sensu stricto 1	CAG-352	Lachnospiraceae NK4A136 group	Holdemanella	[Eubacterium] hallii group	Megamonas	Collinsella	Erysipelotrichaceae UCG-003	Incertae Sedis	Prevotella	Phascolarctobacterium	Monoglobus	Lactobacillus	Megasphaera	Coprococcus	Ligilactobacillus	Lachnoclostridium	UCG-005	Barnesiella	NK4A214 group	Intestinibacter	Butyricicoccus	Turicibacter	[Eubacterium] ruminantium group	Veillonella	Rikenellaceae RC9 gut group	Limosilactobacillus	[Ruminococcus] gnavus group	[Eubacterium] eligens group	Prevotella_7	Paraprevotella	Lachnospiraceae ND3007 group	Haemophilus	Lachnospira	Alloprevotella	[Eubacterium] ventriosum group	Odoribacter	Parasutterella	UBA1819	Terrisporobacter	Erysipelatoclostridium	Oscillibacter	Sutterella	UCG-003	Flavonifractor	Family XIII AD3011 group	Klebsiella	Tyzzerella	Intestinimonas	[Ruminococcus] gauvreauii group	Eisenbergiella	Colidextribacter	Butyricimonas	Senegalimassilia	[Eubacterium] siraeum group	CAG-56	Enterobacter	Lachnospiraceae UCG-010	Desulfovibrio	Negativibacillus	Bilophila	Tuzzerella	Lactococcus	Eggerthella	Pseudomonas	Lachnospiraceae UCG-004	Enterococcus	Paludicola	Lachnospiraceae UCG-001	Acidaminococcus
SRR5514927	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.0011368180037976123	-0.0013343010917529234	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.0009046821069268323	0.0023312747752948096	0.0023312747752948096	-0.0012070295031638978	0.0023312747752948096	-0.001784658938380071	-0.0013566083326421413	-0.0016543963130892395	-0.0013981248175645449	0.0023312747752948096	-0.001216777266464549	-0.001550014783292198	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.0010900655640461773	0.0023312747752948096	0.0023312747752948096	-0.0010686984736586482	0.0023312747752948096	0.0023312747752948096	-0.0013404600672903666	0.0023312747752948096	0.0023312747752948096	-0.0009701715179105377	0.0023312747752948096	-0.0010378729784721612	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.0011859618685513646	-0.0008362625889252076	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.001601236091071176	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.001016007320364016	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.0008187475760666098	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	-0.0011905367374223572	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096	0.0023312747752948096
SRR5514928	-0.0014478306055506563	0.002296728554106893	-0.0010133866772275143	0.002296728554106893	-0.001499151783908233	0.002296728554106893	-0.001129178059184042	-0.0015592445678264527	-0.001053745350581171	-0.001002956882582533	-0.0013201237133349773	0.002296728554106893	0.002296728554106893	-0.0013338029856257503	0.002296728554106893	-0.0013612640651802447	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.0014413960426419596	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.0013684066415608626	0.002296728554106893	-0.0013694652352543048	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.0011217373824261392	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.001093290427760531	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.0010453109382376675	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.0014636303216180482	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	-0.0010076733054587735	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893	0.002296728554106893
SRR5514932	0.002320016397718159	0.002320016397718159	0.002320016397718159	-0.0015830174475200038	-0.0014549126612273806	-0.0015744009999258172	-0.0009395108559573809	0.002320016397718159	0.002320016397718159	-0.0011776844267350748	-0.0013297014132762632	0.002320016397718159	-0.000950387717931362	-0.0013267411594070464	0.002320016397718159	-0.0012097811673867484	-0.0015412854089487667	-0.0011611796025859736	0.002320016397718159	-0.0013306158921372652	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	-0.0014619834780095107	-0.0010756196808832923	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	-0.001156786859115629	0.002320016397718159	-0.0010932571795647843	0.002320016397718159	0.002320016397718159	0.002320016397718159	-0.0006957499326341152	0.002320016397718159	0.002320016397718159	0.002320016397718159	-0.0008871998789699946	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	-0.0012371413645505761	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159	0.002320016397718159
SRR5514933	-0.0014925079283167296	-0.0010486761086078464	-0.0013425434270068653	-0.0010989300934932042	-0.0014748967167680586	-0.0018469264097743675	-0.0007322499385047513	-0.001055381610528295	0.0023892660023714482	-0.0011284441109899387	-0.0011141783090734855	-0.0011750615116554283	0.0023892660023714482	-0.001428039212416419	-0.001076137567759758	0.0023892660023714482	-0.0010937399523886454	0.0023892660023714482	-0.001372263354800382	-0.0012712044420721614	0.0023892660023714482	-0.0009247332693166537	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.0010212782395967793	-0.0014084472301964242	-0.001172721802824947	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.001275374537461824	0.0023892660023714482	0.0023892660023714482	-0.0008350126354022635	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.0014814083578718914	0.0023892660023714482	-0.0013398012178154148	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.0007857212183294476	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.0011523277663954595	0.0023892660023714482	0.0023892660023714482	-0.0010039449189672323	0.0023892660023714482	-0.0013369388911872065	0.0023892660023714482	-0.001116639168869497	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.0010268424999160892	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	0.0023892660023714482	-0.0010791985474868087	0.0023892660023714482	0.0023892660023714482
SRR5514934	-0.0009508260590607126	-0.0013723404192528736	0.002322518824106292	-0.0018264006511559136	-0.0012740443521277603	-0.0013019358996810997	-0.001248072848812833	0.002322518824106292	0.002322518824106292	-0.0008195670746000172	-0.0011390035296228104	-0.0009004931388263932	-0.0011662285282208666	0.002322518824106292	-0.0012422560363427536	-0.0007947188902138763	-0.0013548410432970635	0.002322518824106292	-0.0011550958474781533	0.002322518824106292	0.002322518824106292	-0.001019770508994788	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	-0.0011264566788727723	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	-0.0014940757973201726	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	-0.001086234302497285	0.002322518824106292	0.002322518824106292	-0.0010931809020713825	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	-0.0015370474522231883	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	-0.0014046979248991725	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292	0.002322518824106292
SRR5514935	0.002359412035534657	-0.0017743160397304966	0.002359412035534657	-0.0014487995739256181	-0.0013922810660309368	-0.0014110793085823907	-0.0012464280015230234	-0.0012722248070544102	0.002359412035534657	-0.0008730249582137186	-0.0010878512947482136	0.002359412035534657	-0.0008790887882285352	0.002359412035534657	0.002359412035534657	-0.0011257256310292345	-0.0013516579211372962	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	-0.0011238411436298567	0.002359412035534657	-0.000874050666623756	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	-0.0013423619162846521	0.002359412035534657	0.002359412035534657	0.002359412035534657	-0.0010944481494291696	0.002359412035534657	0.002359412035534657	0.002359412035534657	-0.0008915320446927985	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	-0.0009048463118365426	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657	0.002359412035534657
SRR5514936	0.0022630495984108825	-0.0014787886792951373	0.0022630495984108825	-0.001602894006243658	-0.0014700250210627566	-0.0013468513419743733	-0.000723828153018687	-0.0013566291871049884	0.0022630495984108825	-0.0009764424332487317	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	-0.0010651894726300256	0.0022630495984108825	-0.0013200978824502811	-0.0015754442239435539	0.0022630495984108825	0.0022630495984108825	-0.0008871842845615252	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	-0.0014536788795745657	-0.0010765726905023797	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	-0.0010150084820069222	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	-0.0008789736597502899	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	-0.0009862736828358382	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825	0.0022630495984108825
SRR5514937	-0.0011896928129282907	-0.000977666185207259	0.002415844920040762	-0.0018748471065581174	-0.001450511165977847	-0.0013191447221626803	-0.0014975879672408966	-0.0013810882331172386	-0.0009051258003092044	-0.0011742834095681504	-0.0010928999605702406	0.002415844920040762	-0.001208968513281629	0.002415844920040762	-0.0012101810518726484	-0.0014748138268034592	-0.0013285163244549046	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.0012907640134471583	0.002415844920040762	-0.001130700369162236	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.001143289769639097	-0.0015846364398216287	0.002415844920040762	-0.0010881088475527794	0.002415844920040762	-0.0016847103020215934	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.001412188606453721	0.002415844920040762	-0.0011011420462621276	-0.0010113867767640003	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.0012029563949964518	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.000849809573008331	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.0010751499802751482	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.0010502990615992918	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.0013285163244549046	0.002415844920040762	-0.0012120696431786359	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	0.002415844920040762	-0.0009247311563711168
SRR5514939	0.002293902357355624	-0.0012276661633262656	0.002293902357355624	-0.001483263722781803	-0.0011653227266745108	-0.0011444417377906007	-0.0011088598324791596	-0.0013239054964998974	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	-0.0011663600056608203	-0.0013980084867089425	0.002293902357355624	0.002293902357355624	-0.0011236373991094673	0.002293902357355624	0.002293902357355624	-0.0011730197969860325	0.002293902357355624	-0.0011672439732633125	0.002293902357355624	-0.0015093398295877795	0.002293902357355624	0.002293902357355624	-0.0009923024840469668	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	-0.0008205013612242046	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	-0.001225817852708944	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	-0.0012048224548475242	0.002293902357355624	0.002293902357355624	0.002293902357355624	-0.0012066867628737303	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	-0.0009167733737791781	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624	0.002293902357355624
SRR5514940	0.002260805516211436	-0.0015031612787184763	0.002260805516211436	-0.0015919542472857193	0.002260805516211436	-0.0011874390569591295	-0.0009382186447664386	-0.0014490934273203397	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	-0.0010588981966733232	0.002260805516211436	0.002260805516211436	-0.0012400233996317843	-0.0012011669651408549	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	-0.0007820680046205005	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	-0.0011525607196920353	0.002260805516211436	0.002260805516211436	-0.0008470383944056363	0.002260805516211436	0.002260805516211436	-0.001391036032550165	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	-0.0013837542682924606	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436	0.002260805516211436
