	Bacteroides	Bifidobacterium	Faecalibacterium	Prevotella_9	Blautia	Escherichia-Shigella	Akkermansia	Subdoligranulum	Alistipes	Ruminococcus	Dorea	Roseburia	Dialister	UCG-002	[Ruminococcus] torques group	Streptococcus	Catenibacterium	Agathobacter	Parabacteroides	Christensenellaceae R-7 group	Fusicatenibacter	Romboutsia	Anaerostipes	Clostridium sensu stricto 1	CAG-352	Lachnospiraceae NK4A136 group	Holdemanella	[Eubacterium] hallii group	Megamonas	Collinsella	Erysipelotrichaceae UCG-003	Incertae Sedis	Prevotella	Phascolarctobacterium	Monoglobus	Lactobacillus	Megasphaera	Coprococcus	Ligilactobacillus	Lachnoclostridium	UCG-005	Barnesiella	NK4A214 group	Intestinibacter	Butyricicoccus	Turicibacter	[Eubacterium] ruminantium group	Veillonella	Rikenellaceae RC9 gut group	Limosilactobacillus	[Ruminococcus] gnavus group	[Eubacterium] eligens group	Prevotella_7	Paraprevotella	Lachnospiraceae ND3007 group	Haemophilus	Lachnospira	Alloprevotella	[Eubacterium] ventriosum group	Odoribacter	Parasutterella	UBA1819	Terrisporobacter	Erysipelatoclostridium	Oscillibacter	Sutterella	UCG-003	Flavonifractor	Family XIII AD3011 group	Klebsiella	Tyzzerella	Intestinimonas	[Ruminococcus] gauvreauii group	Eisenbergiella	Colidextribacter	Butyricimonas	Senegalimassilia	[Eubacterium] siraeum group	CAG-56	Enterobacter	Lachnospiraceae UCG-010	Desulfovibrio	Negativibacillus	Bilophila	Tuzzerella	Lactococcus	Eggerthella	Pseudomonas	Lachnospiraceae UCG-004	Enterococcus	Paludicola	Lachnospiraceae UCG-001	Acidaminococcus
SRR5514927	0.0	0.0	0.0	0.007778403166723567	0.025069894903900273	0.0	0.0	0.0	0.0019653616542255276	0.0	0.0	0.011792169925353166	0.0	0.3616080902774574	0.028613082111518126	0.16710187585926903	0.036594480378678136	0.0	0.012493425726860866	0.09001909999354106	0.0	0.0	0.0	0.005896084962676583	0.0	0.0	0.005194829161168883	0.0	0.0	0.026001826955903928	0.0	0.0	0.0028972937062291815	0.0	0.004327486459304096	0.0	0.0	0.0	0.0	0.0	0.010408112422377441	0.0013102411028170183	0.0	0.0	0.0	0.0	0.0	0.0	0.12194469306218109	0.0	0.0	0.0	0.0038015446081733207	0.0	0.0	0.0	0.0	0.001181062402539284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010694150972992424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514928	0.07140415600947655	0.0	0.005233318796336677	0.0	0.09722893412383164	0.0	0.010501997854810763	0.13956695465635718	0.006671302789924683	0.004915076437099987	0.033120778868707346	0.0	0.0	0.035961386593745946	0.0	0.042420527810846174	0.0	0.0	0.0	0.0	0.06869320257894179	0.0	0.0	0.0	0.0	0.0	0.0	0.044282834950083096	0.0	0.044565717047182374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010042314447024433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008462889404886789	0.0	0.0	0.0	0.0	0.00634127367664219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07852335545314176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005056517485649627	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514932	0.0	0.0	0.0	0.1468584405753217	0.06848504920514761	0.13951315291445873	0.003181775170325511	0.0	0.0	0.013141086298258895	0.03249195685087055	0.0	0.0033946820590461772	0.031924205147615445	0.0	0.015908875851627556	0.1145439061317184	0.011910957607872823	0.0	0.03266937925813777	0.0	0.0	0.0	0.0	0.0	0.0	0.07143026116578349	0.00715603709311128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011603425435276305	0.0	0.007948523845571537	0.0	0.0	0.0	0.0007451741105223316	0.0	0.0	0.0	0.0023301476154428463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01872397804693414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514933	0.054900653158896105	0.004217091971833748	0.023066512366867388	0.005639134613498617	0.049585155836259144	0.42619108330227723	0.000676696153619834	0.004383814212580664	0.0	0.006688504011140969	0.006158915717003707	0.008757821234529157	0.0	0.03781652707765334	0.00494282407861444	0.0	0.005472412372751701	0.0	0.027391483435655024	0.015269795814291038	0.0	0.0020595100327560167	0.0	0.0	0.0	0.0035992389620069436	0.0337661573465665	0.0086401349469431	0.0	0.0	0.0	0.0	0.0	0.015642469058313554	0.0	0.0	0.0012258988290214385	0.0	0.0	0.0	0.05148775081890042	0.0	0.02270364631347704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009218759194241217	0.0	0.0	0.0	0.007679030264990291	0.0	0.0	0.0032559872898809405	0.0	0.022330973069454522	0.0	0.006247180432693251	0.0	0.0	0.0	0.0	0.0	0.0	0.0037169252495930015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005031088794303984	0.0	0.0
SRR5514934	0.0029464488080275276	0.036160962643974205	0.0	0.5385922980240249	0.020151237302454002	0.023787938103970493	0.017266602105783693	0.0	0.0	0.001349597181299322	0.009024787258154246	0.0021840809346218037	0.010611336616322914	0.0	0.016679372797890096	0.0011641563472276596	0.03258607545381493	0.0	0.009931386891393485	0.0	0.0	0.004440277749160365	0.0	0.0	0.0	0.0	0.008375744338903427	0.0	0.0	0.0	0.0	0.0	0.07459872663960604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006593451878103559	0.0	0.0	0.006871613129211052	0.0	0.0	0.0	0.0	0.09632621103166918	0.0	0.0	0.0	0.0	0.04383615272082913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514935	0.0	0.48382584888254027	0.0	0.0719281016575901	0.0516620539832753	0.057673422015891436	0.021992084040115465	0.025578073386304793	0.0	0.002470017557956135	0.0086897003243758	0.0	0.0025592953010147904	0.0	0.0	0.01084724578162664	0.04072553045859001	0.0	0.0	0.0	0.0	0.010728208790881766	0.0	0.0024848971817992443	0.0	0.0	0.0	0.0	0.038567985001339164	0.0	0.0	0.0	0.009031931672767312	0.0	0.0	0.0	0.0027527304109752106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029759247686218493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514936	0.0	0.10569384182081144	0.0	0.22547004643373678	0.10018776483722819	0.04723300601354952	0.0010530055060769836	0.05013828626525589	0.0	0.004922483570576742	0.0	0.0	0.0	0.008462104488594555	0.0	0.04011570373753521	0.19068280429321763	0.0	0.0	0.0028545329984014617	0.0	0.0	0.0	0.0	0.0	0.0	0.09067265484255664	0.009071071528253533	0.0	0.0	0.0	0.0	0.006229225343178301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027149780518129457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005226967090406232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514937	0.007831513802934427	0.002329462485223559	0.0	0.39400076489812946	0.03480286489117586	0.01641923371114665	0.045554898824838326	0.02339892914261873	0.0015384882831513803	0.007170919963841179	0.0045024685348724015	0.0	0.008744176343786941	0.0	0.008805020513177109	0.039992003337737295	0.017323204227800572	0.0	0.0	0.0	0.0	0.013959390862944163	0.0	0.005588971559696823	0.0	0.0	0.0	0.0060061887212294	0.07494263264028928	0.0	0.004380780196092066	0.0	0.13282282177873583	0.0	0.0	0.0	0.027953549822682708	0.0	0.004719769139837285	0.0028249078645434947	0.0	0.0	0.0	0.0	0.0	0.008448647521034698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011212711216188026	0.0	0.0	0.0	0.004067867324942633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035289618246297197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017323204227800572	0.0	0.008900632779361657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001721020791321883
SRR5514939	0.0	0.01969166676758747	0.0	0.09179756094607196	0.013527424218570235	0.011928838724522543	0.009627844452787231	0.03515677037288218	0.0	0.0	0.0	0.0	0.01361219769173943	0.05493321061363884	0.0	0.0	0.0105240211691473	0.0	0.0	0.014169280515422716	0.0	0.013684860668741599	0.0	0.107407990505371	0.0	0.0	0.0047715354898090175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016954694633839148	0.0	0.0	0.0	0.0	0.0	0.019473677836580966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017160573068678624	0.0	0.0	0.0	0.01735434100735107	0.0	0.0	0.0	0.0	0.0030276240417569907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514940	0.0	0.1753856110451947	0.0	0.30174738431668646	0.0	0.025473699349225182	0.005554956315392083	0.12603818358321647	0.0	0.0	0.0	0.0	0.011613274368101247	0.0	0.0	0.03512745838277065	0.027702872757343688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021392873835975983	0.0	0.0	0.0	0.0	0.0	0.020583899615287816	0.0	0.0	0.003181965268040125	0.0	0.0	0.08839391651386043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08454679466436558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
