	Bacteroides	Bifidobacterium	Faecalibacterium	Prevotella_9	Blautia	Escherichia-Shigella	Akkermansia	Subdoligranulum	Alistipes	Ruminococcus	Dorea	Roseburia	Dialister	UCG-002	[Ruminococcus] torques group	Streptococcus	Catenibacterium	Agathobacter	Parabacteroides	Christensenellaceae R-7 group	Fusicatenibacter	Romboutsia	Anaerostipes	Clostridium sensu stricto 1	CAG-352	Lachnospiraceae NK4A136 group	Holdemanella	[Eubacterium] hallii group	Megamonas	Collinsella	Erysipelotrichaceae UCG-003	Incertae Sedis	Prevotella	Phascolarctobacterium	Monoglobus	Lactobacillus	Megasphaera	Coprococcus	Ligilactobacillus	Lachnoclostridium	UCG-005	Barnesiella	NK4A214 group	Intestinibacter	Butyricicoccus	Turicibacter	[Eubacterium] ruminantium group	Veillonella	Rikenellaceae RC9 gut group	Limosilactobacillus	[Ruminococcus] gnavus group	[Eubacterium] eligens group	Prevotella_7	Paraprevotella	Lachnospiraceae ND3007 group	Haemophilus	Lachnospira	Alloprevotella	[Eubacterium] ventriosum group	Odoribacter	Parasutterella	UBA1819	Terrisporobacter	Erysipelatoclostridium	Oscillibacter	Sutterella	UCG-003	Flavonifractor	Family XIII AD3011 group	Klebsiella	Tyzzerella	Intestinimonas	[Ruminococcus] gauvreauii group	Eisenbergiella	Colidextribacter	Butyricimonas	Senegalimassilia	[Eubacterium] siraeum group	CAG-56	Enterobacter	Lachnospiraceae UCG-010	Desulfovibrio	Negativibacillus	Bilophila	Tuzzerella	Lactococcus	Eggerthella	Pseudomonas	Lachnospiraceae UCG-004	Enterococcus	Paludicola	Lachnospiraceae UCG-001	Acidaminococcus
SRR5514927	-4.757238611669992	-4.757238611669992	-4.757238611669992	15.795166901704013	16.965483553128504	-4.757238611669992	-4.757238611669992	-4.757238611669992	14.419492109411582	-4.757238611669992	-4.757238611669992	16.211251578639637	-4.757238611669992	19.634376834895832	17.097679862802607	18.862419494579616	17.343713252781896	-4.757238611669992	16.269018397174378	18.24383770303797	-4.757238611669992	-4.757238611669992	-4.757238611669992	15.518104398079693	-4.757238611669992	-4.757238611669992	15.391479571841849	-4.757238611669992	-4.757238611669992	17.001982636160783	-4.757238611669992	-4.757238611669992	14.807592929610411	-4.757238611669992	15.208802712148437	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	16.08640137576016	14.014027001303418	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	18.547383439462916	-4.757238611669992	-4.757238611669992	-4.757238611669992	15.079223293051683	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	13.910230207621774	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	16.11351278704191	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992	-4.757238611669992
SRR5514928	18.386789189060988	-4.137781357677827	15.77347875990603	-4.137781357677827	18.695501457334537	-4.137781357677827	16.469998624944616	19.056977561804764	16.01624827567699	15.710740419272607	17.618593959801597	-4.137781357677827	-4.137781357677827	17.700878882190473	-4.137781357677827	17.866065505552836	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	18.3480833647889	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	17.909030243047773	-4.137781357677827	17.91539800136474	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	16.425240724303123	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	16.254123766522028	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	15.96551275763559	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	18.481829216227432	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	15.739111116401823	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827	-4.137781357677827
SRR5514932	-4.307201659811424	-4.307201659811424	-4.307201659811424	18.934976137837715	18.172122465981754	18.88366588725649	15.102946275016553	-4.307201659811424	-4.307201659811424	16.521250685054344	17.426499581509987	-4.307201659811424	15.167717111174335	17.408871508432718	-4.307201659811424	16.712384187450652	18.686465213472665	16.422965788133276	-4.307201659811424	17.431945229383953	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	18.214228609722618	15.913463353445556	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	16.396807354980076	-4.307201659811424	16.018493235937864	-4.307201659811424	-4.307201659811424	-4.307201659811424	13.651369621806246	-4.307201659811424	-4.307201659811424	-4.307201659811424	14.791438624152704	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	16.875311955295725	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424	-4.307201659811424
SRR5514933	15.557902371125646	12.991522909737853	14.690759010068764	13.282107741847597	15.456068636876939	17.60726492348588	11.161844205647505	13.030296295663813	-6.887710854991949	13.452767358893707	13.370277867518444	13.722324281926745	-6.887710854991949	15.185123356780682	13.150313969121616	-6.887710854991949	13.252096663431557	-6.887710854991949	14.862609266995422	14.278253872884244	-6.887710854991949	12.274845231767713	-6.887710854991949	-6.887710854991949	-6.887710854991949	12.833099549104816	15.07183616438877	13.708795326986426	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	14.30236671626919	-6.887710854991949	-6.887710854991949	11.756051438352547	-6.887710854991949	-6.887710854991949	-6.887710854991949	15.493721056635916	-6.887710854991949	14.674902667570581	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	11.47103248332025	-6.887710854991949	-6.887710854991949	-6.887710854991949	13.590870397041048	-6.887710854991949	-6.887710854991949	12.732872669966735	-6.887710854991949	14.658351767113984	-6.887710854991949	13.384507356622409	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	12.865273906132671	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	-6.887710854991949	13.168013546221015	-6.887710854991949	-6.887710854991949
SRR5514934	14.733100349914501	17.24047985555456	-4.7383300162775	19.941458578876343	16.655765389689414	16.821678348449144	16.501273820136678	-4.7383300162775	-4.7383300162775	13.952305862295802	15.85247463003104	14.433694813766662	16.01442262031833	-4.7383300162775	16.466672492772283	13.80449635780699	17.136384762400297	-4.7383300162775	15.948199833705196	-4.7383300162775	-4.7383300162775	15.143216629198397	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	15.777839648642459	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	17.964623136483468	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	15.538576715448368	-4.7383300162775	-4.7383300162775	15.579898585010273	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	18.220240161377383	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	17.432958580102124	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775	-4.7383300162775
SRR5514935	-3.79053749878509	20.4143846111575	-3.79053749878509	18.508326617554467	18.177383132071277	18.287456029301694	17.323342157799186	17.47439506167389	-3.79053749878509	15.13688484464758	16.394798039119266	-3.79053749878509	15.172391533104491	-3.79053749878509	-3.79053749878509	16.616570788299697	17.939514765331715	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	16.605536193575986	-3.79053749878509	15.142890868707791	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	17.885082113763204	-3.79053749878509	-3.79053749878509	-3.79053749878509	16.433425847350534	-3.79053749878509	-3.79053749878509	-3.79053749878509	15.245252881369362	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	15.323214422839074	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509	-3.79053749878509
SRR5514936	-3.6381099932300973	19.205062337744433	-3.6381099932300973	19.962703025825324	19.151561781267105	18.39960863564224	14.596164169566123	18.459300620637283	-3.6381099932300973	16.138328901392796	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	16.680113607685147	-3.6381099932300973	18.23628357953894	19.795127044516544	-3.6381099932300973	-3.6381099932300973	15.593423963973944	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	19.051771528989505	16.74960610446353	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	16.373767689564044	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	15.543299576791377	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	16.19834691111905	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973	-3.6381099932300973
SRR5514937	13.876362743592214	12.663844466494734	-6.7425900699958135	17.794559769229814	15.367906626418987	14.616660353485386	15.637125084786042	14.970897176748494	12.249007218557706	13.788240872318557	13.322832728243359	-6.7425900699958135	13.986594836643562	-6.7425900699958135	13.99352899023256	15.506886436139345	14.670253806196673	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	14.454359380490583	-6.7425900699958135	13.539002210221497	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	13.610997309751546	16.134929841290955	-6.7425900699958135	13.295433754055246	-6.7425900699958135	16.707222991589134	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	15.148751116282734	-6.7425900699958135	13.369966805917812	12.856682668313614	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	13.952213290444316	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	11.932669890345549	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	13.221325781901523	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	13.07921064558561	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	14.670253806196673	-6.7425900699958135	14.00432929158333	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	-6.7425900699958135	12.361124516678412
SRR5514939	-4.05710470878949	17.1522091364699	-4.05710470878949	18.69159932499856	16.776732645431345	16.650972487534233	16.436672961016477	17.731830810386775	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	16.78297987681578	18.178131691769728	-4.05710470878949	-4.05710470878949	16.525673971627533	-4.05710470878949	-4.05710470878949	16.823089874153943	-4.05710470878949	16.78830375806853	-4.05710470878949	18.848648175738596	-4.05710470878949	-4.05710470878949	15.734681755660077	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	14.699973268971448	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	17.141077296101056	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	17.014628086052824	-4.05710470878949	-4.05710470878949	-4.05710470878949	17.025856274190314	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	15.279791764224388	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949	-4.05710470878949
SRR5514940	-2.9645463772388716	20.036521936861043	-2.9645463772388716	20.579125086939367	-2.9645463772388716	18.107181417215912	16.584225454422977	19.7061198007322	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	17.32168368130783	-2.9645463772388716	-2.9645463772388716	18.42851801012796	18.19107101284535	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	15.630007670636761	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	17.89404409351357	-2.9645463772388716	-2.9645463772388716	16.02703391009906	-2.9645463772388716	-2.9645463772388716	19.351338044937172	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	19.30684005947028	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716	-2.9645463772388716
