	Bacteroides	Bifidobacterium	Faecalibacterium	Prevotella_9	Blautia	Escherichia-Shigella	Akkermansia	Subdoligranulum	Alistipes	Ruminococcus	Dorea	Roseburia	Dialister	UCG-002	[Ruminococcus] torques group	Streptococcus	Catenibacterium	Agathobacter	Parabacteroides	Christensenellaceae R-7 group	Fusicatenibacter	Romboutsia	Anaerostipes	Clostridium sensu stricto 1	CAG-352	Lachnospiraceae NK4A136 group	Holdemanella	[Eubacterium] hallii group	Megamonas	Collinsella	Erysipelotrichaceae UCG-003	Incertae Sedis	Prevotella	Phascolarctobacterium	Monoglobus	Lactobacillus	Megasphaera	Coprococcus	Ligilactobacillus	Lachnoclostridium	UCG-005	Barnesiella	NK4A214 group	Intestinibacter	Butyricicoccus	Turicibacter	[Eubacterium] ruminantium group	Veillonella	Rikenellaceae RC9 gut group	Limosilactobacillus	[Ruminococcus] gnavus group	[Eubacterium] eligens group	Prevotella_7	Paraprevotella	Lachnospiraceae ND3007 group	Haemophilus	Lachnospira	Alloprevotella	[Eubacterium] ventriosum group	Odoribacter	Parasutterella	UBA1819	Terrisporobacter	Erysipelatoclostridium	Oscillibacter	Sutterella	UCG-003	Flavonifractor	Family XIII AD3011 group	Klebsiella	Tyzzerella	Intestinimonas	[Ruminococcus] gauvreauii group	Eisenbergiella	Colidextribacter	Butyricimonas	Senegalimassilia	[Eubacterium] siraeum group	CAG-56	Enterobacter	Lachnospiraceae UCG-010	Desulfovibrio	Negativibacillus	Bilophila	Tuzzerella	Lactococcus	Eggerthella	Pseudomonas	Lachnospiraceae UCG-004	Enterococcus	Paludicola	Lachnospiraceae UCG-001	Acidaminococcus
SRR5514927	0.0	0.0	0.0	0.008304109696993578	0.026764253910713583	0.0	0.0	0.0	0.00209819141810158	0.0	0.0	0.01258914850860948	0.0	0.38604751960282124	0.030546908861657274	0.17839552385830806	0.039067733165215335	0.0	0.01333779896765042	0.09610307734741322	0.0	0.0	0.0	0.00629457425430474	0.0	0.0	0.0055459237952638005	0.0	0.0	0.02775917096812325	0.0	0.0	0.0030931084755112495	0.0	0.004619961385397376	0.0	0.0	0.0	0.0	0.0	0.0111115489183971	0.0013987942787343868	0.0	0.0	0.0	0.0	0.0	0.0	0.13018637456164545	0.0	0.0	0.0	0.004058473541116671	0.0	0.0	0.0	0.0	0.0012608849836478978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011416919500374325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514928	0.10014712932502355	0.0	0.007339934866343754	0.0	0.13636739349655322	0.0	0.01472946388718983	0.19574812782066753	0.009356763816104875	0.0068935874758228495	0.04645319138384223	0.0	0.0	0.05043725512886214	0.0	0.05949645401795308	0.0	0.0	0.0	0.0	0.09634491081317882	0.0	0.0	0.0	0.0	0.0	0.0	0.06210841282174208	0.0	0.06250516605776066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014084739878659635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011869534310889223	0.0	0.0	0.0	0.0	0.008893885040749864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11013208576482451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00709196409383214	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514932	0.0	0.0	0.0	0.20009024688970542	0.09330883774898473	0.19008251144201638	0.004335073809063366	0.0	0.0	0.017904338296912268	0.04426932250370657	0.0	0.004625153097402179	0.043495777734803065	0.0	0.02167536904531683	0.15606265712628117	0.016228324630954683	0.0	0.04451105524398891	0.0	0.0	0.0	0.0	0.0	0.0	0.09732160123767163	0.009749887191387868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015809321214465287	0.0	0.010829626764649004	0.0	0.0	0.0	0.001015277509185844	0.0	0.0	0.0	0.0031747566557081158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025510861857796687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514933	0.0631429344883595	0.004850207543764663	0.026529507309149974	0.006485742645731817	0.05702941707273056	0.49017550983576974	0.0007782891174878181	0.005041959935029778	0.0	0.007692654755459304	0.00708355892438188	0.010072640317632196	0.0	0.043493954159898936	0.00568489442338928	0.0	0.006293990254466703	0.0	0.03150378992961559	0.017562263129399024	0.0	0.0023687060097455333	0.0	0.0	0.0	0.004139595740841003	0.03883549900739939	0.00993728568850388	0.0	0.0	0.0	0.0	0.0	0.017990886121638693	0.0	0.0	0.0014099440534199603	0.0	0.0	0.0	0.059217650243638335	0.0	0.026112163869337665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010602779281718101	0.0	0.0	0.0	0.008831889550622632	0.0	0.0	0.0037448114058834144	0.0	0.025683540877097996	0.0	0.007185074896228117	0.0	0.0	0.0	0.0	0.0	0.0	0.0042749503699693195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005786410395235517	0.0	0.0
SRR5514934	0.0030581366751852527	0.03753167737727355	0.0	0.5590081372098246	0.02091508858972851	0.024689641898611007	0.01792110862800868	0.0	0.0	0.0014007549106617766	0.009366880165952033	0.0022668705424450123	0.011013569144897938	0.0	0.017311619850087147	0.0012082847702655018	0.033821280781856485	0.0	0.010307845296778263	0.0	0.0	0.00460859058393302	0.0	0.0	0.0	0.0	0.008693234674565072	0.0	0.0	0.0	0.0	0.0	0.07742646036719025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00684338276964532	0.0	0.0	0.007132087980239732	0.0	0.0	0.0	0.0	0.0999775451502871	0.0	0.0	0.0	0.0	0.04549780263256381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514935	0.0	0.5729186855783631	0.0	0.08517311250110123	0.06117522685225971	0.06829354241917011	0.026041758435380143	0.030288080345344023	0.0	0.0029248524359087305	0.010289842304642763	0.0	0.0030305699938331424	0.0	0.0	0.012844683287816051	0.04822482600651925	0.0	0.0	0.0	0.0	0.012703726543916835	0.0	0.0029424720288961327	0.0	0.0	0.0	0.0	0.04566998502334596	0.0	0.0	0.0	0.010695092943353008	0.0	0.0	0.0	0.0032596247026693685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003523918597480398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514936	0.0	0.11866000085459129	0.0	0.2531299406059052	0.1124784571778547	0.05302738965089946	0.0011821846202053868	0.05628907974761071	0.0	0.005526357019755302	0.0	0.0	0.0	0.00950020652622883	0.0	0.04503696107336666	0.21407511857454173	0.0	0.0	0.0032047173439302655	0.0	0.0	0.0	0.0	0.0	0.0	0.10179606603142047	0.010183879559600621	0.0	0.0	0.0	0.0	0.006993405403865601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030480422737825634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005868193536441197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514937	0.008414426866396459	0.00250284839089262	0.0	0.42332692056258053	0.0373933020788584	0.0176413455611797	0.04894562842040382	0.02514055174732438	0.0016530006163731111	0.007704663889874671	0.0048375950241879755	0.0	0.009395020452380509	0.0	0.009460393358112778	0.04296867703916771	0.018612600160630568	0.0	0.0	0.0	0.0	0.01499841237228936	0.0	0.0060049683408356525	0.0	0.0	0.0	0.006453239694428361	0.0805207418890902	0.0	0.004706849212723435	0.0	0.14270905321354527	0.0	0.0	0.0	0.030034180690711444	0.0	0.005071069687517511	0.003035170623283961	0.0	0.0	0.0	0.0	0.0	0.009077494910252339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001204729262780403	0.0	0.0	0.0	0.004370645697528904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003791628532471656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018612600160630568	0.0	0.009563122209977773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001849119333569921
SRR5514939	0.0	0.042850366310019504	0.0	0.19975755020291994	0.02943656775417699	0.025957940230854373	0.02095082485637485	0.07650345227428451	0.0	0.0	0.0	0.0	0.02962104042586834	0.11953829125599537	0.0	0.0	0.022900964528540558	0.0	0.0	0.030833289411268644	0.0	0.02977915985874664	0.0	0.23372687503294154	0.0	0.0	0.010383176092341748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036894534338270174	0.0	0.0	0.0	0.0	0.0	0.0423760080113846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037342539398092026	0.0	0.0	0.0	0.03776419121910083	0.0	0.0	0.0	0.0	0.006588309703262531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5514940	0.0	0.19326465927099842	0.0	0.3325079239302694	0.0	0.028070522979397782	0.0061212361331220285	0.13888668779714738	0.0	0.0	0.0	0.0	0.01279714738510301	0.0	0.0	0.038708399366085576	0.030526941362916005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023573692551505545	0.0	0.0	0.0	0.0	0.0	0.022682250396196514	0.0	0.0	0.003506339144215531	0.0	0.0	0.09740491283676704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09316561014263075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
