Replicate	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Mean	Model
1	0.7142857142857142	0.9142857142857143	0.7142857142857143	0.6285714285714286	0.75	0.7222222222222223	0.6388888888888888	0.5277777777777778	0.7666666666666666	0.3333333333333333	0.6710317460317461	mlp
2	0.5142857142857142	0.8857142857142857	0.5714285714285714	0.48571428571428577	0.8333333333333334	0.6944444444444444	0.6666666666666667	0.6944444444444444	0.9333333333333333	0.4666666666666667	0.6746031746031746	mlp
3	0.7142857142857143	0.6	0.8857142857142857	0.6000000000000001	0.6944444444444445	0.8055555555555556	0.6666666666666667	0.9166666666666667	0.5333333333333333	0.6333333333333333	0.7049999999999998	mlp
4	0.39999999999999997	0.6857142857142857	0.45714285714285713	0.8571428571428572	0.7222222222222223	0.8333333333333334	0.888888888888889	0.5555555555555556	0.6333333333333333	0.6666666666666667	0.67	mlp
5	0.4	0.5714285714285714	0.9714285714285715	0.8285714285714286	0.5555555555555556	0.5833333333333334	0.9722222222222223	0.5833333333333334	0.8666666666666667	0.7666666666666666	0.7099206349206351	mlp
Average	0.5485714285714285	0.7314285714285713	0.72	0.68	0.7111111111111112	0.7277777777777779	0.7666666666666667	0.6555555555555557	0.7466666666666667	0.5733333333333334	0.6861111111111111	mlp
1	0.6	0.5714285714285714	0.7714285714285714	0.8571428571428572	0.8333333333333334	0.6666666666666667	0.5833333333333334	0.7222222222222222	0.6666666666666666	0.9666666666666668	0.7238888888888889	xgboost
2	0.7142857142857143	0.6571428571428571	0.7714285714285714	0.6	0.4166666666666667	0.75	0.7222222222222223	0.7777777777777779	0.6666666666666666	0.4333333333333333	0.6509523809523811	xgboost
3	0.7714285714285714	0.4285714285714286	0.8571428571428572	0.8857142857142857	0.7361111111111112	0.8611111111111112	0.8194444444444445	0.5555555555555556	0.4666666666666666	0.5666666666666667	0.6948412698412698	xgboost
4	0.5428571428571428	0.6	0.8571428571428571	0.8571428571428572	0.6388888888888888	0.4166666666666667	0.8333333333333334	0.6666666666666667	0.9	0.5333333333333333	0.6846031746031747	xgboost
5	0.8285714285714286	0.657142857142857	0.5142857142857142	0.6857142857142857	0.8055555555555556	0.6666666666666667	0.6944444444444444	0.2638888888888889	0.9	0.7666666666666666	0.6782936507936508	xgboost
