model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.545031746031746	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.5563492063492064	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.5603174603174603	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.5307142857142857	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.5643253968253967	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.5333650793650794	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.5775714285714286	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.6771269841269841	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.5538412698412698	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.6455238095238096	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.5561904761904761	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.6574126984126984	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.5995873015873017				0.1			0.8	0	100.0						
xgboost	0.5705873015873015				0.1			0.8	0	500.0						
xgboost	0.6955555555555556				0.01			0.8	0	100.0						
xgboost	0.651936507936508				0.01			0.8	0	500.0						
xgboost	0.644095238095238				0.1			0.8	0.5	100.0						
xgboost	0.6789206349206349				0.1			0.8	0.5	500.0						
xgboost	0.6714603174603175				0.01			0.8	0.5	100.0						
xgboost	0.6747301587301587				0.01			0.8	0.5	500.0						
xgboost	0.6126031746031746				0.1			1.0	0	100.0						
xgboost	0.5727460317460317				0.1			1.0	0	500.0						
xgboost	0.6703492063492064				0.01			1.0	0	100.0						
xgboost	0.6544285714285715				0.01			1.0	0	500.0						
xgboost	0.6661746031746032				0.1			1.0	0.5	100.0						
xgboost	0.6710396825396826				0.1			1.0	0.5	500.0						
xgboost	0.6855555555555555				0.01			1.0	0.5	100.0						
xgboost	0.6536825396825396				0.01			1.0	0.5	500.0						
svm	0.7242063492063492								scale		0.1	linear				
svm	0.4637142857142857								scale		0.1	rbf				
svm	0.5078730158730159								scale		0.1	sigmoid				
svm	0.6434920634920636								0.1		0.1	linear				
svm	0.5743968253968255								0.1		0.1	rbf				
svm	0.5692142857142858								0.1		0.1	sigmoid				
svm	0.6053809523809524								1		0.1	linear				
svm	0.6416507936507936								1		0.1	rbf				
svm	0.4159206349206349								1		0.1	sigmoid				
svm	0.726515873015873								scale		1.0	linear				
svm	0.6587857142857143								scale		1.0	rbf				
svm	0.7367301587301588								scale		1.0	sigmoid				
svm	0.6969761904761905								0.1		1.0	linear				
svm	0.552547619047619								0.1		1.0	rbf				
svm	0.7007301587301586								0.1		1.0	sigmoid				
svm	0.6871269841269841								1		1.0	linear				
svm	0.715031746031746								1		1.0	rbf				
svm	0.7388412698412699								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.7471269841269841						10000.0				0.01		l2	lbfgs		
lr	0.7467142857142857						10000.0				0.01		l2	saga		
lr	0.7258571428571428						10000.0				0.01		l2	liblinear		
lr	0.7443492063492063						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.7471904761904762						10000.0				0.1		l2	lbfgs		
lr	0.7537460317460317						10000.0				0.1		l2	saga		
lr	0.7257460317460318						10000.0				0.1		l2	liblinear		
lr	0.749873015873016						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.6936507936507935						10000.0				1.0		l1	saga		
lr	0.6792619047619047						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.7423174603174603						10000.0				1.0		l2	lbfgs		
lr	0.7433015873015874						10000.0				1.0		l2	saga		
lr	0.7359047619047618						10000.0				1.0		l2	liblinear		
lr	0.7471111111111112						10000.0				1.0		l2	newton-cg		
rf	0.6377301587301587									200.0					15.0	sqrt
rf	0.6373333333333335									750.0					15.0	sqrt
rf	0.6382539682539683									200.0					15.0	log2
rf	0.6207460317460318									750.0					15.0	log2
rf	0.6472619047619048									200.0					25.0	sqrt
rf	0.6446349206349207									750.0					25.0	sqrt
rf	0.6409920634920636									200.0					25.0	log2
rf	0.6517142857142858									750.0					25.0	log2
