model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.42712435022742046	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.4435396361273554	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.4343632228719948	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.4574987816764133	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.47660047108512016	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.45936444119558156	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.47364035087719303	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.5072364359974009	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.4614956952566602	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.47143843404808317	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.49669671864847303	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.4872506497725796	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.45808966861598444				0.1			0.8	0	100.0						
xgboost	0.44769411955815464				0.1			0.8	0	500.0						
xgboost	0.5964288905133204				0.01			0.8	0	100.0						
xgboost	0.5179227582846003				0.01			0.8	0	500.0						
xgboost	0.5456743421052631				0.1			0.8	0.5	100.0						
xgboost	0.5227718892137752				0.1			0.8	0.5	500.0						
xgboost	0.6060857293697206				0.01			0.8	0.5	100.0						
xgboost	0.5520037361923327				0.01			0.8	0.5	500.0						
xgboost	0.495080003248863				0.1			1.0	0	100.0						
xgboost	0.4586094866796621				0.1			1.0	0	500.0						
xgboost	0.5688667560103965				0.01			1.0	0	100.0						
xgboost	0.5217633203378818				0.01			1.0	0	500.0						
xgboost	0.5599932992202729				0.1			1.0	0.5	100.0						
xgboost	0.5599932992202729				0.1			1.0	0.5	500.0						
xgboost	0.6264772173489278				0.01			1.0	0.5	100.0						
xgboost	0.5770224171539962				0.01			1.0	0.5	500.0						
svm	0.5365598602988955								scale		0.1	linear				
svm	0.5492143843404809								scale		0.1	rbf				
svm	0.568414554905783								scale		0.1	sigmoid				
svm	0.4879692576348277								0.1		0.1	linear				
svm	0.5795244476933072								0.1		0.1	rbf				
svm	0.5479426575698506								0.1		0.1	sigmoid				
svm	0.49569038336582194								1		0.1	linear				
svm	0.5566758040935673								1		0.1	rbf				
svm	0.5497567413905132								1		0.1	sigmoid				
svm	0.5455527128005198								scale		1.0	linear				
svm	0.5224224333983105								scale		1.0	rbf				
svm	0.5882517056530214								scale		1.0	sigmoid				
svm	0.5463243177387913								0.1		1.0	linear				
svm	0.5655265188434048								0.1		1.0	rbf				
svm	0.5406418534762832								0.1		1.0	sigmoid				
svm	0.5323688271604938								1		1.0	linear				
svm	0.5750897498375568								1		1.0	rbf				
svm	0.567984283625731								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.5855973846653671						10000.0				0.01		l2	lbfgs		
lr	0.5855973846653671						10000.0				0.01		l2	saga		
lr	0.6147275016244315						10000.0				0.01		l2	liblinear		
lr	0.5855973846653671						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.5921215074723847						10000.0				0.1		l2	lbfgs		
lr	0.5921215074723847						10000.0				0.1		l2	saga		
lr	0.6051332033788174						10000.0				0.1		l2	liblinear		
lr	0.5921215074723847						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.5168859649122807						10000.0				1.0		l1	saga		
lr	0.5168859649122807						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.5927530051981806						10000.0				1.0		l2	lbfgs		
lr	0.5935246101364523						10000.0				1.0		l2	saga		
lr	0.5977156432748538						10000.0				1.0		l2	liblinear		
lr	0.5935246101364523						10000.0				1.0		l2	newton-cg		
rf	0.4718465724496427									200.0					15.0	sqrt
rf	0.4537556855100714									750.0					15.0	sqrt
rf	0.46399366471734893									200.0					15.0	log2
rf	0.46251705653021447									750.0					15.0	log2
rf	0.48901924951267056									200.0					25.0	sqrt
rf	0.45175743177387917									750.0					25.0	sqrt
rf	0.4504044834307992									200.0					25.0	log2
rf	0.4391323505523067									750.0					25.0	log2
