Replicate	16S_102_Bodkhe	16S_119_Salamon	16S_80_Garcia	Mean	Model
1	0.5810185185185186	0.4486842105263158	0.515625	0.5151092430149448	mlp
2	0.5856481481481481	0.4407894736842105	0.421875	0.4827708739441195	mlp
3	0.5740740740740742	0.43552631578947376	0.421875	0.47715846328784933	mlp
4	0.5787037037037037	0.49078947368421055	0.46875	0.5127477257959714	mlp
5	0.5833333333333334	0.48026315789473684	0.515625	0.52640716374269	mlp
Average	0.5805555555555556	0.45921052631578946	0.46875	0.502838693957115	mlp
1	0.5451388888888888	0.5921052631578947	0.7421875	0.6264772173489278	xgboost
2	0.5451388888888888	0.5921052631578947	0.7421875	0.6264772173489278	xgboost
3	0.5451388888888888	0.5921052631578947	0.7421875	0.6264772173489278	xgboost
4	0.5451388888888888	0.5921052631578947	0.7421875	0.6264772173489278	xgboost
5	0.5451388888888888	0.5921052631578947	0.7421875	0.6264772173489278	xgboost
Average	0.5451388888888888	0.5921052631578947	0.7421875	0.6264772173489278	xgboost
1	0.5960648148148149	0.5131578947368421	0.6953125	0.601511736517219	svm
2	0.5995370370370371	0.5078947368421053	0.703125	0.6035189246263808	svm
3	0.5995370370370371	0.5078947368421053	0.6875	0.5983105912930474	svm
4	0.601851851851852	0.5078947368421053	0.703125	0.6042905295646525	svm
5	0.5995370370370371	0.5078947368421053	0.703125	0.6035189246263808	svm
Average	0.5993055555555558	0.5089473684210527	0.6984375	0.6022301413255361	svm
1	0.6134259259259259	0.5276315789473685	0.703125	0.6147275016244315	lr
2	0.6134259259259259	0.5276315789473685	0.703125	0.6147275016244315	lr
3	0.6134259259259259	0.5276315789473685	0.703125	0.6147275016244315	lr
4	0.6134259259259259	0.5276315789473685	0.703125	0.6147275016244315	lr
5	0.6134259259259259	0.5276315789473685	0.703125	0.6147275016244315	lr
Average	0.6134259259259259	0.5276315789473685	0.703125	0.6147275016244315	lr
1	0.42013888888888884	0.48815789473684207	0.46875	0.4590155945419103	rf
2	0.42939814814814814	0.3894736842105263	0.4921875	0.4370197774528915	rf
3	0.474537037037037	0.4736842105263158	0.5078125	0.48534458252111756	rf
4	0.47222222222222227	0.4519736842105263	0.4921875	0.4721278021442495	rf
5	0.4224537037037037	0.4144736842105263	0.5	0.44564246263807666	rf
Average	0.44375	0.4435526315789474	0.4921875	0.4598300438596491	rf
