Replicate	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Mean	Model
1	0.7166666666666667	0.8833333333333333	0.8666666666666667	0.7	0.5333333333333333	0.8166666666666667	0.7833333333333333	0.8333333333333333	0.7222222222222222	0.6666666666666667	0.7522222222222223	mlp
2	0.5833333333333334	0.75	0.8166666666666667	0.7333333333333333	0.6333333333333333	0.6666666666666666	0.7666666666666667	0.85	0.7592592592592593	0.6851851851851851	0.7244444444444444	mlp
3	0.7833333333333334	0.8833333333333333	0.7333333333333333	1.0	0.9666666666666667	0.8833333333333333	0.6	0.6333333333333333	0.7037037037037037	0.6481481481481481	0.7835185185185186	mlp
4	0.8166666666666667	0.7333333333333333	0.8	0.7333333333333333	0.9666666666666668	0.7166666666666667	0.6166666666666667	0.8333333333333334	0.7592592592592593	0.8333333333333334	0.7809259259259259	mlp
5	0.8666666666666666	0.7333333333333334	0.8166666666666667	0.6666666666666667	0.8666666666666667	0.6833333333333333	0.7666666666666666	0.8499999999999999	0.5740740740740741	0.6481481481481481	0.7472222222222222	mlp
Average	0.7533333333333334	0.7966666666666666	0.8066666666666666	0.7666666666666666	0.7933333333333333	0.7533333333333333	0.7066666666666667	0.8	0.7037037037037037	0.6962962962962964	0.7576666666666667	mlp
1	0.8166666666666668	0.9	0.7000000000000001	0.9	0.8	0.9833333333333334	0.6666666666666667	0.4666666666666666	0.5740740740740741	0.6851851851851852	0.7492592592592594	xgboost
2	0.7166666666666667	0.8333333333333334	0.6833333333333333	0.7833333333333333	0.8666666666666667	0.8666666666666667	0.65	0.8666666666666667	0.6481481481481481	0.9074074074074074	0.7822222222222222	xgboost
3	0.7833333333333333	0.7166666666666667	0.8833333333333333	0.65	0.49999999999999994	0.9833333333333334	0.7833333333333333	0.7500000000000001	1.0	0.6666666666666667	0.7716666666666667	xgboost
4	0.8833333333333334	0.7333333333333334	0.9	0.8833333333333333	0.7333333333333333	0.8333333333333333	0.5666666666666667	0.8166666666666667	0.8518518518518519	0.6666666666666667	0.7868518518518519	xgboost
5	0.7166666666666667	0.8499999999999999	0.8	0.65	0.9333333333333333	0.48333333333333334	0.6833333333333333	0.8999999999999999	0.9444444444444444	0.7222222222222222	0.7683333333333333	xgboost
Average	0.7833333333333334	0.8066666666666666	0.7933333333333333	0.7733333333333333	0.7666666666666666	0.8300000000000001	0.6700000000000002	0.76	0.8037037037037038	0.7296296296296297	0.7716666666666667	xgboost
