model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.745037037037037	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.7677777777777777	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.7384074074074074	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.7516296296296296	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.7367777777777779	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.7487037037037035	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.769074074074074	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.7676296296296297	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.7368148148148148	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.7485925925925926	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.7468518518518519	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.7572962962962964	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.7556296296296295				0.1			0.8	0	100.0						
xgboost	0.7754074074074074				0.1			0.8	0	500.0						
xgboost	0.7318148148148149				0.01			0.8	0	100.0						
xgboost	0.7791111111111111				0.01			0.8	0	500.0						
xgboost	0.7751111111111111				0.1			0.8	0.5	100.0						
xgboost	0.7917037037037037				0.1			0.8	0.5	500.0						
xgboost	0.7287037037037036				0.01			0.8	0.5	100.0						
xgboost	0.783074074074074				0.01			0.8	0.5	500.0						
xgboost	0.7667037037037037				0.1			1.0	0	100.0						
xgboost	0.7765925925925925				0.1			1.0	0	500.0						
xgboost	0.7213703703703704				0.01			1.0	0	100.0						
xgboost	0.7755185185185185				0.01			1.0	0	500.0						
xgboost	0.7888148148148149				0.1			1.0	0.5	100.0						
xgboost	0.7802962962962964				0.1			1.0	0.5	500.0						
xgboost	0.7290185185185185				0.01			1.0	0.5	100.0						
xgboost	0.7461851851851853				0.01			1.0	0.5	500.0						
svm	0.708962962962963								scale		0.1	linear				
svm	0.6931851851851852								scale		0.1	rbf				
svm	0.7030000000000001								scale		0.1	sigmoid				
svm	0.7085185185185185								0.1		0.1	linear				
svm	0.6950370370370371								0.1		0.1	rbf				
svm	0.6812222222222222								0.1		0.1	sigmoid				
svm	0.6974814814814815								1		0.1	linear				
svm	0.6888518518518518								1		0.1	rbf				
svm	0.6798148148148149								1		0.1	sigmoid				
svm	0.7224814814814815								scale		1.0	linear				
svm	0.6935370370370371								scale		1.0	rbf				
svm	0.7279074074074073								scale		1.0	sigmoid				
svm	0.7184814814814816								0.1		1.0	linear				
svm	0.7091481481481481								0.1		1.0	rbf				
svm	0.7172962962962963								0.1		1.0	sigmoid				
svm	0.6994814814814815								1		1.0	linear				
svm	0.7057777777777778								1		1.0	rbf				
svm	0.7059259259259258								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.6778518518518518						10000.0				0.01		l2	lbfgs		
lr	0.6827037037037037						10000.0				0.01		l2	saga		
lr	0.6577777777777778						10000.0				0.01		l2	liblinear		
lr	0.6927407407407408						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.7001851851851852						10000.0				0.1		l2	lbfgs		
lr	0.700962962962963						10000.0				0.1		l2	saga		
lr	0.6843333333333333						10000.0				0.1		l2	liblinear		
lr	0.6922962962962963						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.4925						10000.0				1.0		l1	saga		
lr	0.48566666666666664						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.6908148148148149						10000.0				1.0		l2	lbfgs		
lr	0.6927407407407408						10000.0				1.0		l2	saga		
lr	0.6915555555555556						10000.0				1.0		l2	liblinear		
lr	0.7016666666666667						10000.0				1.0		l2	newton-cg		
rf	0.808537037037037									200.0					15.0	sqrt
rf	0.825388888888889									750.0					15.0	sqrt
rf	0.8117962962962963									200.0					15.0	log2
rf	0.8252222222222221									750.0					15.0	log2
rf	0.8008518518518517									200.0					25.0	sqrt
rf	0.8290740740740741									750.0					25.0	sqrt
rf	0.8264444444444445									200.0					25.0	log2
rf	0.8207407407407408									750.0					25.0	log2
