Replicate	16S_102_Bodkhe	16S_49_Turjeman	16S_60_Shi	Mean	Model
1	0.7155388471177945	0.7259259259259259	0.7666666666666667	0.7360438132367957	mlp
2	0.7167919799498746	0.737037037037037	0.7655555555555555	0.7397948575141559	mlp
3	0.7205513784461154	0.7370370370370369	0.7755555555555556	0.7443813236795692	mlp
4	0.7142857142857142	0.7555555555555555	0.7677777777777777	0.7458730158730158	mlp
5	0.7180451127819549	0.7518518518518518	0.77	0.7466323215446021	mlp
Average	0.7170426065162908	0.7414814814814814	0.7691111111111112	0.7425450663696277	mlp
1	0.6704260651629074	0.8074074074074074	0.7033333333333334	0.7270556019678827	xgboost
2	0.6704260651629074	0.8074074074074074	0.7033333333333334	0.7270556019678827	xgboost
3	0.6704260651629074	0.8074074074074074	0.7033333333333334	0.7270556019678827	xgboost
4	0.6704260651629074	0.8074074074074074	0.7033333333333334	0.7270556019678827	xgboost
5	0.6704260651629074	0.8074074074074074	0.7033333333333334	0.7270556019678827	xgboost
Average	0.6704260651629074	0.8074074074074072	0.7033333333333334	0.7270556019678827	xgboost
1	0.6040100250626567	0.7111111111111111	0.6733333333333333	0.6628181565023671	svm
2	0.6040100250626567	0.7	0.6733333333333333	0.6591144527986633	svm
3	0.6040100250626567	0.7074074074074075	0.6733333333333333	0.6615835886011325	svm
4	0.6040100250626567	0.7074074074074075	0.6977777777777777	0.6697317367492807	svm
5	0.6040100250626567	0.7111111111111111	0.6733333333333333	0.6628181565023671	svm
Average	0.6040100250626567	0.7074074074074075	0.6782222222222222	0.6632132182307622	svm
1	0.5651629072681704	0.6555555555555556	0.6722222222222223	0.6309802283486494	lr
2	0.5651629072681704	0.6555555555555556	0.6722222222222223	0.6309802283486494	lr
3	0.5651629072681704	0.6555555555555556	0.6722222222222223	0.6309802283486494	lr
4	0.5651629072681704	0.6555555555555556	0.6722222222222223	0.6309802283486494	lr
5	0.5651629072681704	0.6555555555555556	0.6722222222222223	0.6309802283486494	lr
Average	0.5651629072681704	0.6555555555555556	0.6722222222222223	0.6309802283486494	lr
1	0.6779448621553884	0.7703703703703704	0.816111111111111	0.7548087812122898	rf
2	0.6986215538847118	0.7925925925925926	0.8633333333333333	0.7848491599368792	rf
3	0.6967418546365913	0.7611111111111111	0.8322222222222222	0.7633583959899749	rf
4	0.6779448621553885	0.8222222222222222	0.8011111111111111	0.767092731829574	rf
5	0.693609022556391	0.7796296296296297	0.85	0.7744128840620069	rf
Average	0.6889724310776942	0.7851851851851852	0.8325555555555555	0.768904390606145	rf
