model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.7323766824468578	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.7344516847674742	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.7427275596398404	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.7332718834122343	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.7353251647637611	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.7306666666666668	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.736174139051332	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.6719753086419753	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.7391694049939663	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.71389176645317	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.7322051424858442	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.7190362944398033	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.6606846746495869				0.1			0.8	0	100.0						
xgboost	0.6629633342615799				0.1			0.8	0	500.0						
xgboost	0.6295598254896501				0.01			0.8	0	100.0						
xgboost	0.645694049939664				0.01			0.8	0	500.0						
xgboost	0.6069516383551472				0.1			0.8	0.5	100.0						
xgboost	0.6351616077230112				0.1			0.8	0.5	500.0						
xgboost	0.6244498282743897				0.01			0.8	0.5	100.0						
xgboost	0.6223005662303908				0.01			0.8	0.5	500.0						
xgboost	0.64783161607723				0.1			1.0	0	100.0						
xgboost	0.6437761069340017				0.1			1.0	0	500.0						
xgboost	0.6357170704539125				0.01			1.0	0	100.0						
xgboost	0.6473767752715122				0.01			1.0	0	500.0						
xgboost	0.6315251090689687				0.1			1.0	0.5	100.0						
xgboost	0.6315251090689687				0.1			1.0	0.5	500.0						
xgboost	0.6185913858720876				0.01			1.0	0.5	100.0						
xgboost	0.6303768680961664				0.01			1.0	0.5	500.0						
svm	0.6214838949224915								scale		0.1	linear				
svm	0.5484936415111854								scale		0.1	rbf				
svm	0.6114716420681333								scale		0.1	sigmoid				
svm	0.5984620811287479								0.1		0.1	linear				
svm	0.6250892044927132								0.1		0.1	rbf				
svm	0.5907600482688202								0.1		0.1	sigmoid				
svm	0.5828855472013367								1		0.1	linear				
svm	0.6078089668615985								1		0.1	rbf				
svm	0.5832256567344287								1		0.1	sigmoid				
svm	0.6204847303443795								scale		1.0	linear				
svm	0.6147474241158453								scale		1.0	rbf				
svm	0.6597753643367679								scale		1.0	sigmoid				
svm	0.583037408335654								0.1		1.0	linear				
svm	0.6265083078065534								0.1		1.0	rbf				
svm	0.582412884062007								0.1		1.0	sigmoid				
svm	0.5721483337974567								1		1.0	linear				
svm	0.606796992481203								1		1.0	rbf				
svm	0.582253040007426								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.6301160308177852						10000.0				0.01		l2	lbfgs		
lr	0.6301160308177852						10000.0				0.01		l2	saga		
lr	0.5917135431170518						10000.0				0.01		l2	liblinear		
lr	0.6301160308177852						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.6296983198737585						10000.0				0.1		l2	lbfgs		
lr	0.6292806089297317						10000.0				0.1		l2	saga		
lr	0.6085278009839413						10000.0				0.1		l2	liblinear		
lr	0.6289102385593613						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.5						10000.0				1.0		l1	saga		
lr	0.5						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.627817692379096						10000.0				1.0		l2	lbfgs		
lr	0.6277703518054395						10000.0				1.0		l2	saga		
lr	0.6237909588786782						10000.0				1.0		l2	liblinear		
lr	0.6270296110646988						10000.0				1.0		l2	newton-cg		
rf	0.7463166248955723									200.0					15.0	sqrt
rf	0.7523200594077787									750.0					15.0	sqrt
rf	0.726111018286457									200.0					15.0	log2
rf	0.7462857142857143									750.0					15.0	log2
rf	0.752109440267335									200.0					25.0	sqrt
rf	0.7504182678919522									750.0					25.0	sqrt
rf	0.7381791515826603									200.0					25.0	log2
rf	0.7475521210433491									750.0					25.0	log2
