model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.7391352455212106	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.737436925647452	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.7412531328320802	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.7397761069340016	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.7392737399053189	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.7461100900399146	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.7391621646709366	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.6635336489371577	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.7415711500974658	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.7207132646430893	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.7448556576626751	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.7259335375475726	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.7120776014109348				0.1			0.8	0	100.0						
xgboost	0.7007806553420589				0.1			0.8	0	500.0						
xgboost	0.6610440917107583				0.01			0.8	0	100.0						
xgboost	0.6979840341594727				0.01			0.8	0	500.0						
xgboost	0.6918765432098766				0.1			0.8	0.5	100.0						
xgboost	0.6873535691079551				0.1			0.8	0.5	500.0						
xgboost	0.6647796342708623				0.01			0.8	0.5	100.0						
xgboost	0.6900399146013181				0.01			0.8	0.5	500.0						
xgboost	0.7270556019678827				0.1			1.0	0	100.0						
xgboost	0.7184711779448621				0.1			1.0	0	500.0						
xgboost	0.669172932330827				0.01			1.0	0	100.0						
xgboost	0.7061849067112225				0.01			1.0	0	500.0						
xgboost	0.6895470156873665				0.1			1.0	0.5	100.0						
xgboost	0.6895470156873665				0.1			1.0	0.5	500.0						
xgboost	0.6686266592406943				0.01			1.0	0.5	100.0						
xgboost	0.6896519075466444				0.01			1.0	0.5	500.0						
svm	0.600503666573842								scale		0.1	linear				
svm	0.5429340016708437								scale		0.1	rbf				
svm	0.6341306971131533								scale		0.1	sigmoid				
svm	0.600270119743804								0.1		0.1	linear				
svm	0.5715499860763018								0.1		0.1	rbf				
svm	0.5847386985983477								0.1		0.1	sigmoid				
svm	0.5645283579318667								1		0.1	linear				
svm	0.5678414554905784								1		0.1	rbf				
svm	0.5991933537547572								1		0.1	sigmoid				
svm	0.6219526594263435								scale		1.0	linear				
svm	0.5773151397011047								scale		1.0	rbf				
svm	0.6596082799591572								scale		1.0	sigmoid				
svm	0.6032213868003341								0.1		1.0	linear				
svm	0.5760575512856215								0.1		1.0	rbf				
svm	0.6167982920263622								0.1		1.0	sigmoid				
svm	0.5735499860763018								1		1.0	linear				
svm	0.6264719205420961								1		1.0	rbf				
svm	0.602803490206999								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.6309802283486494						10000.0				0.01		l2	lbfgs		
lr	0.6309802283486494						10000.0				0.01		l2	saga		
lr	0.5917608836907082						10000.0				0.01		l2	liblinear		
lr	0.6309802283486494						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.6289102385593613						10000.0				0.1		l2	lbfgs		
lr	0.6289102385593613						10000.0				0.1		l2	saga		
lr	0.6081862062563816						10000.0				0.1		l2	liblinear		
lr	0.6289102385593613						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.5						10000.0				1.0		l1	saga		
lr	0.5						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.6273999814350693						10000.0				1.0		l2	lbfgs		
lr	0.6266592406943284						10000.0				1.0		l2	saga		
lr	0.626212754107491						10000.0				1.0		l2	liblinear		
lr	0.6266592406943284						10000.0				1.0		l2	newton-cg		
rf	0.7572943469785576									200.0					15.0	sqrt
rf	0.766050867910517									750.0					15.0	sqrt
rf	0.7540034345122064									200.0					15.0	log2
rf	0.7646028033045578									750.0					15.0	log2
rf	0.7543272069061542									200.0					25.0	sqrt
rf	0.773181843497633									750.0					25.0	sqrt
rf	0.75434335839599									200.0					25.0	log2
rf	0.7752053281351527									750.0					25.0	log2
