model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.566111111111111	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.5866666666666667	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.5772222222222223	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.5933333333333334	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.5927777777777778	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.5727777777777778	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.5694444444444444	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.5638888888888889	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.575	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.5911111111111113	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.6172222222222223	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.5822222222222223	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.5277777777777778				0.1			0.8	0	100.0						
xgboost	0.5161111111111112				0.1			0.8	0	500.0						
xgboost	0.47555555555555556				0.01			0.8	0	100.0						
xgboost	0.5327777777777778				0.01			0.8	0	500.0						
xgboost	0.5077777777777778				0.1			0.8	0.5	100.0						
xgboost	0.47833333333333333				0.1			0.8	0.5	500.0						
xgboost	0.4866666666666667				0.01			0.8	0.5	100.0						
xgboost	0.49111111111111105				0.01			0.8	0.5	500.0						
xgboost	0.51				0.1			1.0	0	100.0						
xgboost	0.5261111111111112				0.1			1.0	0	500.0						
xgboost	0.45555555555555555				0.01			1.0	0	100.0						
xgboost	0.4766666666666667				0.01			1.0	0	500.0						
xgboost	0.5144444444444445				0.1			1.0	0.5	100.0						
xgboost	0.4988888888888889				0.1			1.0	0.5	500.0						
xgboost	0.503611111111111				0.01			1.0	0.5	100.0						
xgboost	0.5016666666666667				0.01			1.0	0.5	500.0						
svm	0.48638888888888887								scale		0.1	linear				
svm	0.41694444444444445								scale		0.1	rbf				
svm	0.47055555555555556								scale		0.1	sigmoid				
svm	0.48111111111111116								0.1		0.1	linear				
svm	0.4844444444444445								0.1		0.1	rbf				
svm	0.4727777777777778								0.1		0.1	sigmoid				
svm	0.44833333333333336								1		0.1	linear				
svm	0.46805555555555556								1		0.1	rbf				
svm	0.4819444444444444								1		0.1	sigmoid				
svm	0.4686111111111111								scale		1.0	linear				
svm	0.5344444444444445								scale		1.0	rbf				
svm	0.4322222222222222								scale		1.0	sigmoid				
svm	0.46083333333333326								0.1		1.0	linear				
svm	0.44666666666666666								0.1		1.0	rbf				
svm	0.4886111111111111								0.1		1.0	sigmoid				
svm	0.4561111111111112								1		1.0	linear				
svm	0.42972222222222217								1		1.0	rbf				
svm	0.45666666666666667								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.5461111111111112						10000.0				0.01		l2	lbfgs		
lr	0.5305555555555556						10000.0				0.01		l2	saga		
lr	0.5255555555555557						10000.0				0.01		l2	liblinear		
lr	0.5450000000000002						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.54						10000.0				0.1		l2	lbfgs		
lr	0.5261111111111112						10000.0				0.1		l2	saga		
lr	0.5438888888888889						10000.0				0.1		l2	liblinear		
lr	0.5561111111111111						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.4836111111111111						10000.0				1.0		l1	saga		
lr	0.46499999999999997						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.5427777777777778						10000.0				1.0		l2	lbfgs		
lr	0.5105555555555557						10000.0				1.0		l2	saga		
lr	0.5427777777777777						10000.0				1.0		l2	liblinear		
lr	0.515						10000.0				1.0		l2	newton-cg		
rf	0.5766666666666667									200.0					15.0	sqrt
rf	0.5980555555555556									750.0					15.0	sqrt
rf	0.606111111111111									200.0					15.0	log2
rf	0.5791666666666668									750.0					15.0	log2
rf	0.5986111111111112									200.0					25.0	sqrt
rf	0.5822222222222223									750.0					25.0	sqrt
rf	0.5599999999999999									200.0					25.0	log2
rf	0.5969444444444445									750.0					25.0	log2
