Replicate	16S_1211_Milletich	16S_68_Girdhar	Mean	Model
1	0.5828402366863906	0.629757785467128	0.6062990110767593	mlp
2	0.5976331360946746	0.6280276816608995	0.6128304088777871	mlp
3	0.599112426035503	0.6245674740484428	0.6118399500419729	mlp
4	0.5887573964497042	0.610726643598616	0.5997420200241601	mlp
5	0.599112426035503	0.6159169550173009	0.607514690526402	mlp
Average	0.5934911242603551	0.6217993079584774	0.6076452161094162	mlp
1	0.584319526627219	0.6081314878892734	0.5962255072582462	xgboost
2	0.6272189349112426	0.610726643598616	0.6189727892549293	xgboost
3	0.6005917159763314	0.5960207612456747	0.5983062386110031	xgboost
4	0.6183431952662722	0.6150519031141869	0.6166975491902296	xgboost
5	0.6035502958579881	0.6219723183391004	0.6127613070985443	xgboost
Average	0.6068047337278106	0.6103806228373703	0.6085926782825904	xgboost
1	0.49852071005917165	0.49567474048442905	0.49709772527180035	svm
2	0.4970414201183432	0.4801038062283738	0.4885726131733585	svm
3	0.4955621301775148	0.4740484429065744	0.4848052865420446	svm
4	0.4948224852071006	0.4913494809688581	0.49308598308797935	svm
5	0.4822485207100592	0.476643598615917	0.4794460596629881	svm
Average	0.49363905325443785	0.4835640138408305	0.48860153354763414	svm
1	0.5340236686390533	0.5821799307958477	0.5581017997174504	lr
2	0.5340236686390533	0.5821799307958477	0.5581017997174504	lr
3	0.5340236686390533	0.5821799307958477	0.5581017997174504	lr
4	0.5340236686390533	0.5821799307958477	0.5581017997174504	lr
5	0.5340236686390533	0.5821799307958477	0.5581017997174504	lr
Average	0.5340236686390533	0.5821799307958477	0.5581017997174504	lr
1	0.5340236686390533	0.6020761245674741	0.5680498966032637	rf
2	0.5835798816568047	0.5670415224913495	0.5753107020740771	rf
3	0.5650887573964498	0.606833910034602	0.5859613337155258	rf
4	0.5828402366863906	0.5860726643598616	0.5844564505231261	rf
5	0.5643491124260355	0.6107266435986161	0.5875378780123257	rf
Average	0.5659763313609468	0.5945501730103807	0.5802632521856637	rf
