model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.5868230584959357	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.584667082983559	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.5884277553694642	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.5834258102823447	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.5884942978235499	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.5930928932659036	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.6037739808767224	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.5723372781065089	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.601890829426097	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.5839115701971704	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.6113285968755758	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.5924991298294466	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.6114412071824902				0.1			0.8	0	100.0						
xgboost	0.5928917303085524				0.1			0.8	0	500.0						
xgboost	0.5653121864826683				0.01			0.8	0	100.0						
xgboost	0.6048744906942938				0.01			0.8	0	500.0						
xgboost	0.6102762023709589				0.1			0.8	0.5	100.0						
xgboost	0.6026524845928626				0.1			0.8	0.5	500.0						
xgboost	0.5652845457709711				0.01			0.8	0.5	100.0						
xgboost	0.5955155504596548				0.01			0.8	0.5	500.0						
xgboost	0.5912041112999324				0.1			1.0	0	100.0						
xgboost	0.5897811265125612				0.1			1.0	0	500.0						
xgboost	0.5680038287504351				0.01			1.0	0	100.0						
xgboost	0.6051703486824594				0.01			1.0	0	500.0						
xgboost	0.589668516205647				0.1			1.0	0.5	100.0						
xgboost	0.589668516205647				0.1			1.0	0.5	500.0						
xgboost	0.5703827214839992				0.01			1.0	0.5	100.0						
xgboost	0.5978046108802031				0.01			1.0	0.5	500.0						
svm	0.4684586208308593								scale		0.1	linear				
svm	0.3592376282221904								scale		0.1	rbf				
svm	0.48687142974140585								scale		0.1	sigmoid				
svm	0.460586904445036								0.1		0.1	linear				
svm	0.4613767121885302								0.1		0.1	rbf				
svm	0.47373671710243437								0.1		0.1	sigmoid				
svm	0.4717396756823161								1		0.1	linear				
svm	0.44792208390491595								1		0.1	rbf				
svm	0.4714957719948404								1		0.1	sigmoid				
svm	0.4582525439692063								scale		1.0	linear				
svm	0.4476986548186974								scale		1.0	rbf				
svm	0.48468141520443886								scale		1.0	sigmoid				
svm	0.45452667840543814								0.1		1.0	linear				
svm	0.4548148584181323								0.1		1.0	rbf				
svm	0.4630592125468357								0.1		1.0	sigmoid				
svm	0.4544657664666981								1		1.0	linear				
svm	0.43207064761163777								1		1.0	rbf				
svm	0.45384333858848097								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.5437721381626093						10000.0				0.01		l2	lbfgs		
lr	0.5442046641141663						10000.0				0.01		l2	saga		
lr	0.5442046641141663						10000.0				0.01		l2	liblinear		
lr	0.5437721381626093						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.5434650191437522						10000.0				0.1		l2	lbfgs		
lr	0.5437245347146864						10000.0				0.1		l2	saga		
lr	0.5438975450953093						10000.0				0.1		l2	liblinear		
lr	0.5434650191437522						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.5						10000.0				1.0		l1	saga		
lr	0.5						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.5581017997174504						10000.0				1.0		l2	lbfgs		
lr	0.5581017997174504						10000.0				1.0		l2	saga		
lr	0.5569296287954792						10000.0				1.0		l2	liblinear		
lr	0.5581017997174504						10000.0				1.0		l2	newton-cg		
rf	0.5761030691427285									200.0					15.0	sqrt
rf	0.5671075530804037									750.0					15.0	sqrt
rf	0.5781687004770582									200.0					15.0	log2
rf	0.5918997358776437									750.0					15.0	log2
rf	0.567917067627608									200.0					25.0	sqrt
rf	0.5881011854794128									750.0					25.0	sqrt
rf	0.5762371777809628									200.0					25.0	log2
rf	0.5820061526176776									750.0					25.0	log2
