Replicate	16S_1211_Milletich	16S_68_Girdhar	Mean	Model
1	0.5724852071005917	0.6392733564013842	0.6058792817509879	mlp
2	0.6035502958579881	0.6237024221453288	0.6136263590016584	mlp
3	0.6035502958579884	0.6288927335640138	0.6162215147110011	mlp
4	0.5946745562130178	0.6444636678200693	0.6195691120165435	mlp
5	0.6020710059171598	0.629757785467128	0.6159143956921439	mlp
Average	0.5952662721893491	0.6332179930795847	0.614242132634467	mlp
1	0.6553254437869822	0.6098615916955017	0.632593517741242	xgboost
2	0.6420118343195267	0.6150519031141869	0.6285318687168568	xgboost
3	0.6627218934911242	0.5951557093425606	0.6289388014168424	xgboost
4	0.658284023668639	0.6072664359861593	0.6327752298273992	xgboost
5	0.6538461538461539	0.6141868512110727	0.6340165025286133	xgboost
Average	0.6544378698224852	0.6083044982698962	0.6313711840461907	xgboost
1	0.47337278106508873	0.49740484429065746	0.4853888126778731	svm
2	0.47337278106508873	0.49740484429065746	0.4853888126778731	svm
3	0.47337278106508873	0.49826989619377166	0.4858213386294302	svm
4	0.47337278106508873	0.4978373702422145	0.48560507565365163	svm
5	0.47337278106508873	0.4602076124567474	0.46679019676091804	svm
Average	0.4733727810650887	0.49022491349480973	0.48179884727994915	svm
1	0.5340236686390533	0.5865051903114187	0.5602644294752359	lr
2	0.5340236686390533	0.5865051903114187	0.5602644294752359	lr
3	0.5340236686390533	0.5865051903114187	0.5602644294752359	lr
4	0.5340236686390533	0.5865051903114187	0.5602644294752359	lr
5	0.5340236686390533	0.5865051903114187	0.5602644294752359	lr
Average	0.5340236686390533	0.5865051903114187	0.5602644294752359	lr
1	0.5880177514792899	0.6098615916955018	0.5989396715873958	rf
2	0.6161242603550297	0.6262975778546713	0.6212109191048505	rf
3	0.6087278106508875	0.6327854671280276	0.6207566388894576	rf
4	0.5902366863905326	0.5795847750865052	0.5849107307385188	rf
5	0.5857988165680473	0.5640138408304497	0.5749063286992485	rf
Average	0.5977810650887575	0.6025086505190311	0.6001448578038943	rf
