Replicate	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Mean	Model
1	0.8250000000000001	0.9833333333333334	0.8166666666666668	0.8034188034188035	0.8717948717948718	0.9444444444444444	1.0	0.9722222222222222	0.9814814814814814	0.6666666666666667	0.8865028490028489	mlp
2	0.8416666666666667	0.9500000000000001	0.8583333333333334	0.905982905982906	0.8717948717948718	0.9907407407407407	0.8333333333333334	0.8703703703703702	0.8796296296296297	0.7685185185185185	0.8770370370370371	mlp
3	0.9166666666666667	0.875	0.8749999999999999	0.8717948717948718	0.9316239316239316	0.9074074074074074	0.6574074074074074	0.9166666666666666	0.7870370370370371	1.0	0.8738603988603988	mlp
4	0.8916666666666666	0.85	0.9249999999999999	0.8547008547008547	0.8974358974358975	0.8518518518518519	0.8796296296296297	0.9537037037037037	0.9074074074074074	0.8796296296296297	0.8891025641025643	mlp
5	0.9249999999999999	0.9083333333333334	0.8999999999999999	0.811965811965812	0.9829059829059829	0.962962962962963	0.8333333333333333	0.9444444444444444	0.8240740740740741	0.7962962962962963	0.8889316239316238	mlp
Average	0.8800000000000001	0.9133333333333334	0.875	0.8495726495726496	0.9111111111111111	0.9314814814814815	0.8407407407407408	0.9314814814814815	0.875925925925926	0.8222222222222222	0.8830868945868946	mlp
1	0.9166666666666667	0.8333333333333334	0.9166666666666667	0.9401709401709402	0.9230769230769231	0.9444444444444444	0.9907407407407407	0.8148148148148149	0.9444444444444444	0.9722222222222222	0.9196581196581196	xgboost
2	0.9416666666666667	0.9	0.9416666666666667	0.9145299145299145	0.9658119658119658	0.7407407407407407	0.888888888888889	0.9444444444444445	0.9814814814814815	0.9814814814814814	0.9200712250712251	xgboost
3	0.775	0.9416666666666667	0.9416666666666667	1.0	0.9316239316239316	0.9537037037037037	0.962962962962963	0.7592592592592593	0.9814814814814814	0.7685185185185186	0.901588319088319	xgboost
4	0.9750000000000001	0.9500000000000001	0.9500000000000001	0.9743589743589743	0.7777777777777778	0.8148148148148148	0.9351851851851851	0.8055555555555556	0.8796296296296298	0.8055555555555556	0.8867877492877492	xgboost
5	0.8833333333333333	0.9	0.9666666666666668	0.9401709401709403	0.8547008547008548	0.8703703703703703	0.9722222222222222	0.8703703703703703	0.8888888888888888	0.9074074074074074	0.9054131054131055	xgboost
Average	0.8983333333333334	0.905	0.9433333333333334	0.9538461538461538	0.8905982905982907	0.8648148148148149	0.95	0.8388888888888889	0.9351851851851851	0.8870370370370371	0.9067037037037038	xgboost
1	0.6916666666666667	0.85	0.9333333333333333	0.7863247863247863	0.8547008547008548	0.9722222222222223	0.7962962962962963	0.7962962962962963	1.0	0.9074074074074074	0.8588247863247863	svm
2	0.9416666666666668	0.825	0.7	0.9572649572649573	0.7521367521367521	0.7222222222222222	0.9259259259259259	0.8611111111111112	0.75	0.925925925925926	0.8361253561253561	svm
3	0.9500000000000001	0.7666666666666666	0.9666666666666668	0.7777777777777778	0.6153846153846154	0.712962962962963	0.6574074074074074	0.8981481481481481	0.962962962962963	0.9259259259259258	0.8233903133903133	svm
4	0.825	0.8666666666666667	0.9166666666666666	0.811965811965812	0.8461538461538463	0.8981481481481483	0.7314814814814815	0.9444444444444445	0.8981481481481481	0.7037037037037037	0.8442378917378918	svm
5	0.8833333333333333	0.725	0.8333333333333334	0.9829059829059829	0.7264957264957266	0.8425925925925926	0.6666666666666667	0.9907407407407407	0.9166666666666667	0.8703703703703703	0.8438105413105413	svm
Average	0.8583333333333332	0.8066666666666666	0.8699999999999999	0.8632478632478632	0.758974358974359	0.8296296296296297	0.7555555555555555	0.8981481481481481	0.9055555555555556	0.8666666666666668	0.8412777777777777	svm
1	0.7083333333333333	0.8833333333333333	0.85	0.8119658119658121	0.8461538461538461	0.7777777777777778	0.7037037037037037	0.8240740740740741	0.8240740740740741	0.7314814814814815	0.7960897435897436	lr
2	0.6666666666666666	0.85	0.7333333333333333	0.6239316239316239	0.8376068376068377	0.7962962962962964	0.8703703703703703	0.7962962962962963	0.7407407407407407	0.9074074074074073	0.7822649572649573	lr
3	0.8999999999999999	0.775	0.7416666666666667	0.6923076923076923	0.7863247863247863	0.8981481481481483	0.8148148148148148	0.6944444444444444	0.8333333333333334	0.7407407407407407	0.7876780626780626	lr
4	0.7166666666666667	0.7166666666666667	0.8416666666666666	0.5213675213675214	0.8632478632478633	0.888888888888889	0.6018518518518519	0.8981481481481481	0.9074074074074074	0.8425925925925926	0.7798504273504274	lr
5	0.825	0.7083333333333333	0.8583333333333334	0.7350427350427351	0.8376068376068377	0.6574074074074074	0.7500000000000001	0.925925925925926	0.7685185185185185	0.6944444444444444	0.7760612535612536	lr
Average	0.7633333333333333	0.7866666666666667	0.805	0.676923076923077	0.8341880341880342	0.8037037037037038	0.7481481481481481	0.8277777777777778	0.8148148148148149	0.7833333333333334	0.784388888888889	lr
1	0.9833333333333334	0.8958333333333334	0.95	0.7991452991452992	0.9316239316239316	0.787037037037037	0.9444444444444444	0.7638888888888888	0.9907407407407407	1.0	0.9046047008547008	rf
2	0.925	0.925	0.9750000000000001	0.9487179487179488	0.9658119658119657	1.0	0.800925925925926	0.962962962962963	0.75	0.8240740740740741	0.9077492877492878	rf
3	0.9333333333333333	0.925	0.85	0.9487179487179487	0.8717948717948718	0.9629629629629629	0.9259259259259259	0.9907407407407407	0.9722222222222223	0.7916666666666667	0.917236467236467	rf
4	0.9083333333333334	0.9583333333333334	0.9750000000000001	0.9487179487179488	0.8803418803418803	0.962962962962963	0.9537037037037037	0.888888888888889	0.8240740740740741	0.9814814814814815	0.9281837606837607	rf
5	0.8416666666666667	1.0	0.8333333333333334	0.8974358974358975	0.9829059829059829	0.925925925925926	0.9722222222222222	0.9259259259259258	0.8472222222222222	0.8611111111111112	0.9087749287749286	rf
Average	0.9183333333333333	0.9408333333333335	0.9166666666666666	0.9085470085470086	0.9264957264957264	0.9277777777777778	0.9194444444444445	0.9064814814814814	0.8768518518518518	0.8916666666666666	0.9133098290598289	rf
