model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.8651737891737893	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.8681168091168091	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.8636381766381767	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.870454415954416	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.869065527065527	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.8754387464387465	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.8725284900284901	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.8476965811965812	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.8788831908831909	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.8591467236467236	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.8810740740740741	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.8694301994301993	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.9020128205128204				0.1			0.8	0	100.0						
xgboost	0.9042065527065526				0.1			0.8	0	500.0						
xgboost	0.8500413105413106				0.01			0.8	0	100.0						
xgboost	0.8853518518518518				0.01			0.8	0	500.0						
xgboost	0.8929045584045585				0.1			0.8	0.5	100.0						
xgboost	0.8926381766381766				0.1			0.8	0.5	500.0						
xgboost	0.8602863247863249				0.01			0.8	0.5	100.0						
xgboost	0.8864487179487179				0.01			0.8	0.5	500.0						
xgboost	0.8961894586894588				0.1			1.0	0	100.0						
xgboost	0.9078646723646722				0.1			1.0	0	500.0						
xgboost	0.8705178062678062				0.01			1.0	0	100.0						
xgboost	0.8888233618233619				0.01			1.0	0	500.0						
xgboost	0.8983105413105413				0.1			1.0	0.5	100.0						
xgboost	0.8895698005698005				0.1			1.0	0.5	500.0						
xgboost	0.8618603988603988				0.01			1.0	0.5	100.0						
xgboost	0.8888105413105414				0.01			1.0	0.5	500.0						
svm	0.7932521367521368								scale		0.1	linear				
svm	0.8046766381766381								scale		0.1	rbf				
svm	0.7914351851851851								scale		0.1	sigmoid				
svm	0.798343304843305								0.1		0.1	linear				
svm	0.7961752136752136								0.1		0.1	rbf				
svm	0.8008646723646724								0.1		0.1	sigmoid				
svm	0.8006595441595442								1		0.1	linear				
svm	0.7974971509971509								1		0.1	rbf				
svm	0.8013076923076923								1		0.1	sigmoid				
svm	0.7956196581196581								scale		1.0	linear				
svm	0.8407350427350428								scale		1.0	rbf				
svm	0.7646666666666666								scale		1.0	sigmoid				
svm	0.794022792022792								0.1		1.0	linear				
svm	0.7976353276353276								0.1		1.0	rbf				
svm	0.8034415954415953								0.1		1.0	sigmoid				
svm	0.7997977207977208								1		1.0	linear				
svm	0.7939914529914529								1		1.0	rbf				
svm	0.8015598290598289								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.7662464387464387						10000.0				0.01		l2	lbfgs		
lr	0.7733048433048433						10000.0				0.01		l2	saga		
lr	0.7797977207977208						10000.0				0.01		l2	liblinear		
lr	0.7810797720797721						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.7677678062678062						10000.0				0.1		l2	lbfgs		
lr	0.7728746438746439						10000.0				0.1		l2	saga		
lr	0.7806994301994303						10000.0				0.1		l2	liblinear		
lr	0.7756125356125356						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.728298433048433						10000.0				1.0		l1	saga		
lr	0.7142984330484332						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.7798589743589744						10000.0				1.0		l2	lbfgs		
lr	0.7744216524216525						10000.0				1.0		l2	saga		
lr	0.7809800569800569						10000.0				1.0		l2	liblinear		
lr	0.7902891737891738						10000.0				1.0		l2	newton-cg		
rf	0.9030242165242166									200.0					15.0	sqrt
rf	0.9152549857549858									750.0					15.0	sqrt
rf	0.9072464387464386									200.0					15.0	log2
rf	0.904445868945869									750.0					15.0	log2
rf	0.9130391737891739									200.0					25.0	sqrt
rf	0.9163254985754985									750.0					25.0	sqrt
rf	0.9034508547008547									200.0					25.0	log2
rf	0.9110106837606837									750.0					25.0	log2
