Replicate	16S_136_Nobel	16S_20_Rawson	16S_49_Turjeman	16S_96_Quagliariello	Mean	Model
1	0.698076923076923	0.6607142857142857	0.9066666666666667	0.6084388185654009	0.7184741735058191	mlp
2	0.6971153846153846	0.6785714285714286	0.8966666666666666	0.610126582278481	0.7206200155329903	mlp
3	0.6826923076923077	0.6428571428571428	0.8999999999999999	0.6126582278481013	0.7095519195993879	mlp
4	0.65	0.6785714285714286	0.9066666666666667	0.6202531645569619	0.7138728149487643	mlp
5	0.6211538461538462	0.7321428571428571	0.9066666666666666	0.6160337552742616	0.7189992813094079	mlp
Average	0.6698076923076923	0.6785714285714286	0.9033333333333333	0.6135021097046414	0.7163036409792739	mlp
1	0.6423076923076922	0.7857142857142857	0.9100000000000001	0.7552742616033756	0.7733240599063385	xgboost
2	0.6423076923076922	0.7857142857142857	0.9100000000000001	0.7552742616033756	0.7733240599063385	xgboost
3	0.6423076923076922	0.7857142857142857	0.9100000000000001	0.7552742616033756	0.7733240599063385	xgboost
4	0.6423076923076922	0.7857142857142857	0.9100000000000001	0.7552742616033756	0.7733240599063385	xgboost
5	0.6423076923076922	0.7857142857142857	0.9100000000000001	0.7552742616033756	0.7733240599063385	xgboost
Average	0.6423076923076922	0.7857142857142857	0.9100000000000001	0.7552742616033756	0.7733240599063385	xgboost
1	0.648076923076923	0.6964285714285714	0.8266666666666667	0.6295358649789029	0.700177006537766	svm
2	0.648076923076923	0.6964285714285714	0.8266666666666667	0.629535864978903	0.700177006537766	svm
3	0.648076923076923	0.6964285714285714	0.8266666666666667	0.6025316455696202	0.6934259516854454	svm
4	0.6475961538461539	0.6964285714285714	0.8266666666666667	0.6295358649789029	0.7000568142300737	svm
5	0.648076923076923	0.6964285714285714	0.8266666666666667	0.629535864978903	0.700177006537766	svm
Average	0.6479807692307691	0.6964285714285714	0.8266666666666665	0.6241350210970464	0.6988027571057633	svm
1	0.676923076923077	0.6607142857142857	0.8433333333333334	0.5012658227848101	0.6705591296888765	lr
2	0.676923076923077	0.6607142857142857	0.8433333333333334	0.5012658227848101	0.6705591296888765	lr
3	0.676923076923077	0.6607142857142857	0.8433333333333334	0.5012658227848101	0.6705591296888765	lr
4	0.676923076923077	0.6607142857142857	0.8433333333333334	0.5012658227848101	0.6705591296888765	lr
5	0.676923076923077	0.6607142857142857	0.8433333333333334	0.5012658227848101	0.6705591296888765	lr
Average	0.676923076923077	0.6607142857142857	0.8433333333333334	0.5012658227848101	0.6705591296888765	lr
1	0.5677884615384615	0.6428571428571429	0.89	0.7434599156118143	0.7110263800018547	rf
2	0.46490384615384617	0.8035714285714286	0.8266666666666667	0.6624472573839661	0.6893972996939768	rf
3	0.45480769230769225	0.7767857142857142	0.8083333333333333	0.6029535864978903	0.6607200816061576	rf
4	0.4879807692307692	0.7321428571428571	0.87	0.6603375527426161	0.6876152947790606	rf
5	0.4697115384615384	0.8392857142857143	0.815	0.6687763713080169	0.6981934060138174	rf
Average	0.4890384615384614	0.7589285714285714	0.8420000000000002	0.6675949367088608	0.6893904924189734	rf
