model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.6794614805026198	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.6811699297537905	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.678568426299439	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.6829363205360041	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.6587739660128902	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.6772413061621922	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.6920508125840404	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.7112612208466638	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.6886906326795568	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.6943095006259564	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.6820871876014282	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.7000725935456948	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.7373644167014419				0.1			0.8	0	100.0						
xgboost	0.7588595191728102				0.1			0.8	0	500.0						
xgboost	0.632920092038763				0.01			0.8	0	100.0						
xgboost	0.7136686778411462				0.01			0.8	0	500.0						
xgboost	0.7042767132656372				0.1			0.8	0.5	100.0						
xgboost	0.7143531726712107				0.1			0.8	0.5	500.0						
xgboost	0.6396602969814994				0.01			0.8	0.5	100.0						
xgboost	0.7119282410627348				0.01			0.8	0.5	500.0						
xgboost	0.7434403254972877				0.1			1.0	0	100.0						
xgboost	0.7733240599063385				0.1			1.0	0	500.0						
xgboost	0.6178540130755321				0.01			1.0	0	100.0						
xgboost	0.7034475703621272				0.01			1.0	0	500.0						
xgboost	0.7006491688691056				0.1			1.0	0.5	100.0						
xgboost	0.7006491688691056				0.1			1.0	0.5	500.0						
xgboost	0.6345440661659016				0.01			1.0	0.5	100.0						
xgboost	0.6909728694301479				0.01			1.0	0.5	500.0						
svm	0.6691388318959521								scale		0.1	linear				
svm	0.676713236657857								scale		0.1	rbf				
svm	0.6900798384105347								scale		0.1	sigmoid				
svm	0.6686282225158806								0.1		0.1	linear				
svm	0.6706813273751565								0.1		0.1	rbf				
svm	0.6722896265127278								0.1		0.1	sigmoid				
svm	0.6695239544211062								1		0.1	linear				
svm	0.6713528567951036								1		0.1	rbf				
svm	0.6709463068576993								1		0.1	sigmoid				
svm	0.6696580829508044								scale		1.0	linear				
svm	0.6570790733528075								scale		1.0	rbf				
svm	0.6974044692122223								scale		1.0	sigmoid				
svm	0.6704264675198219								0.1		1.0	linear				
svm	0.6708364341354848								0.1		1.0	rbf				
svm	0.6700123191681736								0.1		1.0	sigmoid				
svm	0.6698446324245375								1		1.0	linear				
svm	0.6721067922056845								1		1.0	rbf				
svm	0.6713488721194417								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.6685398989196457						10000.0				0.01		l2	lbfgs		
lr	0.6681179579913756						10000.0				0.01		l2	saga		
lr	0.6330723733018037						10000.0				0.01		l2	liblinear		
lr	0.6681179579913756						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.6685398989196457						10000.0				0.1		l2	lbfgs		
lr	0.6685398989196457						10000.0				0.1		l2	saga		
lr	0.6594131949274354						10000.0				0.1		l2	liblinear		
lr	0.6687508693837807						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.570279304029304						10000.0				1.0		l1	saga		
lr	0.5421147470672787						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.6703481592247416						10000.0				1.0		l2	lbfgs		
lr	0.6705591296888765						10000.0				1.0		l2	saga		
lr	0.666900009273427						10000.0				1.0		l2	liblinear		
lr	0.6701371887606065						10000.0				1.0		l2	newton-cg		
rf	0.7055744627208235									200.0					15.0	sqrt
rf	0.6891356122780172									750.0					15.0	sqrt
rf	0.6672306996800668									200.0					15.0	log2
rf	0.6757495247368666									750.0					15.0	log2
rf	0.6973639298465247									200.0					25.0	sqrt
rf	0.695315525455557									750.0					25.0	sqrt
rf	0.689299065122641									200.0					25.0	log2
rf	0.6788468841285298									750.0					25.0	log2
