model	mean_auc	batch_size	dropout	hidden_layer_sizes	learning_rate	learning_rate_init	max_iter	colsample_bytree	gamma	n_estimators	C	kernel	penalty	solver	max_depth	max_features
mlp	0.6764664359901703	auto		(64,)	adaptive	0.01	2000.0									
mlp	0.6723446527101591	auto		(64,)	adaptive	0.001	2000.0									
mlp	0.6776381334909816	auto		(256,)	adaptive	0.01	2000.0									
mlp	0.6754971600129829	auto		(256,)	adaptive	0.001	2000.0									
mlp	0.6619659723188205	auto		(128, 64)	adaptive	0.01	2000.0									
mlp	0.6735666817359857	auto		(128, 64)	adaptive	0.001	2000.0									
mlp	0.6850296170074652	auto	0.25	(64,)	adaptive	0.01	2000.0									
mlp	0.7135164313534568	auto	0.25	(64,)	adaptive	0.001	2000.0									
mlp	0.6830850083460843	auto	0.25	(256,)	adaptive	0.01	2000.0									
mlp	0.695835112672138	auto	0.25	(256,)	adaptive	0.001	2000.0									
mlp	0.6811445843186349	auto	0.25	(128, 64)	adaptive	0.01	2000.0									
mlp	0.6954117111791163	auto	0.25	(128, 64)	adaptive	0.001	2000.0									
xgboost	0.7220901666898503				0.1			0.8	0	100.0						
xgboost	0.7595749466777948				0.1			0.8	0	500.0						
xgboost	0.6355901956693096				0.01			0.8	0	100.0						
xgboost	0.7065119627208235				0.01			0.8	0	500.0						
xgboost	0.7140064566235452				0.1			0.8	0.5	100.0						
xgboost	0.7100949946677795				0.1			0.8	0.5	500.0						
xgboost	0.6349780915287244				0.01			0.8	0.5	100.0						
xgboost	0.7072434216627255				0.01			0.8	0.5	500.0						
xgboost	0.7284214598692447				0.1			1.0	0	100.0						
xgboost	0.7521162539991654				0.1			1.0	0	500.0						
xgboost	0.6407379909120415				0.01			1.0	0	100.0						
xgboost	0.7007735776881348				0.01			1.0	0	500.0						
xgboost	0.6963754231001066				0.1			1.0	0.5	100.0						
xgboost	0.6963754231001066				0.1			1.0	0.5	500.0						
xgboost	0.6500428026614735				0.01			1.0	0.5	100.0						
xgboost	0.7021947883340288				0.01			1.0	0.5	500.0						
svm	0.6687190035702694								scale		0.1	linear				
svm	0.6767313922891455								scale		0.1	rbf				
svm	0.6899150322251588								scale		0.1	sigmoid				
svm	0.6690559071729958								0.1		0.1	linear				
svm	0.6705234096072704								0.1		0.1	rbf				
svm	0.6670751611257941								0.1		0.1	sigmoid				
svm	0.6705249744980758								1		0.1	linear				
svm	0.6718026093105207								1		0.1	rbf				
svm	0.6705679626280892								1		0.1	sigmoid				
svm	0.6700655225576112								scale		1.0	linear				
svm	0.6578510426809479								scale		1.0	rbf				
svm	0.6916665507488292								scale		1.0	sigmoid				
svm	0.6704908540826262								0.1		1.0	linear				
svm	0.6704006178420736								0.1		1.0	rbf				
svm	0.6688955725181991								0.1		1.0	sigmoid				
svm	0.6694655318310382								1		1.0	linear				
svm	0.6729352627857375								1		1.0	rbf				
svm	0.6702574419251635								1		1.0	sigmoid				
lr	0.0						10000.0				0.01		l1	lbfgs		
lr	0.5						10000.0				0.01		l1	saga		
lr	0.5						10000.0				0.01		l1	liblinear		
lr	0.0						10000.0				0.01		l1	newton-cg		
lr	0.6683289284555107						10000.0				0.01		l2	lbfgs		
lr	0.6683289284555107						10000.0				0.01		l2	saga		
lr	0.632831988686419						10000.0				0.01		l2	liblinear		
lr	0.6683289284555107						10000.0				0.01		l2	newton-cg		
lr	0.0						10000.0				0.1		l1	lbfgs		
lr	0.5						10000.0				0.1		l1	saga		
lr	0.5						10000.0				0.1		l1	liblinear		
lr	0.0						10000.0				0.1		l1	newton-cg		
lr	0.6683289284555107						10000.0				0.1		l2	lbfgs		
lr	0.6683289284555107						10000.0				0.1		l2	saga		
lr	0.659864550006955						10000.0				0.1		l2	liblinear		
lr	0.6683289284555107						10000.0				0.1		l2	newton-cg		
lr	0.0						10000.0				1.0		l1	lbfgs		
lr	0.570279304029304						10000.0				1.0		l1	saga		
lr	0.5421147470672787						10000.0				1.0		l1	liblinear		
lr	0.0						10000.0				1.0		l1	newton-cg		
lr	0.670377573375991						10000.0				1.0		l2	lbfgs		
lr	0.6705885438401261						10000.0				1.0		l2	saga		
lr	0.6666596246580423						10000.0				1.0		l2	liblinear		
lr	0.670377573375991						10000.0				1.0		l2	newton-cg		
rf	0.7126890069318866									200.0					15.0	sqrt
rf	0.7306727378634024									750.0					15.0	sqrt
rf	0.7113770227662634									200.0					15.0	log2
rf	0.7069750428896									750.0					15.0	log2
rf	0.7132295260119628									200.0					25.0	sqrt
rf	0.7246312566652757									750.0					25.0	sqrt
rf	0.7137768378773126									200.0					25.0	log2
rf	0.7000713677145639									750.0					25.0	log2
