analysis_group	model	fpr	tpr	auc
Stool Prospective	mlp	0.0	0.23	0.599
Stool Prospective	mlp	0.0101010101010101	0.23	0.599
Stool Prospective	mlp	0.0202020202020202	0.23	0.599
Stool Prospective	mlp	0.0303030303030303	0.23	0.599
Stool Prospective	mlp	0.0404040404040404	0.23	0.599
Stool Prospective	mlp	0.0505050505050505	0.23	0.599
Stool Prospective	mlp	0.0606060606060606	0.23	0.599
Stool Prospective	mlp	0.0707070707070707	0.23	0.599
Stool Prospective	mlp	0.0808080808080808	0.23	0.599
Stool Prospective	mlp	0.0909090909090909	0.23	0.599
Stool Prospective	mlp	0.101010101010101	0.23	0.599
Stool Prospective	mlp	0.1111111111111111	0.23	0.599
Stool Prospective	mlp	0.1212121212121212	0.23	0.599
Stool Prospective	mlp	0.1313131313131313	0.23	0.599
Stool Prospective	mlp	0.1414141414141414	0.23	0.599
Stool Prospective	mlp	0.1515151515151515	0.23	0.599
Stool Prospective	mlp	0.1616161616161616	0.23	0.599
Stool Prospective	mlp	0.1717171717171717	0.4233333333333333	0.599
Stool Prospective	mlp	0.1818181818181818	0.4233333333333333	0.599
Stool Prospective	mlp	0.1919191919191919	0.4233333333333333	0.599
Stool Prospective	mlp	0.202020202020202	0.4233333333333333	0.599
Stool Prospective	mlp	0.2121212121212121	0.4233333333333333	0.599
Stool Prospective	mlp	0.2222222222222222	0.4233333333333333	0.599
Stool Prospective	mlp	0.2323232323232323	0.4233333333333333	0.599
Stool Prospective	mlp	0.2424242424242424	0.4233333333333333	0.599
Stool Prospective	mlp	0.2525252525252525	0.4233333333333333	0.599
Stool Prospective	mlp	0.2626262626262626	0.4233333333333333	0.599
Stool Prospective	mlp	0.2727272727272727	0.4233333333333333	0.599
Stool Prospective	mlp	0.2828282828282829	0.4233333333333333	0.599
Stool Prospective	mlp	0.2929292929292929	0.4233333333333333	0.599
Stool Prospective	mlp	0.303030303030303	0.4233333333333333	0.599
Stool Prospective	mlp	0.3131313131313131	0.4233333333333333	0.599
Stool Prospective	mlp	0.3232323232323232	0.4233333333333333	0.599
Stool Prospective	mlp	0.3333333333333333	0.5700000000000001	0.599
Stool Prospective	mlp	0.3434343434343435	0.5700000000000001	0.599
Stool Prospective	mlp	0.3535353535353536	0.5700000000000001	0.599
Stool Prospective	mlp	0.3636363636363636	0.5700000000000001	0.599
Stool Prospective	mlp	0.3737373737373737	0.5700000000000001	0.599
Stool Prospective	mlp	0.3838383838383838	0.5700000000000001	0.599
Stool Prospective	mlp	0.393939393939394	0.5700000000000001	0.599
Stool Prospective	mlp	0.4040404040404041	0.5700000000000001	0.599
Stool Prospective	mlp	0.4141414141414142	0.5700000000000001	0.599
Stool Prospective	mlp	0.4242424242424242	0.5700000000000001	0.599
Stool Prospective	mlp	0.4343434343434343	0.5700000000000001	0.599
Stool Prospective	mlp	0.4444444444444445	0.5700000000000001	0.599
Stool Prospective	mlp	0.4545454545454546	0.5700000000000001	0.599
Stool Prospective	mlp	0.4646464646464647	0.5700000000000001	0.599
Stool Prospective	mlp	0.4747474747474748	0.5700000000000001	0.599
Stool Prospective	mlp	0.4848484848484848	0.5700000000000001	0.599
Stool Prospective	mlp	0.494949494949495	0.5700000000000001	0.599
