analysis_group	model	fpr	tpr	auc
Stool Prospective	xgboost	0.0	0.0434389140271493	0.609
Stool Prospective	xgboost	0.0101010101010101	0.0434389140271493	0.609
Stool Prospective	xgboost	0.0202020202020202	0.0434389140271493	0.609
Stool Prospective	xgboost	0.0303030303030303	0.1052036199095022	0.609
Stool Prospective	xgboost	0.0404040404040404	0.135972850678733	0.609
Stool Prospective	xgboost	0.0505050505050505	0.135972850678733	0.609
Stool Prospective	xgboost	0.0606060606060606	0.1800904977375565	0.609
Stool Prospective	xgboost	0.0707070707070707	0.1800904977375565	0.609
Stool Prospective	xgboost	0.0808080808080808	0.2493212669683257	0.609
Stool Prospective	xgboost	0.0909090909090909	0.2669683257918552	0.609
Stool Prospective	xgboost	0.101010101010101	0.2669683257918552	0.609
Stool Prospective	xgboost	0.1111111111111111	0.2669683257918552	0.609
Stool Prospective	xgboost	0.1212121212121212	0.3221719457013575	0.609
Stool Prospective	xgboost	0.1313131313131313	0.3221719457013575	0.609
Stool Prospective	xgboost	0.1414141414141414	0.3221719457013575	0.609
Stool Prospective	xgboost	0.1515151515151515	0.3309954751131222	0.609
Stool Prospective	xgboost	0.1616161616161616	0.3463800904977375	0.609
Stool Prospective	xgboost	0.1717171717171717	0.3463800904977375	0.609
Stool Prospective	xgboost	0.1818181818181818	0.352262443438914	0.609
Stool Prospective	xgboost	0.1919191919191919	0.352262443438914	0.609
Stool Prospective	xgboost	0.202020202020202	0.3830316742081447	0.609
Stool Prospective	xgboost	0.2121212121212121	0.3918552036199095	0.609
Stool Prospective	xgboost	0.2222222222222222	0.3918552036199095	0.609
Stool Prospective	xgboost	0.2323232323232323	0.4264705882352941	0.609
Stool Prospective	xgboost	0.2424242424242424	0.4441176470588234	0.609
Stool Prospective	xgboost	0.2525252525252525	0.4441176470588234	0.609
Stool Prospective	xgboost	0.2626262626262626	0.4441176470588234	0.609
Stool Prospective	xgboost	0.2727272727272727	0.4762443438914027	0.609
Stool Prospective	xgboost	0.2828282828282829	0.4762443438914027	0.609
Stool Prospective	xgboost	0.2929292929292929	0.4762443438914027	0.609
Stool Prospective	xgboost	0.303030303030303	0.4850678733031673	0.609
Stool Prospective	xgboost	0.3131313131313131	0.5081447963800905	0.609
Stool Prospective	xgboost	0.3232323232323232	0.5081447963800905	0.609
Stool Prospective	xgboost	0.3333333333333333	0.5199095022624434	0.609
Stool Prospective	xgboost	0.3434343434343435	0.5199095022624434	0.609
Stool Prospective	xgboost	0.3535353535353536	0.544343891402715	0.609
Stool Prospective	xgboost	0.3636363636363636	0.544343891402715	0.609
Stool Prospective	xgboost	0.3737373737373737	0.544343891402715	0.609
Stool Prospective	xgboost	0.3838383838383838	0.5737556561085972	0.609
Stool Prospective	xgboost	0.393939393939394	0.5852941176470587	0.609
Stool Prospective	xgboost	0.4040404040404041	0.5852941176470587	0.609
Stool Prospective	xgboost	0.4141414141414142	0.5911764705882352	0.609
Stool Prospective	xgboost	0.4242424242424242	0.5950226244343892	0.609
Stool Prospective	xgboost	0.4343434343434343	0.5950226244343892	0.609
Stool Prospective	xgboost	0.4444444444444445	0.6009049773755657	0.609
Stool Prospective	xgboost	0.4545454545454546	0.6009049773755657	0.609
Stool Prospective	xgboost	0.4646464646464647	0.6047511312217195	0.609
Stool Prospective	xgboost	0.4747474747474748	0.6223981900452489	0.609
Stool Prospective	xgboost	0.4848484848484848	0.6223981900452489	0.609
Stool Prospective	xgboost	0.494949494949495	0.6223981900452489	0.609
Stool Prospective	xgboost	0.5050505050505051	0.6262443438914027	0.609
Stool Prospective	xgboost	0.5151515151515152	0.6262443438914027	0.609
Stool Prospective	xgboost	0.5252525252525253	0.6262443438914027	0.609
Stool Prospective	xgboost	0.5353535353535354	0.6380090497737558	0.609
Stool Prospective	xgboost	0.5454545454545455	0.6533936651583712	0.609
Stool Prospective	xgboost	0.5555555555555556	0.6533936651583712	0.609
Stool Prospective	xgboost	0.5656565656565657	0.6710407239819005	0.609
Stool Prospective	xgboost	0.5757575757575758	0.6710407239819005	0.609
Stool Prospective	xgboost	0.5858585858585859	0.6787330316742082	0.609
Stool Prospective	xgboost	0.595959595959596	0.6904977375565611	0.609
Stool Prospective	xgboost	0.6060606060606061	0.6904977375565611	0.609
Stool Prospective	xgboost	0.6161616161616162	0.6904977375565611	0.609
Stool Prospective	xgboost	0.6262626262626263	0.7081447963800904	0.609
Stool Prospective	xgboost	0.6363636363636365	0.7081447963800904	0.609
Stool Prospective	xgboost	0.6464646464646465	0.7081447963800904	0.609
Stool Prospective	xgboost	0.6565656565656566	0.7257918552036199	0.609
Stool Prospective	xgboost	0.6666666666666667	0.7257918552036199	0.609
Stool Prospective	xgboost	0.6767676767676768	0.7346153846153846	0.609
Stool Prospective	xgboost	0.686868686868687	0.7346153846153846	0.609
Stool Prospective	xgboost	0.696969696969697	0.7423076923076922	0.609
Stool Prospective	xgboost	0.7070707070707072	0.7540723981900451	0.609
Stool Prospective	xgboost	0.7171717171717172	0.7540723981900451	0.609
Stool Prospective	xgboost	0.7272727272727273	0.7540723981900451	0.609
Stool Prospective	xgboost	0.7373737373737375	0.7966063348416288	0.609
Stool Prospective	xgboost	0.7474747474747475	0.7966063348416288	0.609
Stool Prospective	xgboost	0.7575757575757577	0.7966063348416288	0.609
Stool Prospective	xgboost	0.7676767676767677	0.8024886877828052	0.609
Stool Prospective	xgboost	0.7777777777777778	0.8255656108597285	0.609
Stool Prospective	xgboost	0.787878787878788	0.8255656108597285	0.609
Stool Prospective	xgboost	0.797979797979798	0.8373303167420814	0.609
Stool Prospective	xgboost	0.8080808080808082	0.8565610859728505	0.609
Stool Prospective	xgboost	0.8181818181818182	0.8565610859728505	0.609
Stool Prospective	xgboost	0.8282828282828284	0.8624434389140271	0.609
Stool Prospective	xgboost	0.8383838383838385	0.8624434389140271	0.609
Stool Prospective	xgboost	0.8484848484848485	0.8855203619909503	0.609
Stool Prospective	xgboost	0.8585858585858587	0.9002262443438914	0.609
Stool Prospective	xgboost	0.8686868686868687	0.9002262443438914	0.609
Stool Prospective	xgboost	0.8787878787878789	0.9002262443438914	0.609
Stool Prospective	xgboost	0.888888888888889	0.9581447963800904	0.609
Stool Prospective	xgboost	0.8989898989898991	0.9581447963800904	0.609
Stool Prospective	xgboost	0.9090909090909092	0.9581447963800904	0.609
Stool Prospective	xgboost	0.9191919191919192	0.97579185520362	0.609
Stool Prospective	xgboost	0.9292929292929294	0.9873303167420816	0.609
Stool Prospective	xgboost	0.9393939393939394	0.9873303167420816	0.609
Stool Prospective	xgboost	0.9494949494949496	0.993212669683258	0.609
Stool Prospective	xgboost	0.9595959595959596	0.993212669683258	0.609
Stool Prospective	xgboost	0.9696969696969696	0.9970588235294118	0.609
Stool Prospective	xgboost	0.97979797979798	0.9970588235294118	0.609
Stool Prospective	xgboost	0.98989898989899	0.9970588235294118	0.609
Stool Prospective	xgboost	1.0	1.0	0.609
Stool Active	rf	0.0	0.1492063492063492	0.759
Stool Active	rf	0.0101010101010101	0.150424883758217	0.759
Stool Active	rf	0.0202020202020202	0.1516434183100849	0.759
Stool Active	rf	0.0303030303030303	0.1846079846079846	0.759
Stool Active	rf	0.0404040404040404	0.2718422318422319	0.759
Stool Active	rf	0.0505050505050505	0.2753054353054353	0.759
Stool Active	rf	0.0606060606060606	0.300990860990861	0.759
Stool Active	rf	0.0707070707070707	0.3880006413339746	0.759
Stool Active	rf	0.0808080808080808	0.398742985409652	0.759
Stool Active	rf	0.0909090909090909	0.3999615199615199	0.759
Stool Active	rf	0.101010101010101	0.4663652396985729	0.759
Stool Active	rf	0.1111111111111111	0.4859259259259259	0.759
Stool Active	rf	0.1212121212121212	0.4859259259259259	0.759
Stool Active	rf	0.1313131313131313	0.4859259259259259	0.759
Stool Active	rf	0.1414141414141414	0.5492512425845759	0.759
Stool Active	rf	0.1515151515151515	0.5516883116883116	0.759
Stool Active	rf	0.1616161616161616	0.5663748597081929	0.759
Stool Active	rf	0.1717171717171717	0.6090748757415425	0.759
Stool Active	rf	0.1818181818181818	0.6102934102934103	0.759
Stool Active	rf	0.1919191919191919	0.6232804232804233	0.759
Stool Active	rf	0.202020202020202	0.6492063492063492	0.759
Stool Active	rf	0.2121212121212121	0.6555555555555556	0.759
Stool Active	rf	0.2222222222222222	0.6555555555555556	0.759
Stool Active	rf	0.2323232323232323	0.6555555555555556	0.759
Stool Active	rf	0.2424242424242424	0.6693121693121693	0.759
Stool Active	rf	0.2525252525252525	0.6693121693121693	0.759
Stool Active	rf	0.2626262626262626	0.6693121693121693	0.759
Stool Active	rf	0.2727272727272727	0.6995767195767196	0.759
Stool Active	rf	0.2828282828282829	0.6995767195767196	0.759
Stool Active	rf	0.2929292929292929	0.705925925925926	0.759
Stool Active	rf	0.303030303030303	0.7237037037037037	0.759
Stool Active	rf	0.3131313131313131	0.7237037037037037	0.759
Stool Active	rf	0.3232323232323232	0.7300529100529101	0.759
Stool Active	rf	0.3333333333333333	0.7604232804232804	0.759
Stool Active	rf	0.3434343434343435	0.7605836139169473	0.759
