"Dataset","Sample","Core_ASV_Abundance","Num_ASVs_After_Filtering","Num_Read_Counts_After_Filtering"
"16S_102_Bodkhe","SRR5514924",96.6854690512249,82,257281
"16S_102_Bodkhe","SRR5514925",87.2671444641758,32,123346
"16S_102_Bodkhe","SRR5514926",72.118451025057,6,1583
"16S_102_Bodkhe","SRR5514929",94.4485083474169,82,262105
"16S_102_Bodkhe","SRR5514930",93.5219352193522,10,2281
"16S_102_Bodkhe","SRR5514931",94.6671824921289,92,300982
"16S_102_Bodkhe","SRR5514938",88.2690675219644,113,211084
"16S_102_Bodkhe","SRR5514949",75.8150032241886,14,63489
"16S_102_Bodkhe","SRR5514957",99.1545958464227,61,184961
"16S_102_Bodkhe","SRR5514958",99.09639620789,129,307838
"16S_102_Bodkhe","SRR5514959",92.638602480796,111,297394
"16S_102_Bodkhe","SRR5514960",99.6844724014482,24,246425
"16S_102_Bodkhe","SRR5514961",97.775202870806,121,252305
"16S_102_Bodkhe","SRR5514962",97.9917008745315,59,219619
"16S_102_Bodkhe","SRR5514963",88.1323598382578,32,139057
"16S_102_Bodkhe","SRR5514964",99.7117038919975,17,192993
"16S_102_Bodkhe","SRR5514965",93.0045128721246,164,347463
"16S_102_Bodkhe","SRR5514966",90.2142446126602,161,404490
"16S_102_Bodkhe","SRR5514967",96.9135361852906,147,339429
"16S_102_Bodkhe","SRR5514968",71.7205765367347,61,106386
"16S_102_Bodkhe","SRR5514969",68.9024043653726,10,60610
"16S_102_Bodkhe","SRR5514970",97.2525817195842,3,116211
"16S_102_Bodkhe","SRR5514971",74.5906456450371,8,73615
"16S_102_Bodkhe","SRR5514982",99.825397574442,30,275002
"16S_102_Bodkhe","SRR5514988",95.3714597154617,121,253731
"16S_102_Bodkhe","SRR5514989",92.404952944125,139,254401
"16S_102_Bodkhe","SRR5514990",70.1693951719331,13,103683
"16S_102_Bodkhe","SRR5514991",99.9504232556631,10,215720
"16S_102_Bodkhe","SRR5514992",98.6588247860395,66,147785
"16S_102_Bodkhe","SRR5514993",96.7303609341826,157,387260
"16S_102_Bodkhe","SRR5514994",99.8664893761363,4,184009
"16S_102_Bodkhe","SRR5514995",98.1020172844862,15,171861
"16S_102_Bodkhe","SRR5514996",97.915795996599,131,271779
"16S_102_Bodkhe","SRR5514997",96.8841697526509,80,199096
"16S_102_Bodkhe","SRR5514998",92.2951682091995,158,443865
"16S_102_Bodkhe","SRR5514999",36.4348022204276,22,50080
"16S_102_Bodkhe","SRR5515000",97.0596509723674,140,327752
"16S_102_Bodkhe","SRR5515001",68.8566181887441,59,191608
"16S_102_Bodkhe","SRR5515002",95.3221596848671,88,275380
"16S_102_Bodkhe","SRR5515003",96.2805253037934,78,247362
"16S_102_Bodkhe","SRR5515004",93.312810277315,14,110334
"16S_102_Bodkhe","SRR5515005",99.0406779951498,6,231155
"16S_102_Bodkhe","SRR5515015",94.3337901041566,93,293263
"16S_80_Garcia","SRR6010746",78.3559468822171,15,10857
"16S_80_Garcia","SRR6010748",95.2589568709447,70,57404
"16S_80_Garcia","SRR6010760",87.331896109229,97,42535
"16S_80_Garcia","SRR6010761",95.0049455984174,53,19210
"16S_80_Garcia","SRR6010778",94.5715841771237,99,85087
"16S_80_Garcia","SRR6010779",92.3626174981923,46,30657
"16S_80_Garcia","SRR6010782",63.2286615963145,55,52292
"16S_80_Garcia","SRR6010783",83.5676796475086,82,51588
"16S_80_Garcia","SRR6010789",96.4071926160165,114,82620
"16S_80_Garcia","SRR6010790",99.2061405814626,29,18870
"16S_80_Garcia","SRR6010795",86.2063969283153,108,47598
"16S_80_Garcia","SRR6010797",95.4954352406113,50,28556
"16S_80_Garcia","SRR6010801",93.3950917419454,63,36496
"16S_80_Garcia","SRR6010807",99.0210320217268,124,94068
"16S_80_Garcia","SRR6010808",95.4708397225635,117,94013
"16S_80_Garcia","SRR6010811",94.1679565958378,84,60227
"16S_119_Salamon","102_S105_L001",95.6000317687237,39,12037
"16S_119_Salamon","105_S108_L001",96.5228210333312,28,14740
"16S_119_Salamon","107_S110_L001",96.0904872389791,25,16566
"16S_119_Salamon","110_S113_L001",97.7724089922608,25,23877
"16S_119_Salamon","111_S114_L001",98.2615370721575,28,21761
"16S_119_Salamon","112_S115_L001",94.8857706134756,15,24546
"16S_119_Salamon","114_S117_L001",94.2545836432853,36,21540
"16S_119_Salamon","115_S118_L001",94.8223148699623,26,23881
"16S_119_Salamon","123_S127_L001",97.126462345981,36,21835
"16S_119_Salamon","1257_S110_L001",88.0899140873249,8,7485
"16S_119_Salamon","1265_S118_L001",85.1311232063335,11,6882
"16S_119_Salamon","127_S131_L001",95.3478241930566,23,21889
"16S_119_Salamon","1272_S125_L001",83.5051546391753,12,27783
"16S_119_Salamon","128_S132_L001",92.6382684200591,23,14723
"16S_119_Salamon","130_S134_L001",98.3410778651149,26,22645
"16S_119_Salamon","1304_S157_L001",76.7806267806268,24,1617
"16S_119_Salamon","1317_S170_L001",55.2520200076953,17,1436
"16S_119_Salamon","1320_S173_L001",89.2780424021668,8,9559
"16S_119_Salamon","1325_S178_L001",85.602639805488,12,9858
"16S_119_Salamon","136_S140_L001",96.2595543990893,30,17757
"16S_119_Salamon","143_S147_L001",95.1887463055109,16,25443
"16S_119_Salamon","151_S155_L001",96.3821115515605,37,17263
"16S_119_Salamon","154_S158_L001",99.7348986934293,19,21068
"16S_119_Salamon","156_S161_L001",96.1819021237304,29,20833
"16S_119_Salamon","157_S162_L001",99.4819830054074,35,21893
"16S_119_Salamon","167_S172_L001",94.2688167467983,34,22156
"16S_119_Salamon","169_S174_L001",96.7991767764298,37,17873
"16S_119_Salamon","175_S180_L001",96.5526751241037,37,14004
"16S_119_Salamon","176_S181_L001",98.1481481481482,35,18921
"16S_119_Salamon","182_S187_L001",90.3869921211185,21,23403
"16S_119_Salamon","185_S190_L001",98.6058658095621,32,24543
"16S_119_Salamon","187_S192_L001",95.558831659449,37,20742
"16S_119_Salamon","23_S24_L001",98.0656276920667,38,25044
"16S_119_Salamon","284_S97_L001",94.9349112426035,19,28077
"16S_119_Salamon","289_S102_L001",79.0312163616792,47,22026
"16S_119_Salamon","291_S104_L001",100,8,16200
"16S_119_Salamon","292_S105_L001",86.5261721835284,22,24101
"16S_119_Salamon","294_S107_L001",98.4843990983509,16,33205
"16S_119_Salamon","299_S112_L001",98.5898031923137,9,19086
"16S_119_Salamon","30_S31_L001",91.6499535293254,40,18736
"16S_119_Salamon","302_S115_L001",98.1442673578558,24,35593
"16S_119_Salamon","305_S118_L001",74.3658145476479,40,151649
"16S_119_Salamon","306_S119_L001",95.9016835743579,14,35545
"16S_119_Salamon","308_S121_L001",98.8592982055092,16,43246
"16S_119_Salamon","309_S122_L001",98.8538925205875,25,34932
"16S_119_Salamon","31_S32_L001",94.6302650929522,18,25095
"16S_119_Salamon","311_S124_L001",98.9794517413391,26,64884
"16S_119_Salamon","312_S125_L001",97.8302550009587,26,30615
"16S_119_Salamon","321_S134_L001",94.5791221994487,49,13382
"16S_119_Salamon","325_S138_L001",98.4812718637126,19,34627
"16S_119_Salamon","326_S139_L001",98.9907994014836,23,31094
"16S_119_Salamon","334_S147_L001",95.711494731448,39,29884
"16S_119_Salamon","335_S148_L001",90.169714634949,26,19180
"16S_119_Salamon","38_S39_L001",85.9273225917038,36,15039
"16S_119_Salamon","39_S40_L001",98.5564570655849,29,29153
"16S_119_Salamon","55_S56_L001",96.5429170847396,31,31752
"16S_119_Salamon","7_S8_L001",98.6006814648185,18,29806
"16S_119_Salamon","77_S79_L001",94.4009372880311,27,30618
"16S_119_Salamon","95_S98_L001",95.1365492092433,31,24002
