"Dataset","Sample","Core_ASV_Abundance","Num_ASVs_After_Filtering","Num_Read_Counts_After_Filtering"
"16S_68_Girdhar","SRR11733560",98.9487073964608,71,26448
"16S_68_Girdhar","SRR11733574",95.7024653833165,71,11335
"16S_68_Girdhar","SRR11733576",93.6666412620989,72,12290
"16S_68_Girdhar","SRR11733578",98.6566270214769,77,11530
"16S_68_Girdhar","SRR11733580",92.7537480613476,77,10765
"16S_68_Girdhar","SRR11733584",96.8730697961705,76,12547
"16S_68_Girdhar","SRR11733587",92.8990131334867,76,12520
"16S_68_Girdhar","SRR11733590",87.7487837240159,69,7936
"16S_68_Girdhar","SRR11733593",94.2286260149658,76,11837
"16S_68_Girdhar","SRR11733594",97.7350252421886,56,14326
"16S_68_Girdhar","SRR11733597",89.6526441206122,70,9782
"16S_68_Girdhar","SRR11733600",97.3618898795845,57,10592
"16S_68_Girdhar","SRR11733603",99.0969133306375,46,7352
"16S_68_Girdhar","SRR11733607",97.7168531083807,58,10657
"16S_68_Girdhar","SRR11733610",95.6275261141147,100,18218
"16S_68_Girdhar","SRR11733613",94.2754504895996,84,16271
"16S_68_Girdhar","SRR11733618",96.3192872270503,70,13189
"16S_68_Girdhar","SRR11733621",96.637387986869,44,10892
"16S_68_Girdhar","SRR11733624",98.8702623906706,41,8139
"16S_68_Girdhar","SRR11733628",98.4338292873923,59,10056
"16S_68_Girdhar","SRR11733631",96.0394439055933,83,11882
"16S_68_Girdhar","SRR11733634",92.4780581459133,98,13487
"16S_68_Girdhar","SRR11733638",99.1243432574431,68,14716
"16S_68_Girdhar","SRR11733641",97.6880460259962,58,9169
"16S_68_Girdhar","SRR11733644",90.078125,73,9224
"16S_68_Girdhar","SRR11733647",97.5797928556331,39,9233
"16S_68_Girdhar","SRR11733648",91.5210140093396,47,13719
"16S_68_Girdhar","SRR11733651",96.9794392523364,66,12971
"16S_68_Girdhar","SRR11733681",94.7646692929712,77,9141
"16S_68_Girdhar","SRR11733684",91.7752567836885,91,11973
"16S_68_Girdhar","SRR11733687",93.853151397011,63,14444
"16S_68_Girdhar","SRR11733690",98.9924894669353,82,10808
"16S_68_Girdhar","SRR11733691",96.2536690869767,24,12461
"16S_68_Girdhar","SRR11733694",99.7295028448839,61,10692
"16S_68_Girdhar","SRR11733697",97.8392919125304,74,11275
"16S_68_Girdhar","SRR11733700",94.1252144082333,60,10975
"16S_68_Girdhar","SRR11733704",91.2973838761345,83,10260
"16S_68_Girdhar","SRR11733707",97.9977007089481,73,10229
"16S_68_Girdhar","SRR11733710",89.8870583359237,62,8675
"16S_68_Girdhar","SRR11733715",99.3345077314543,65,10150
"16S_68_Girdhar","SRR11733718",98.0756812604934,48,7594
"16S_68_Girdhar","SRR11733721",91.0474838302571,59,11543
"16S_68_Girdhar","SRR11733725",90.3775883069428,65,12614
"16S_68_Girdhar","SRR11733728",93.6511833447903,60,19073
"16S_68_Girdhar","SRR11733731",97.7097376756274,47,12031
"16S_68_Girdhar","SRR11733748",94.2422340759335,86,18021
"16S_68_Girdhar","SRR11733749",94.1126997476871,41,13428
"16S_68_Girdhar","SRR11733778",98.2261640798226,59,7974
"16S_68_Girdhar","SRR11733781",86.9536641472231,67,7938
"16S_68_Girdhar","SRR11733784",97.2496938871621,40,10325
"16S_68_Girdhar","SRR11733787",97.0660377358491,56,10289
"16S_68_Girdhar","SRR11733788",97.6483246234245,45,12706
"16S_68_Girdhar","SRR11733791",87.9330059864129,67,13073
"16S_68_Girdhar","SRR11733794",85.6965585704831,45,10359
"16S_68_Girdhar","SRR11733797",98.4293193717278,67,11468
"16S_68_Girdhar","SRR11733801",94.6896629978441,79,8345
"16S_68_Girdhar","SRR11733804",98.6994689498212,75,9107
"16S_68_Girdhar","SRR11733807",93.2077474131069,58,10539
"16S_68_Girdhar","SRR11733809",93.8805316196875,67,12856
"16S_68_Girdhar","SRR11733812",96.05651792129,52,12033
"16S_68_Girdhar","SRR11733815",69.5089394061969,74,8592
"16S_68_Girdhar","SRR11733818",89.5647088311471,56,10720
"16S_68_Girdhar","SRR11733819",91.8873375060183,8,3817
"16S_68_Girdhar","SRR11733821",94.9975597852611,100,15572
"16S_68_Girdhar","SRR11733854",94.8078736445073,100,16087
"16S_68_Girdhar","SRR11733890",96.7486213235294,24,16842
"16S_68_Girdhar","SRR11733920",97.81438074121,25,15440
"16S_68_Girdhar","SRR11733927",96.4610169491526,41,14228
"16S_1211_Milletich","SRR19937273",89.0527046619428,54,43610
"16S_1211_Milletich","SRR19937289",98.234965971215,50,44024
"16S_1211_Milletich","SRR19937314",91.223008610197,41,20236
"16S_1211_Milletich","SRR19937400",98.435982945671,38,46637
"16S_1211_Milletich","SRR19937431",95.6097952307415,36,47672
"16S_1211_Milletich","SRR19937458",92.9835052573878,59,37318
"16S_1211_Milletich","SRR19937484",94.9332606919096,32,27880
"16S_1211_Milletich","SRR19937510",94.4025954653938,23,25315
"16S_1211_Milletich","SRR19937528",83.5727469705481,21,20828
"16S_1211_Milletich","SRR19937536",94.8906744309751,41,33894
"16S_1211_Milletich","SRR19937569",83.8884988428635,18,32261
"16S_1211_Milletich","SRR19937584",89.2396731165702,90,35927
"16S_1211_Milletich","SRR19937591",93.0559961928934,68,70395
"16S_1211_Milletich","SRR19937626",91.4237508111616,28,35221
"16S_1211_Milletich","SRR19937676",99.4512020313716,32,24283
"16S_1211_Milletich","SRR19937680",98.398469240649,28,37540
"16S_1211_Milletich","SRR19937704",92.6004814355533,42,63473
"16S_1211_Milletich","SRR19937750",79.7722047700111,24,45455
"16S_1211_Milletich","SRR19937753",98.7738856910534,11,46160
"16S_1211_Milletich","SRR19937789",98.741493427799,57,31776
"16S_1211_Milletich","SRR19937819",92.5696429522575,70,52138
"16S_1211_Milletich","SRR19937830",99.9676613787032,32,55643
"16S_1211_Milletich","SRR19937836",88.4080212809495,53,60487
"16S_1211_Milletich","SRR19937869",96.2972045120157,55,23562
"16S_1211_Milletich","SRR19937877",95.0624831430369,20,52869
"16S_1211_Milletich","SRR19937897",98.0768352290896,24,21470
"16S_1211_Milletich","SRR19937898",97.3748511997995,65,62168
"16S_1211_Milletich","SRR19937910",64.7171476314752,53,34469
"16S_1211_Milletich","SRR19937911",99.7740234585172,25,27816
"16S_1211_Milletich","SRR19937916",97.9041746803937,19,69230
"16S_1211_Milletich","SRR19937935",97.6035639305648,37,19061
"16S_1211_Milletich","SRR19938117",93.1498502005789,35,36688
"16S_1211_Milletich","SRR19938141",99.1853711360504,39,40301
"16S_1211_Milletich","SRR19938173",80.9191085939424,38,26289
"16S_1211_Milletich","SRR19938181",96.775586584137,49,40338
"16S_1211_Milletich","SRR19938182",93.5267200085632,31,34950
"16S_1211_Milletich","SRR19938215",94.1792920312018,66,39722
"16S_1211_Milletich","SRR19938237",95.3361497356126,29,34076
"16S_1211_Milletich","SRR19938255",96.2274807673581,39,49408
"16S_1211_Milletich","SRR19938267",99.101678183613,29,40156
"16S_1211_Milletich","SRR19938283",94.5327228656073,33,35100
"16S_1211_Milletich","SRR19938297",97.5606375606376,19,21117
"16S_1211_Milletich","SRR19938314",99.671322925226,28,35177
"16S_1211_Milletich","SRR19938356",89.7528266219638,29,25164
"16S_1211_Milletich","SRR19938387",97.8851742411292,45,40083
"16S_1211_Milletich","SRR19938406",100,8,1229
"16S_1211_Milletich","SRR19938424",97.8724637681159,41,16883
"16S_1211_Milletich","SRR19938443",94.071475805756,46,32719
"16S_1211_Milletich","SRR19938450",96.7039669692918,60,41222
"16S_1211_Milletich","SRR19938462",97.1309853581322,22,4909
"16S_1211_Milletich","SRR19938469",93.9018787012457,41,36787
"16S_1211_Milletich","SRR19938475",74.5674435028249,29,25341
