"Dataset","Sample","Core_ASV_Abundance","Num_ASVs_After_Filtering","Num_Read_Counts_After_Filtering"
"16S_49_Turjeman","ERR11549398",98.0818242790074,83,7312
"16S_49_Turjeman","ERR11549399",92.090099528549,93,7032
"16S_49_Turjeman","ERR11549400",96.7340897878638,81,9804
"16S_49_Turjeman","ERR11549401",96.7698683568991,88,7939
"16S_49_Turjeman","ERR11549402",95.3256909268639,118,10727
"16S_49_Turjeman","ERR11549403",98.8809413936317,85,8571
"16S_49_Turjeman","ERR11549404",94.6598560482935,111,12231
"16S_49_Turjeman","ERR11549405",94.5472538347353,148,19108
"16S_49_Turjeman","ERR11549406",97.9564806054872,95,5177
"16S_49_Turjeman","ERR11549407",93.4402332361516,78,7051
"16S_49_Turjeman","ERR11549410",86.1377939715137,61,10402
"16S_49_Turjeman","ERR11549411",97.175626515764,134,19233
"16S_49_Turjeman","ERR11549412",73.1958128078818,128,11887
"16S_49_Turjeman","ERR11549413",89.6602537863283,126,21904
"16S_49_Turjeman","ERR11549416",92.9950171738184,112,19223
"16S_49_Turjeman","ERR11549417",90.7610305004442,178,18390
"16S_49_Turjeman","ERR11549418",74.0443254499479,79,14934
"16S_49_Turjeman","ERR11549419",98.1378488429834,110,19763
"16S_49_Turjeman","ERR11549420",94.4670050761421,61,11166
"16S_49_Turjeman","ERR11549423",98.2340070848093,81,18857
"16S_49_Turjeman","ERR11549424",95.7040874344557,76,15149
"16S_49_Turjeman","ERR11549425",98.4109126705105,138,27992
"16S_49_Turjeman","ERR11549426",95.5089742590717,122,36770
"16S_49_Turjeman","ERR11549429",72.3147527458361,122,14024
"16S_49_Turjeman","ERR11549430",82.8959780464797,132,19333
"16S_49_Turjeman","ERR11549431",98.7252180033629,93,25247
"16S_49_Turjeman","ERR11549432",95.7368091524845,103,16820
"16S_49_Turjeman","ERR11549433",98.6003671168218,107,30081
"16S_49_Turjeman","ERR11549436",92.4282782411248,114,21167
"16S_49_Turjeman","ERR11549437",84.0872329745106,151,15076
"16S_49_Turjeman","ERR11549438",85.6492592899114,82,10349
"16S_49_Turjeman","ERR11549439",90.6644284399199,94,16743
"16S_49_Turjeman","ERR11549440",82.3082349923037,120,25667
"16S_49_Turjeman","ERR11549441",96.8524104957596,55,17016
"16S_49_Turjeman","ERR11549442",97.6285353289921,119,40180
"16S_49_Turjeman","ERR11549443",93.4945606238242,166,34291
"16S_49_Turjeman","ERR11549444",83.8488529014845,155,15533
"16S_49_Turjeman","ERR11549445",94.9942726231386,98,33172
"16S_49_Turjeman","ERR11549446",94.7899359126513,126,7987
"16S_102_Bodkhe","SRR5514927",23.6804940142731,26,75622
"16S_102_Bodkhe","SRR5514928",39.2621789102345,28,75904
"16S_102_Bodkhe","SRR5514932",80.0287681084969,46,116838
"16S_102_Bodkhe","SRR5514933",78.902947060158,49,153037
"16S_102_Bodkhe","SRR5514934",81.4559412329175,37,123084
"16S_102_Bodkhe","SRR5514935",74.7971278880631,27,83232
"16S_102_Bodkhe","SRR5514936",71.035623531668,42,148159
"16S_102_Bodkhe","SRR5514937",73.4162865394478,52,190400
"16S_102_Bodkhe","SRR5514939",64.6595199531979,37,119366
"16S_102_Bodkhe","SRR5514940",79.2656255339507,37,139173
"16S_102_Bodkhe","SRR5514941",76.0460589413708,38,134000
"16S_102_Bodkhe","SRR5514942",77.1075369480808,57,200970
"16S_102_Bodkhe","SRR5514943",85.1859588690699,23,199819
"16S_102_Bodkhe","SRR5514944",87.3321634628167,61,197079
"16S_102_Bodkhe","SRR5514945",83.9843169238742,42,197710
"16S_102_Bodkhe","SRR5514946",89.0538487000481,55,236755
"16S_102_Bodkhe","SRR5514947",85.5004544995455,27,169308
"16S_102_Bodkhe","SRR5514948",54.0236179829034,14,85823
"16S_102_Bodkhe","SRR5514950",80.3518917859243,27,180345
"16S_102_Bodkhe","SRR5514951",68.6496094394631,45,199677
"16S_102_Bodkhe","SRR5514952",67.7510213248997,20,111611
"16S_102_Bodkhe","SRR5514953",50.6415777252063,26,46452
"16S_102_Bodkhe","SRR5514954",76.9447027874472,24,144783
"16S_102_Bodkhe","SRR5514955",76.693545409958,38,145424
"16S_102_Bodkhe","SRR5514956",74.3563398207562,23,112171
"16S_102_Bodkhe","SRR5514972",81.5844862244295,49,172490
"16S_102_Bodkhe","SRR5514973",64.6081615362892,39,91511
"16S_102_Bodkhe","SRR5514974",64.9507456361853,20,111890
"16S_102_Bodkhe","SRR5514975",99.0795474737902,29,167276
"16S_102_Bodkhe","SRR5514976",54.5028494091461,38,97456
"16S_102_Bodkhe","SRR5514977",95.4842422824183,44,150973
"16S_102_Bodkhe","SRR5514978",78.4901694076914,48,203120
"16S_102_Bodkhe","SRR5514979",78.3513447942693,42,184081
"16S_102_Bodkhe","SRR5514980",47.274026317418,34,84031
"16S_102_Bodkhe","SRR5514981",66.9708174579742,48,142903
"16S_102_Bodkhe","SRR5514983",59.6535029268375,29,106086
"16S_102_Bodkhe","SRR5514984",72.6918702448828,35,197490
"16S_102_Bodkhe","SRR5514985",49.1465725148454,28,115952
"16S_102_Bodkhe","SRR5514986",86.9580630634946,52,181518
"16S_102_Bodkhe","SRR5514987",38.128520615061,22,55098
"16S_102_Bodkhe","SRR5515006",31.9501611530466,21,45798
"16S_102_Bodkhe","SRR5515007",75.3143451342242,34,126025
"16S_102_Bodkhe","SRR5515008",69.307129992584,30,65419
"16S_102_Bodkhe","SRR5515009",96.0597642226591,47,120677
"16S_102_Bodkhe","SRR5515010",53.0485223892164,15,88982
"16S_102_Bodkhe","SRR5515011",68.070569250344,25,131609
"16S_102_Bodkhe","SRR5515012",83.2186419890735,25,186597
"16S_102_Bodkhe","SRR5515013",60.5009886783208,37,138298
"16S_102_Bodkhe","SRR5515014",79.2144779833754,58,233956
"16S_102_Bodkhe","SRR5515016",74.3486901680463,47,185555
"16S_102_Bodkhe","SRR5515017",65.3235494842046,34,115818
"16S_102_Bodkhe","SRR5515018",77.1311295971979,27,140934
"16S_102_Bodkhe","SRR5515019",35.241315734695,12,82957
"16S_102_Bodkhe","SRR5515020",79.131845295938,50,211722
"16S_102_Bodkhe","SRR5515021",83.0211235166378,16,151394
"16S_102_Bodkhe","SRR5515022",62.3875979419578,27,92761
"16S_102_Bodkhe","SRR5515023",75.7653944439865,12,91911
"16S_102_Bodkhe","SRR5515024",68.8653080911612,15,51399
"16S_102_Bodkhe","SRR5515025",64.6635371477066,30,108960
"16S_60_Shi","SRR21922134",97.0693732755223,152,49253
"16S_60_Shi","SRR21922135",89.9609897154704,135,32977
"16S_60_Shi","SRR21922136",90.131794815706,150,32963
"16S_60_Shi","SRR21922137",79.549423681453,127,31885
"16S_60_Shi","SRR21922138",97.5471698113208,92,65659
"16S_60_Shi","SRR21922139",96.839738461114,105,70203
"16S_60_Shi","SRR21922140",93.6211476031873,127,22206
"16S_60_Shi","SRR21922141",94.7560747079768,176,60678
"16S_60_Shi","SRR21922142",94.8847358251716,164,56965
"16S_60_Shi","SRR21922143",97.4841917121014,149,64904
"16S_60_Shi","SRR21922144",93.8486442735734,137,30147
"16S_60_Shi","SRR21922145",96.6478844726365,141,57289
"16S_60_Shi","SRR21922146",96.148332218293,85,40240
"16S_60_Shi","SRR21922147",75.7200586347609,143,38225
"16S_60_Shi","SRR21922148",97.4705465613602,55,37147
"16S_60_Shi","SRR21922149",98.286521207529,59,57074
"16S_60_Shi","SRR21922150",97.5564218607638,121,65315
"16S_60_Shi","SRR21922151",93.0968820633495,151,60135
"16S_60_Shi","SRR21922152",94.2883714401025,122,53734
"16S_60_Shi","SRR21922153",95.2064305933878,152,35651
"16S_60_Shi","SRR21922154",96.1249957953513,79,28577
"16S_60_Shi","SRR21922155",98.6216316900534,77,39710
"16S_60_Shi","SRR21922156",91.2658861680059,143,38276
"16S_60_Shi","SRR21922157",90.5267534461253,134,28305
"16S_60_Shi","SRR21922158",96.7394330901598,116,34743
"16S_60_Shi","SRR21922159",92.7920316599226,102,83472
"16S_60_Shi","SRR21922160",96.4555417122225,83,37935
"16S_60_Shi","SRR21922161",96.3426539800959,158,66119
"16S_60_Shi","SRR21922162",96.9202015277101,106,35781
"16S_60_Shi","SRR21922163",98.2410962324812,113,62947
"16S_60_Shi","SRR21922164",94.3130084334652,148,50548
"16S_60_Shi","SRR21922165",92.2009708034485,111,50906
"16S_60_Shi","SRR21922166",86.4161319890009,120,37712
"16S_60_Shi","SRR21922167",89.6086701594447,157,47377
"16S_60_Shi","SRR21922168",81.8975052230552,153,39984
"16S_60_Shi","SRR21922169",95.5760221465077,131,53859
"16S_60_Shi","SRR21922170",91.7640493697479,33,27955
"16S_60_Shi","SRR21922171",95.8619974059663,140,92387
"16S_60_Shi","SRR21922172",96.4202311180751,75,63997
"16S_60_Shi","SRR21922173",90.6272147413182,147,46035
"16S_60_Shi","SRR21922174",93.7557595193336,125,50870
"16S_60_Shi","SRR21922175",76.1384516064955,113,30664
"16S_60_Shi","SRR21922176",95.8706761511004,102,37333
"16S_60_Shi","SRR21922177",91.40276465288,146,41591
"16S_60_Shi","SRR21922178",82.8810085225084,46,53779
"16S_60_Shi","SRR21922179",97.4189746611668,134,49596
"16S_60_Shi","SRR21922180",93.8414654566157,129,56044
"16S_60_Shi","SRR21922181",93.8711204473505,129,63455
"16S_60_Shi","SRR21922182",98.1030205749307,93,40338
"16S_60_Shi","SRR21922183",86.1457649376231,112,26240
"16S_60_Shi","SRR21922184",95.0895037300238,181,56467
"16S_60_Shi","SRR21922185",98.0174452986399,107,66299
"16S_60_Shi","SRR21922186",95.8998247394152,91,41586
"16S_60_Shi","SRR21922187",91.4862946379819,127,41887
"16S_60_Shi","SRR21922188",97.541827114593,127,58767
"16S_60_Shi","SRR21922189",95.4142516195022,110,33582
"16S_60_Shi","SRR21922190",93.7149090442427,127,58420
"16S_60_Shi","SRR21922191",94.8946620137004,75,51394
"16S_60_Shi","SRR21922192",87.1485602650132,84,41040
"16S_60_Shi","SRR21922193",96.0982733442144,84,55934
