"Dataset","Sample","Core_ASV_Abundance","Num_ASVs_After_Filtering","Num_Read_Counts_After_Filtering"
"16S_49_Turjeman","ERR11549398",97.6794097920858,81,7282
"16S_49_Turjeman","ERR11549400",96.5860878145042,79,9789
"16S_49_Turjeman","ERR11549401",96.733300828864,87,7936
"16S_49_Turjeman","ERR11549402",88.6054572926851,116,9969
"16S_49_Turjeman","ERR11549404",93.8162680907051,109,12122
"16S_49_Turjeman","ERR11549405",93.2211776348342,153,18840
"16S_49_Turjeman","ERR11549406",95.6669820245979,95,5056
"16S_49_Turjeman","ERR11549408",92.179560419736,100,30658
"16S_49_Turjeman","ERR11549409",94.0625298785735,81,19676
"16S_49_Turjeman","ERR11549410",85.0115932427956,61,10266
"16S_49_Turjeman","ERR11549411",97.554567502021,136,19308
"16S_49_Turjeman","ERR11549412",86.6810344827586,132,14077
"16S_49_Turjeman","ERR11549414",99.1150442477876,129,19264
"16S_49_Turjeman","ERR11549415",98.3527796842828,85,4299
"16S_49_Turjeman","ERR11549416",90.5036040830148,106,18708
"16S_49_Turjeman","ERR11549417",92.1824104234528,175,18678
"16S_49_Turjeman","ERR11549418",74.4360156676087,81,15013
"16S_49_Turjeman","ERR11549419",97.7852815572549,107,19692
"16S_49_Turjeman","ERR11549421",92.4987225344916,95,18102
"16S_49_Turjeman","ERR11549422",95.3804746758013,91,19491
"16S_49_Turjeman","ERR11549423",98.5413627839133,82,18916
"16S_49_Turjeman","ERR11549424",94.5922041821972,75,14973
"16S_49_Turjeman","ERR11549425",98.400365630713,139,27989
"16S_49_Turjeman","ERR11549427",92.4749654334437,110,22071
"16S_49_Turjeman","ERR11549428",96.3709883810206,121,18828
"16S_49_Turjeman","ERR11549429",72.2992832465323,121,14021
"16S_49_Turjeman","ERR11549430",71.6576622931138,124,16712
"16S_49_Turjeman","ERR11549431",99.0263168185195,93,25324
"16S_49_Turjeman","ERR11549432",95.839262337071,105,16838
"16S_49_Turjeman","ERR11549434",97.6695319961796,96,10226
"16S_49_Turjeman","ERR11549435",97.6849015317287,118,22321
"16S_49_Turjeman","ERR11549436",91.5025544736038,112,20955
"16S_49_Turjeman","ERR11549437",83.6187182776507,153,14992
"16S_49_Turjeman","ERR11549439",89.9171495099366,92,16605
"16S_49_Turjeman","ERR11549440",83.5396357106208,122,26051
"16S_49_Turjeman","ERR11549441",97.3134498263988,57,17097
"16S_49_Turjeman","ERR11549443",90.8662104316056,162,33327
"16S_49_Turjeman","ERR11549444",78.8879892037787,141,14614
"16S_49_Turjeman","ERR11549445",95.4381443298969,98,33327
"16S_49_Turjeman","ERR11549446",93.733681462141,119,7898
"16S_136_Nobel","SRR16821602",93.9915838792243,121,21666
"16S_136_Nobel","SRR16821606",97.4158330014291,78,41580
"16S_136_Nobel","SRR16821607",96.9101895083768,89,42342
"16S_136_Nobel","SRR16821608",85.7589984350548,60,12604
"16S_136_Nobel","SRR16821612",90.4223172169811,110,24537
"16S_136_Nobel","SRR16821613",97.3544973544974,95,16744
"16S_136_Nobel","SRR16821614",98.6287566809778,73,22513
"16S_136_Nobel","SRR16821615",96.7301561350446,78,23666
"16S_136_Nobel","SRR16821616",97.5950987564009,88,21346
"16S_136_Nobel","SRR16821617",96.578073089701,75,14535
"16S_136_Nobel","SRR16821618",96.5944422852701,62,19883
"16S_136_Nobel","SRR16821619",91.0941363475804,78,20631
"16S_136_Nobel","SRR16821621",87.4919673184614,114,19061
"16S_136_Nobel","SRR16821622",80.331558022654,93,10709
"16S_136_Nobel","SRR16821623",98.3256107834878,83,18674
"16S_136_Nobel","SRR16821624",97.0116422554858,70,18082
"16S_136_Nobel","SRR16821625",97.4809578334246,86,19581
"16S_136_Nobel","SRR16821626",96.8392408596148,85,13879
"16S_136_Nobel","SRR16821627",98.6986602240281,91,17975
"16S_136_Nobel","SRR16821628",96.9995960994749,87,16811
"16S_136_Nobel","SRR16821629",98.2860983533102,94,17548
"16S_136_Nobel","SRR16821630",92.0634920634921,78,18618
"16S_136_Nobel","SRR16821636",98.0126256722001,64,20960
"16S_136_Nobel","SRR16821640",66.9733609518763,105,13903
"16S_136_Nobel","SRR16821641",76.6011309836928,113,23299
"16S_136_Nobel","SRR16821642",98.549636555984,117,28878
"16S_136_Nobel","SRR16821643",97.6137082398942,65,16976
"16S_136_Nobel","SRR16821644",97.761228126285,103,21397
"16S_136_Nobel","SRR16821645",93.9804909888675,124,25917
"16S_136_Nobel","SRR16821646",96.4691978135618,133,26120
"16S_136_Nobel","SRR16821647",97.7996811132048,120,33736
"16S_136_Nobel","SRR16821654",97.5326343459689,83,32651
"16S_136_Nobel","SRR16821660",89.8386525719488,81,17762
"16S_136_Nobel","SRR16821661",84.1316190891262,86,19304
"16S_136_Nobel","SRR16821665",96.7450746268657,84,40512
"16S_136_Nobel","SRR16821666",96.8688791414936,94,35114
"16S_136_Nobel","SRR16821667",95.5187000041881,74,22807
"16S_136_Nobel","SRR16821676",97.8597149667799,74,38590
"16S_136_Nobel","SRR16821677",90.1391010030132,75,21838
"16S_136_Nobel","SRR16821678",88.8998868778281,76,12574
"16S_136_Nobel","SRR16821679",84.7944950716013,108,22797
"16S_136_Nobel","SRR16821680",89.3788996029495,106,18909
"16S_136_Nobel","SRR16821684",94.0863287712438,119,31279
"16S_136_Nobel","SRR16821685",94.2884637156119,110,33314
"16S_136_Nobel","SRR16821689",88.520366207993,77,16147
"16S_136_Nobel","SRR16821695",97.5435729847494,85,17909
"16S_136_Nobel","SRR16821696",97.8696909050478,85,22006
"16S_136_Nobel","SRR16821697",78.877505234819,115,21095
"16S_136_Nobel","SRR16821698",96.2073565847151,122,25240
"16S_136_Nobel","SRR16821699",92.681548460017,99,19680
"16S_136_Nobel","SRR16821700",93.5267091819242,96,27278
"16S_136_Nobel","SRR16821701",83.5737482063288,119,22132
"16S_136_Nobel","SRR16821702",86.029621190544,132,24164
"16S_136_Nobel","SRR16821703",94.9109077242782,61,21466
"16S_136_Nobel","SRR16821704",96.024420379388,70,13212
"16S_136_Nobel","SRR16821705",95.9260008087343,67,18978
"16S_136_Nobel","SRR16821706",95.026505193294,84,22049
"16S_136_Nobel","SRR16821707",95.984267453294,81,24404
"16S_136_Nobel","SRR16821711",92.5330353672755,91,19047
"16S_136_Nobel","SRR16821717",90.182204139395,60,15294
"16S_136_Nobel","SRR16821718",86.5327144401348,67,13609
"16S_136_Nobel","SRR16821722",92.727605788606,82,20248
"16S_136_Nobel","SRR16821733",89.1764817629179,91,18777
"16S_136_Nobel","SRR16821734",93.7998678660365,72,18457
"16S_136_Nobel","SRR16821735",94.5559652237243,92,20773
"16S_136_Nobel","SRR16821737",94.3626093698084,119,25560
"16S_96_Quagliariello","ERR1551211",96.5350133268718,100,31872
"16S_96_Quagliariello","ERR1551212",82.4677891075804,72,10433
"16S_96_Quagliariello","ERR1551213",95.8778396268994,76,12746
"16S_96_Quagliariello","ERR1551214",98.831396481205,52,15223
"16S_96_Quagliariello","ERR1551215",98.5146175140099,88,29182
"16S_96_Quagliariello","ERR1551216",96.7998293242306,79,18149
"16S_96_Quagliariello","ERR1551217",96.260617852228,95,20285
"16S_96_Quagliariello","ERR1551218",95.1359163933515,115,34228
"16S_96_Quagliariello","ERR1551219",93.7492309585333,50,7619
"16S_96_Quagliariello","ERR1551220",96.3731121038077,58,9061
"16S_96_Quagliariello","ERR1551221",97.0182555780933,83,23915
"16S_96_Quagliariello","ERR1551222",97.9929875468504,62,16210
"16S_96_Quagliariello","ERR1551223",83.6463114944128,75,18040
"16S_96_Quagliariello","ERR1551224",92.8971039929794,93,16937
"16S_96_Quagliariello","ERR1551225",96.4637846037163,106,61050
"16S_96_Quagliariello","ERR1551226",95.2220726783311,54,8490
"16S_96_Quagliariello","ERR1551227",95.5124542961609,78,33437
"16S_96_Quagliariello","ERR1551228",90.2870256642317,92,27933
"16S_96_Quagliariello","ERR1551229",69.8434349424742,37,11777
"16S_96_Quagliariello","ERR1551230",96.3375488262366,84,24910
"16S_96_Quagliariello","ERR1551231",92.4169460530326,84,15161
"16S_96_Quagliariello","ERR1551232",85.6045758169673,84,21402
"16S_96_Quagliariello","ERR1551233",95.8551205203418,89,30064
"16S_96_Quagliariello","ERR1551234",94.3576755311664,75,33530
"16S_96_Quagliariello","ERR1551235",96.8288996372431,74,32031
"16S_96_Quagliariello","ERR1551236",90.2296991264963,92,25101
"16S_96_Quagliariello","ERR1551237",92.2167377159524,111,41101
"16S_96_Quagliariello","ERR1551238",94.9203556214114,79,20499
"16S_96_Quagliariello","ERR1551239",94.1285767372724,112,65858
"16S_96_Quagliariello","ERR1551240",93.4921592279855,97,31002
"16S_96_Quagliariello","ERR1551241",96.0948701125125,102,39544
"16S_96_Quagliariello","ERR1551242",98.3520944823768,86,53297
"16S_96_Quagliariello","ERR1551243",94.4142362827484,44,7640
"16S_96_Quagliariello","ERR1551244",81.5822614014572,86,18139
"16S_96_Quagliariello","ERR1551245",95.0217821270215,125,73506
"16S_96_Quagliariello","ERR1551246",84.3799344103,71,20841
"16S_96_Quagliariello","ERR1551247",92.3537632261929,81,37008
"16S_96_Quagliariello","ERR1551248",83.8740009402915,81,26760
"16S_96_Quagliariello","ERR1551249",93.664310306191,82,45977
"16S_96_Quagliariello","ERR1551250",98.7619808306709,23,2473
"16S_96_Quagliariello","ERR1551251",93.7212863705972,52,12240
"16S_96_Quagliariello","ERR1551252",99.1188079429673,35,32395
"16S_96_Quagliariello","ERR1551253",97.1409900343081,33,5946
"16S_96_Quagliariello","ERR1551254",97.9900049544407,143,454899
"16S_96_Quagliariello","ERR1551256",99.6235063021771,60,18258
"16S_96_Quagliariello","ERR1551257",97.693817468106,46,5973
"16S_96_Quagliariello","ERR1551258",94.1518896650546,92,21026
"16S_96_Quagliariello","ERR1551259",94.9967326760803,68,33436
"16S_96_Quagliariello","ERR1551260",92.8845101258894,74,23758
"16S_96_Quagliariello","ERR1551261",99.0582977534815,57,24825
"16S_96_Quagliariello","ERR1551262",90.3076923076923,67,21719
"16S_96_Quagliariello","ERR1551263",97.1935685946962,119,46546
"16S_96_Quagliariello","ERR1551264",96.0916106547175,86,30880
"16S_96_Quagliariello","ERR1551265",98.8795518207283,56,21533
"16S_96_Quagliariello","ERR1551266",96.1069715218945,84,47078
"16S_96_Quagliariello","ERR1551267",98.2242317017234,71,14990
"16S_96_Quagliariello","ERR1551268",95.4295241623882,43,36059
"16S_96_Quagliariello","ERR1551269",99.2927864214993,29,2106
"16S_96_Quagliariello","ERR1551270",99.8854154424727,51,33997
"16S_96_Quagliariello","ERR1551271",96.3284005141558,82,29227
"16S_96_Quagliariello","ERR1551272",99.0298370858503,37,37870
"16S_96_Quagliariello","ERR1551273",97.7633902295468,68,31559
"16S_96_Quagliariello","ERR1551274",97.4249506876706,102,36056
"16S_96_Quagliariello","ERR1551275",100,58,29545
"16S_96_Quagliariello","ERR1551276",99.5394949667942,72,52309
"16S_96_Quagliariello","ERR1551277",96.8473224236025,89,33023
"16S_96_Quagliariello","ERR1551278",94.7680207088809,117,38074
"16S_96_Quagliariello","ERR1551279",95.6937041532535,79,18133
"16S_96_Quagliariello","ERR1551280",96.165895867522,88,32230
"16S_96_Quagliariello","ERR1551281",97.0307582986499,87,38234
"16S_96_Quagliariello","ERR1551282",90.9309103377336,109,37128
"16S_96_Quagliariello","ERR1551283",95.4092691990091,116,36973
"16S_96_Quagliariello","ERR1551284",98.3543572132875,75,28927
"16S_96_Quagliariello","ERR1551285",99.4445899921404,58,37958
"16S_96_Quagliariello","ERR1551286",96.3793922127255,32,8119
"16S_96_Quagliariello","ERR1551287",95.0646766169154,76,28662
"16S_96_Quagliariello","ERR1551288",89.9043879739703,32,24730
"16S_96_Quagliariello","ERR1551289",97.4169604750418,59,26249
"16S_96_Quagliariello","ERR1551290",99.94606949331,39,38918
"16S_96_Quagliariello","ERR1551291",97.4213813506702,75,26673
"16S_96_Quagliariello","ERR1551292",90.1797583954685,76,15602
"16S_96_Quagliariello","ERR1551293",97.168684973563,97,34182
"16S_96_Quagliariello","ERR1551294",97.1177523073925,98,54822
"16S_96_Quagliariello","ERR1551295",92.5637931804978,80,20713
"16S_96_Quagliariello","ERR1551296",98.1245715404955,56,20039
"16S_96_Quagliariello","ERR1551297",80.0195542630801,107,31919
"16S_96_Quagliariello","ERR1551298",93.3800889497092,110,27295
"16S_96_Quagliariello","ERR1551299",91.416874230582,101,31931
"16S_96_Quagliariello","ERR1551300",100,21,27139
"16S_96_Quagliariello","ERR1551301",98.3633098074929,86,38884
"16S_96_Quagliariello","ERR1551302",90.2058845002555,90,24711
"16S_96_Quagliariello","ERR1551303",97.0440412300877,67,11392
"16S_96_Quagliariello","ERR1551304",95.0183199435275,117,28267
"16S_96_Quagliariello","ERR1551305",96.685376661743,160,49092
"16S_20_Rawson","SRR19846914",93.2476763258611,40,3411
"16S_20_Rawson","SRR19846916",81.7408123791103,60,4226
"16S_20_Rawson","SRR19846917",96.4021685559389,29,1956
"16S_20_Rawson","SRR19846918",82.7939835916135,40,3633
"16S_20_Rawson","SRR19846919",87.4158099964552,35,2466
"16S_20_Rawson","SRR19846921",90.728476821192,21,2055
"16S_20_Rawson","SRR19846923",94.2020665901263,31,1641
"16S_20_Rawson","SRR19846924",97.9409131602507,35,2188
"16S_20_Rawson","SRR19846925",94.5757071547421,47,2842
"16S_20_Rawson","SRR19846926",93.3025035879445,75,5851
"16S_20_Rawson","SRR19846927",90.6106369008536,30,1380
"16S_20_Rawson","SRR19846929",84.530535377993,40,6284
"16S_20_Rawson","SRR19846930",84.5184064548664,60,3352
