"Position","Frequency"
"-Inf",1
"1",8
"3",10
"4",8
"5",13
"7",4
"9",33
"10",8
"11",1
"12",20
"14",16
"15",10
"18",17
"20",3
"21",15
"22",17
"23",10
"24",8
"25",25
"26",3
"27",8
"28",2
"31",6
"32",2
"33",4
"34",4
"35",6
"36",2
"37",1
"38",1
"39",2
"40",2
"41",1
"42",3
"43",3
"46",1
"47",5
"50",1
"52",1
"53",1
"60",1
"70",1
"75",1
"76",1
"82",1
"85",1
"1021",4
"1031",6
"1043",9
"1046",1119
"1047",18
"1049",18
"1050",2
"1061",1
"1092",8
"1093",1
"1095",2
"1098",4
"1101",3
"1102",6
"1104",4
"1105",18
"1108",22369
"1110",6
"1111",2
"1115",1
"1117",2
"1119",2
"1121",1
"1122",1
"1123",2
"1124",1
"1126",2
"1129",3
"1130",5
"1131",7563
"1132",672
"1133",1
"1135",210
"1136",11
"1137",5905
"1138",109
"1139",7
"1140",482
"1227",328
