"Position","Frequency"
"-Inf",1
"1",8
"3",10
"4",24
"5",16
"7",5
"9",33
"10",8
"11",1
"12",20
"14",16
"15",10
"18",17
"20",3
"21",15
"22",17
"23",10
"24",8
"25",25
"26",6
"27",8
"28",2
"31",6
"32",2
"33",4
"34",4
"35",6
"36",2
"37",1
"38",1
"39",2
"40",2
"41",1
"42",3
"43",3
"46",1
"47",5
"50",1
"52",1
"53",1
"60",1
"70",1
"75",1
"76",1
"82",1
"85",1
"1016",2
"1042",2
"1053",1
"1063",1
"1094",8
"1095",1
"1097",2
"1100",4
"1103",3
"1104",5
"1106",4
"1107",3
"1110",9061
"1111",1
"1112",5011
"1113",10
"1117",2
"1119",2
"1121",2
"1123",1
"1124",1
"1125",2
"1126",1
"1128",2
"1131",3
"1132",5
"1133",7563
"1134",672
"1135",1
"1137",210
"1138",11
"1139",5905
"1140",109
"1141",7
"1142",482
"1230",346
