"Position","Frequency"
"1",314
"86",1
"87",2
"91",1
"92",1
"93",3
"95",6
"97",3
"102",1
"117",2
"118",9007
"119",9
"122",1
"144",1
"145",1
"150",2
"151",13
"152",2
"153",8
"154",1
"161",2
"163",4
"442",2
"453",13
"455",1192
"457",4226
"466",3
"467",599
"469",943
"476",1
"477",1285
"480",553
"481",3136
"487",25
"488",114
"490",2543
"493",65
"494",6
"496",2
"500",3
"502",2
"504",1
"505",1
"506",2
"509",5
"512",1
"514",2
"516",27
"519",5110
"520",2
"521",26
"522",12
"524",25
"525",39
"526",38
"527",9
"528",3
"530",8
"534",1
"539",1
"584",1
"589",2
"1143",1
"1159",2
"1162",1
"1164",1
"1166",1
"1167",1
"1173",2
"1174",2
"1186",1
"1187",2
"1190",1
"1191",3
"1192",6
"1193",2
"1194",4
"1195",3
"1196",4
"1197",3
"1198",4
"1200",6
"1201",5
"1202",4
"1204",10
"1206",5
"1207",9
"1209",1
"1210",10
"1211",7
"1212",12
"1213",5
"1214",9
"1215",13
"1216",17
"1217",5
"1218",12
"1219",19
"1221",14
"1222",12
"1223",12
"1224",21
"1225",18
"1226",25
"1227",21
"1229",20
"1230",10
"Inf",1
